PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35232230","Effectiveness of crizotinib versus entrectinib in ROS1-positive non-small-cell lung cancer using clinical and real-world data","Tremblay G, Groff M, Iadeluca L, Daniele P, Wilner K, Wiltshire R, Bartolome L, Usari T, Cappelleri JC, Camidge DR.","Future Oncol. 2022 Mar 2. doi: 10.2217/fon-2021-1102. Online ahead of print.","Tremblay G","Future Oncol","2022","2022/03/02","","","10.2217/fon-2021-1102"
"35179764","Systematic review and pooled analysis of survival outcomes in patients with relapsed or refractory B-cell acute lymphoblastic leukaemia who have undergone haematopoietic stem cell transplant","Russell-Smith TA, Chadda S, LeReun C, Bajko P, Doogan E.","Eur Rev Med Pharmacol Sci. 2022 Feb;26(3):975-995. doi: 10.26355/eurrev_202202_28007.","Russell-Smith TA","Eur Rev Med Pharmacol Sci","2022","2022/02/18","","","10.26355/eurrev_202202_28007"
"35175308","Proptosis and Diplopia Response With Teprotumumab and Placebo vs the Recommended Treatment Regimen With Intravenous Methylprednisolone in Moderate to Severe Thyroid Eye Disease: A Meta-analysis and Matching-Adjusted Indirect Comparison","Douglas RS, Dailey R, Subramanian PS, Barbesino G, Ugradar S, Batten R, Qadeer RA, Cameron C.","JAMA Ophthalmol. 2022 Feb 17:e216284. doi: 10.1001/jamaophthalmol.2021.6284. Online ahead of print.","Douglas RS","JAMA Ophthalmol","2022","2022/02/17","PMC8855315","","10.1001/jamaophthalmol.2021.6284"
"35158805","Cost-Effectiveness Analysis of Axicabtagene Ciloleucel vs. Tisagenlecleucel for the Management of Relapsed/Refractory Diffuse Large B-Cell Lymphoma in Spain","Bastos-Oreiro M, de Las Heras A, Presa M, Casado MA, Pardo C, Martín-Escudero V, Sureda A.","Cancers (Basel). 2022 Jan 21;14(3):538. doi: 10.3390/cancers14030538.","Bastos-Oreiro M","Cancers (Basel)","2022","2022/02/15","PMC8833685","","10.3390/cancers14030538"
"35157216","A Matching-Adjusted Indirect Comparison of Single-Arm Trials in Patients with Relapsed or Refractory Follicular Lymphoma Who Received at Least Two Prior Systemic Treatments: Tazemetostat was Associated with a Lower Risk for Safety Outcomes Versus the PI3-Kinase Inhibitors Idelalisib, Duvelisib, Copanlisib, and Umbralisib","Proudman D, Nellesen D, Gupta D, Adib D, Yang J, Mamlouk K.","Adv Ther. 2022 Feb 14. doi: 10.1007/s12325-022-02054-z. Online ahead of print.","Proudman D","Adv Ther","2022","2022/02/14","","","10.1007/s12325-022-02054-z"
"35138877","Oral Antihypertensives for Nonsevere Pregnancy Hypertension: Systematic Review, Network Meta- and Trial Sequential Analyses","Bone JN, Sandhu A, Abalos ED, Khalil A, Singer J, Prasad S, Omar S, Vidler M, von Dadelszen P, Magee LA.","Hypertension. 2022 Mar;79(3):614-628. doi: 10.1161/HYPERTENSIONAHA.121.18415. Epub 2022 Jan 4.","Bone JN","Hypertension","2022","2022/02/09","PMC8823910","","10.1161/HYPERTENSIONAHA.121.18415"
"35129275","Indirect treatment comparisons: Choosing the right tool for the job","Pratley RE, Gorst-Rasmussen A.","Diabetes Obes Metab. 2022 Feb 7. doi: 10.1111/dom.14664. Online ahead of print.","Pratley RE","Diabetes Obes Metab","2022","2022/02/07","","","10.1111/dom.14664"
"35128059","A Method for Reconstructing Individual Patient Data From Kaplan-Meier Survival Curves That Incorporate Marked Censoring Times","Rogula B, Lozano-Ortega G, Johnston KM.","MDM Policy Pract. 2022 Jan 31;7(1):23814683221077643. doi: 10.1177/23814683221077643. eCollection 2022 Jan-Jun.","Rogula B","MDM Policy Pract","2022","2022/02/07","PMC8808036","","10.1177/23814683221077643"
"35114819","Indirect treatment comparisons of avapritinib versus midostaurin for patients with advanced systemic mastocytosis","Pilkington H, Smith S, Roskell N, Iannazzo S.","Future Oncol. 2022 Feb 4. doi: 10.2217/fon-2021-1509. Online ahead of print.","Pilkington H","Future Oncol","2022","2022/02/04","","","10.2217/fon-2021-1509"
"35106186","Effect of pretreatment with dexamethasone on the efficacy and immune-related adverse events of immunotherapy in first-line treatment for advanced non-small cell lung cancer: a network meta-analysis of randomized control trials","Li Y, He F, Liu S, Zhang Y, Li L, Wang B, Lan L, Pan Z.","Am J Clin Exp Immunol. 2021 Dec 15;10(4):93-102. eCollection 2021.","Li Y","Am J Clin Exp Immunol","2021","2022/02/02","PMC8784760","",""
"35090692","Non-optimal methodology questions indirect treatment comparison of dupilumab vs. other biologics in severe asthma","Bourdin A, Molinari N.","Respir Med. 2022 Jan;191:105999. doi: 10.1016/j.rmed.2020.105999. Epub 2020 May 15.","Bourdin A","Respir Med","2022","2022/01/29","","","10.1016/j.rmed.2020.105999"
"35090691","Response to the correspondence: ""Non-optimal methodology questions indirect treatment comparison of dupilumab vs other biologics in severe asthma""","Bateman ED, Khan AH, Xu Y, Guyot P, Chao J, Kamat S, Rowe P, Burnett H, Msihid J, Weinreich D, Pavord ID.","Respir Med. 2022 Jan;191:106088. doi: 10.1016/j.rmed.2020.106088. Epub 2020 Jul 9.","Bateman ED","Respir Med","2022","2022/01/29","","","10.1016/j.rmed.2020.106088"
"35090690","Comment on: Pairwise indirect treatment comparison of dupilumab versus other biologics in patients with uncontrolled persistent asthma [Respir Med 2020]","Martin N, Papi A, Bratton DJ, Chan R, Howarth PH, Abbott CB, Keene ON, Bel EH.","Respir Med. 2022 Jan;191:106065. doi: 10.1016/j.rmed.2020.106065. Epub 2020 Jun 11.","Martin N","Respir Med","2022","2022/01/29","","","10.1016/j.rmed.2020.106065"
"35090688","Pairwise indirect treatment comparison of dupilumab versus other biologics in patients with uncontrolled persistent asthma","Bateman ED, Khan AH, Xu Y, Guyot P, Chao J, Kamat S, Rowe P, Burnett H, Msihid J, Weinreich D, Pavord ID.","Respir Med. 2022 Jan;191:105991. doi: 10.1016/j.rmed.2020.105991. Epub 2020 Apr 29.","Bateman ED","Respir Med","2022","2022/01/29","","","10.1016/j.rmed.2020.105991"
"35073727","Indirect comparison of pembrolizumab monotherapy versus nivolumab + ipilimumab in first-line metastatic lung cancer","Halmos B, Burke T, Kalyvas C, Insinga R, Vandormael K, Frederickson A, Piperdi B.","Immunotherapy. 2022 Apr;14(5):295-307. doi: 10.2217/imt-2021-0273. Epub 2022 Jan 25.","Halmos B","Immunotherapy","2022","2022/01/25","","","10.2217/imt-2021-0273"
"35068168","Indirect comparison of apomorphine sublingual film and levodopa inhalation powder for Parkinson's disease 'OFF' episodes","Thach A, Zichlin ML, Kirson N, Yang K, Gaburo K, Pappert E, Mehta D, Williams GR.","J Comp Eff Res. 2022 Mar;11(4):285-295. doi: 10.2217/cer-2021-0178. Epub 2022 Jan 24.","Thach A","J Comp Eff Res","2022","2022/01/24","","","10.2217/cer-2021-0178"
"35058055","Importance of Time Point-Specific Indirect Treatment Comparisons of Osteoporosis Treatments: A Systematic Literature Review and Network Meta-Analyses","Willems D, Javaid MK, Pinedo-Villanueva R, Libanati C, Yehoshua A, Charokopou M.","Clin Ther. 2022 Jan;44(1):81-97. doi: 10.1016/j.clinthera.2021.11.015. Epub 2022 Jan 19.","Willems D","Clin Ther","2022","2022/01/21","","","10.1016/j.clinthera.2021.11.015"
"35044552","An indirect comparison meta-analysis of noninvasive intravesical instillation and intravesical injection of botulinum toxin-A in bladder disorders","Yunfeng G, Fei L, Junbo L, Dingyuan Y, Chaoyou H.","Int Urol Nephrol. 2022 Mar;54(3):479-491. doi: 10.1007/s11255-022-03107-6. Epub 2022 Jan 19.","Yunfeng G","Int Urol Nephrol","2022","2022/01/19","","","10.1007/s11255-022-03107-6"
"35042448","An anchored simulated treatment comparison of uptitration of amlodipine compared with a low-dose combination treatment with amlodipine 5 mg/bisoprolol 5 mg for patients with hypertension suboptimally controlled by amlodipine 5 mg monotherapy","Foch C, Feifel J, Gottwald-Hostalek U.","Curr Med Res Opin. 2022 Apr;38(4):587-593. doi: 10.1080/03007995.2022.2030112. Epub 2022 Feb 1.","Foch C","Curr Med Res Opin","2022","2022/01/19","","","10.1080/03007995.2022.2030112"
"35040693","How does risdiplam compare with other treatments for Types 1-3 spinal muscular atrophy: a systematic literature review and indirect treatment comparison","Ribero VA, Daigl M, Martí Y, Gorni K, Evans R, Scott DA, Mahajan A, Abrams KR, Hawkins N.","J Comp Eff Res. 2022 Apr;11(5):347-370. doi: 10.2217/cer-2021-0216. Epub 2022 Jan 18.","Ribero VA","J Comp Eff Res","2022","2022/01/18","","","10.2217/cer-2021-0216"
"35030634","Indirect Comparison of Tisagenlecleucel and Historical Treatments for Relapsed/Refractory Diffuse Large B-cell Lymphoma","Maziarz RT, Zhang J, Yang H, Chai X, Yuan C, Schwarz E, Jakovac M, Martinez-Prieto M, Agarwal A, Degtyarev E, Tam CS, Salles GA.","Blood Adv. 2022 Jan 14:bloodadvances.2021006280. doi: 10.1182/bloodadvances.2021006280. Online ahead of print.","Maziarz RT","Blood Adv","2022","2022/01/14","","","10.1182/bloodadvances.2021006280"
"35028245","The Degree of Programmed Death-Ligand 1 (PD-L1) Positivity as a Determinant of Outcomes in Metastatic Triple-Negative Breast Cancer Treated With First-Line Immune Checkpoint Inhibitors","Di Spazio L, Rivano M, Cancanelli L, Chiumente M, Mengato D, Messori A.","Cureus. 2022 Jan 9;14(1):e21065. doi: 10.7759/cureus.21065. eCollection 2022 Jan.","Di Spazio L","Cureus","2022","2022/01/14","PMC8743568","","10.7759/cureus.21065"
"34999620","Current Therapies in Patients With Posterior Semicircular Canal BPPV, a Systematic Review and Network Meta-analysis","Li D, Cheng D, Yang W, Chen T, Zhang D, Ren J, Zhao Y.","Otol Neurotol. 2022 Apr 1;43(4):421-428. doi: 10.1097/MAO.0000000000003464.","Li D","Otol Neurotol","2022","2022/01/09","","","10.1097/MAO.0000000000003464"
"34991104","A Cost-effectiveness Analysis Comparing Pembrolizumab-Axitinib, Nivolumab-Ipilimumab, and Sunitinib for Treatment of Advanced Renal Cell Carcinoma","Chan A, Dang C, Wisniewski J, Weng X, Hynson E, Zhong L, Wilson L.","Am J Clin Oncol. 2022 Feb 1;45(2):66-73. doi: 10.1097/COC.0000000000000884.","Chan A","Am J Clin Oncol","2022","2022/01/06","","","10.1097/COC.0000000000000884"
"34981073","COVID-19 vaccination effectiveness rates by week and sources of bias","Ostropolets A, Hripcsak G.","medRxiv. 2021 Dec 24:2021.12.22.21268253. doi: 10.1101/2021.12.22.21268253. Preprint.","Ostropolets A","medRxiv","2021","2022/01/04","PMC8722616","","10.1101/2021.12.22.21268253"
"34978255","Comparative efficacy of tisagenlecleucel and lisocabtagene maraleucel among adults with relapsed/refractory large B-cell lymphomas: an indirect treatment comparison","Schuster SJ, Zhang J, Yang H, Agarwal A, Tang W, Martinez-Prieto M, Bollu V, Kuzan D, Maziarz RT, Kersten MJ.","Leuk Lymphoma. 2022 Jan 2:1-10. doi: 10.1080/10428194.2021.2010069. Online ahead of print.","Schuster SJ","Leuk Lymphoma","2022","2022/01/03","","","10.1080/10428194.2021.2010069"
"34966607","Efficacy of Immune Checkpoint Inhibitors in Patients with Mismatch Repair-Deficient or Microsatellite Instability-High Metastatic Colorectal Cancer: Analysis of Three Phase-II Trials","Cancanelli L, Rivano M, Di Spazio L, Chiumente M, Mengato D, Messori A.","Cureus. 2021 Nov 25;13(11):e19893. doi: 10.7759/cureus.19893. eCollection 2021 Nov.","Cancanelli L","Cureus","2021","2021/12/30","PMC8710086","","10.7759/cureus.19893"
"34931610","Comparative efficacy of ravulizumab and eculizumab in the treatment of atypical hemolytic uremic syndrome: An indirect comparison using clinical trial data ","Tomazos I, Hatswell AJ, Cataland S, Chen P, Freemantle N, Lommele Å, Deighton K, Knowles E, Sheerin NS, Rondeau E.","Clin Nephrol. 2021 Dec 21. doi: 10.5414/CN110516. Online ahead of print.","Tomazos I","Clin Nephrol","2021","2021/12/21","","","10.5414/CN110516"
"34922383","An indirect treatment comparison of semaglutide 2.0 mg versus dulaglutide 3.0 mg and 4.5 mg using multilevel network meta-regression","Lingvay I, Bauer R, Baker-Knight J, Lawson J, Pratley R.","J Clin Endocrinol Metab. 2021 Dec 18:dgab905. doi: 10.1210/clinem/dgab905. Online ahead of print.","Lingvay I","J Clin Endocrinol Metab","2021","2021/12/18","","","10.1210/clinem/dgab905"
"34912479","Use of [(177)Lu]Lu-DOTA-TATE in the treatment of gastroenteropancreatic neuroendocrine tumours: Results of a UK cost-effectiveness modelling study","Glover M, Caplin M, Leeuwenkamp OR, Longworth L.","EJC Suppl. 2021 Nov 9;16:14-23. doi: 10.1016/j.ejcsup.2021.06.003. eCollection 2021 Nov.","Glover M","EJC Suppl","2021","2021/12/16","PMC8591195","","10.1016/j.ejcsup.2021.06.003"
"34912478","Matching-adjusted indirect treatment comparison of [(177)Lu]Lu-DOTA-TATE, everolimus and sunitinib in advanced, unresectable gastroenteropancreatic neuroendocrine tumours: Relative effectiveness of [(177)Lu]Lu-DOTA-TATE in gastroenteropancreatic neuroendocrine tumours","Khan MS, Stamp E, Sammon C, Brabander T, de Herder WW, Pavel ME.","EJC Suppl. 2021 Nov 9;16:5-13. doi: 10.1016/j.ejcsup.2021.06.002. eCollection 2021 Nov.","Khan MS","EJC Suppl","2021","2021/12/16","PMC8591206","","10.1016/j.ejcsup.2021.06.002"
"34885106","Adjusted Comparison of Outcomes between Patients from CARTITUDE-1 versus Multiple Myeloma Patients with Prior Exposure to PI, Imid and Anti-CD-38 from a German Registry","Merz M, Goldschmidt H, Hari P, Agha M, Diels J, Ghilotti F, Perualila NJ, Cabrieto J, Haefliger B, Sliwka H, Schecter JM, Jackson CC, Olyslager Y, Akram M, Nesheiwat T, Kellermann L, Jagannath S.","Cancers (Basel). 2021 Nov 29;13(23):5996. doi: 10.3390/cancers13235996.","Merz M","Cancers (Basel)","2021","2021/12/10","PMC8656798","","10.3390/cancers13235996"
"34877623","Matching-Adjusted Indirect Comparison of Crisaborole Ointment 2% vs. Topical Calcineurin Inhibitors in the Treatment of Patients with Mild-to-Moderate Atopic Dermatitis","Thom H, Cheng V, Keeney E, Neary MP, Eccleston A, Zang C, Cappelleri JC, Cha A, Thyssen JP.","Dermatol Ther (Heidelb). 2022 Jan;12(1):185-194. doi: 10.1007/s13555-021-00646-1. Epub 2021 Dec 8.","Thom H","Dermatol Ther (Heidelb)","2022","2021/12/08","PMC8776944","","10.1007/s13555-021-00646-1"
"34864380","Indirect treatment comparison of cenobamate to other ASMs for the treatment of uncontrolled focal seizures","Privitera M, Richy FF, Schabert VF.","Epilepsy Behav. 2022 Jan;126:108429. doi: 10.1016/j.yebeh.2021.108429. Epub 2021 Dec 1.","Privitera M","Epilepsy Behav","2022","2021/12/05","","","10.1016/j.yebeh.2021.108429"
"34841472","Conceptual Framework and Methodological Challenges for Modeling Effectiveness in Oncology Treatment Sequence Models","Huang M, Ramsey S, Xue W, Xie J, Pellissier J, Briggs A.","Pharmacoeconomics. 2022 Mar;40(3):257-268. doi: 10.1007/s40273-021-01113-7. Epub 2021 Nov 29.","Huang M","Pharmacoeconomics","2022","2021/11/29","","","10.1007/s40273-021-01113-7"
"34822128","Comparative Efficacy of Ciltacabtagene Autoleucel in CARTITUDE-1 vs Physician's Choice of Therapy in the Long-Term Follow-Up of POLLUX, CASTOR, and EQUULEUS Clinical Trials for the Treatment of Patients with Relapsed or Refractory Multiple Myeloma","Weisel K, Martin T, Krishnan A, Jagannath S, Londhe A, Nair S, Diels J, Vogel M, Schecter JM, Banerjee A, Berdeja JG, Nesheiwat T, Garrett A, Qi K, Valluri S, Usmani SZ, Yong K.","Clin Drug Investig. 2022 Jan;42(1):29-41. doi: 10.1007/s40261-021-01100-y. Epub 2021 Nov 25.","Weisel K","Clin Drug Investig","2022","2021/11/25","PMC8755696","","10.1007/s40261-021-01100-y"
"34797506","Apalutamide Compared with Darolutamide for the Treatment of Non-metastatic Castration-Resistant Prostate Cancer: Efficacy and Tolerability in a Matching-Adjusted Indirect Comparison","Chowdhury S, Oudard S, Uemura H, Joniau S, Dearden L, Capone C, Van Sanden S, Diels J, Hadaschik BA.","Adv Ther. 2022 Jan;39(1):518-531. doi: 10.1007/s12325-021-01885-6. Epub 2021 Nov 19.","Chowdhury S","Adv Ther","2022","2021/11/19","PMC8799579","","10.1007/s12325-021-01885-6"
"34765537","Efficacy of Brodalumab and Guselkumab in Patients with Moderate-to-Severe Plaque Psoriasis Who are Inadequate Responders to Ustekinumab: A Matching Adjusted Indirect Comparison","Hampton P, Borg E, Hansen JB, Augustin M.","Psoriasis (Auckl). 2021 Nov 3;11:123-131. doi: 10.2147/PTT.S326121. eCollection 2021.","Hampton P","Psoriasis (Auckl)","2021","2021/11/12","PMC8575184","","10.2147/PTT.S326121"
"34756316","A cost-consequence analysis of the preferential use of secukinumab versus adalimumab for the treatment of psoriatic arthritis","Jiménez-Morales A, Cáliz R, Aceituno S, Prades M, Blanch C.","Reumatol Clin (Engl Ed). 2021 Nov;17(9):536-542. doi: 10.1016/j.reumae.2020.05.009.","Jiménez-Morales A","Reumatol Clin (Engl Ed)","2021","2021/11/10","","","10.1016/j.reumae.2020.05.009"
"34754257","Indirect Treatment Comparison of Damoctocog Alfa Pegol versus Turoctocog Alfa Pegol as Prophylactic Treatment in Patients with Hemophilia A","Vashi P, Batt K, Klamroth R, Mancuso ME, Majewska R, Tiede A, Mantovani LG.","J Blood Med. 2021 Nov 1;12:935-943. doi: 10.2147/JBM.S321288. eCollection 2021.","Vashi P","J Blood Med","2021","2021/11/10","PMC8570287","","10.2147/JBM.S321288"
"34754238","Matching-Adjusted Indirect Comparison of Ribociclib Plus Fulvestrant versus Palbociclib Plus Letrozole as First-Line Treatment of HR+/HER2- Advanced Breast Cancer","Fasching PA, Delea TE, Lu YS, De Boer R, Hurvitz SA, Moynahan A, Chandiwana D, Lanoue B, Hu H, Thuerigen A, O'Shaughnessy J.","Cancer Manag Res. 2021 Nov 1;13:8179-8189. doi: 10.2147/CMAR.S325043. eCollection 2021.","Fasching PA","Cancer Manag Res","2021","2021/11/10","PMC8570288","","10.2147/CMAR.S325043"
"34751591","Palbociclib versus abemaciclib in HR+/HER2- advanced breast cancer: an indirect comparison of patient-reported end points","Law E, Gavanji R, Walsh S, Haltner A, McTavish R, Cameron C.","J Comp Eff Res. 2022 Feb;11(2):109-120. doi: 10.2217/cer-2021-0221. Epub 2021 Nov 9.","Law E","J Comp Eff Res","2022","2021/11/09","","","10.2217/cer-2021-0221"
"34740549","[Recommendations to develop Care Models for patients with Heart Failure (MAIC Project) from macromanagement]","Comin-Colet J, Calero-Molina E, Corbella X, Muñiz J, San Saturnino M, Ibarrola C; Comité Asesor Proyecto MAIC (Apéndice); APÉNDICE Todos los miembros del Comité Asesor del Proyecto MAIC cuya relación en orden alfabético aparece en la siguiente lista han contribuido en la autoría de este artículo.","J Healthc Qual Res. 2021 Nov 2:S2603-6479(21)00090-7. doi: 10.1016/j.jhqr.2021.09.003. Online ahead of print.","Comin-Colet J","J Healthc Qual Res","2021","2021/11/06","","","10.1016/j.jhqr.2021.09.003"
"34733356","Is there a preferred first-line therapy for metastatic renal cell carcinoma? A network meta-analysis","Cattrini C, Messina C, Airoldi C, Buti S, Roviello G, Mennitto A, Caffo O, Gennari A, Bersanelli M.","Ther Adv Urol. 2021 Oct 29;13:17562872211053189. doi: 10.1177/17562872211053189. eCollection 2021 Jan-Dec.","Cattrini C","Ther Adv Urol","2021","2021/11/04","PMC8558789","","10.1177/17562872211053189"
"34714524","Cost-Effectiveness of iGlarLixi Versus iDegLira in Type 2 Diabetes Mellitus Inadequately Controlled by GLP-1 Receptor Agonists and Oral Antihyperglycemic Therapy","McCrimmon RJ, Lamotte M, Ramos M, Alsaleh AJO, Souhami E, Lew E.","Diabetes Ther. 2021 Dec;12(12):3231-3241. doi: 10.1007/s13300-021-01156-1. Epub 2021 Oct 29.","McCrimmon RJ","Diabetes Ther","2021","2021/10/29","PMC8586382","","10.1007/s13300-021-01156-1"
"34714523","Cost-Effectiveness of iGlarLixi in People with Type 2 Diabetes Mellitus Suboptimally Controlled on Basal Insulin Plus Metformin in the UK","McCrimmon RJ, Falla E, Sha JZ, Alsaleh AJO, Lew E, Hudson R, Baxter M, Palmer K.","Diabetes Ther. 2021 Dec;12(12):3217-3230. doi: 10.1007/s13300-021-01159-y. Epub 2021 Oct 29.","McCrimmon RJ","Diabetes Ther","2021","2021/10/29","PMC8586275","","10.1007/s13300-021-01159-y"
"34672224","Matching-adjusted indirect comparison of pneumococcal vaccines V114 and PCV20","Mt-Isa S, Abderhalden LA, Musey L, Weiss T.","Expert Rev Vaccines. 2022 Jan;21(1):115-123. doi: 10.1080/14760584.2021.1994858. Epub 2021 Oct 27.","Mt-Isa S","Expert Rev Vaccines","2022","2021/10/21","","","10.1080/14760584.2021.1994858"
"34664200","Mogamulizumab for Previously Treated Mycosis Fungoides and Sézary Syndrome: An Evidence Review Group Perspective of a NICE Single Technology Appraisal","Grimm SE, Witlox W, Wolff R, Chalker A, Hiligsmann M, Wijnen B, Ahmadu C, Ryder S, Armstrong N, Duffy S, Syndikus I, Kleijnen J, Joore MA.","Pharmacoeconomics. 2021 Oct 19. doi: 10.1007/s40273-021-01098-3. Online ahead of print.","Grimm SE","Pharmacoeconomics","2021","2021/10/19","","","10.1007/s40273-021-01098-3"
"34663559","Indirect treatment comparison of nivolumab versus placebo as adjuvant treatment for resected melanoma","Weber JS, Ascierto PA, Middleton MR, Hennicken D, Zoffoli R, Pieters A, Amadi A, Kupas K, Kotapati S, Moshyk A, Schadendorf D.","Eur J Cancer. 2021 Nov;158:225-233. doi: 10.1016/j.ejca.2021.08.028. Epub 2021 Oct 15.","Weber JS","Eur J Cancer","2021","2021/10/19","","","10.1016/j.ejca.2021.08.028"
"34649296","Oral Anticoagulation Timing in Patients with Acute Ischemic Stroke and Atrial Fibrillation","Chang PY, Wang WT, Wu WL, Chang HC, Chen CH, Tsai YW, Chiou SH, Lip GYH, Cheng HM, Chiang CE.","Thromb Haemost. 2021 Oct 14. doi: 10.1055/a-1669-4987. Online ahead of print.","Chang PY","Thromb Haemost","2021","2021/10/14","","","10.1055/a-1669-4987"
"34641745","Combination anticoagulant or P2Y12 inhibitor with low-dose aspirin versus low-dose aspirin alone in patients at risk or with documented coronary and/or peripheral artery disease","Coleman CI, Kharat AA, Bookhart B, Baker WL.","Curr Med Res Opin. 2022 Jan;38(1):27-34. doi: 10.1080/03007995.2021.1991294. Epub 2021 Oct 26.","Coleman CI","Curr Med Res Opin","2022","2021/10/13","","","10.1080/03007995.2021.1991294"
"34621996","Rectal indomethacin and diclofenac are equally efficient in preventing pancreatitis following endoscopic retrograde cholangiopancreatography in average-risk patients","Yu S, Shen X, Li L, Bi X, Chen P, Wu W.","JGH Open. 2021 Aug 31;5(10):1119-1126. doi: 10.1002/jgh3.12643. eCollection 2021 Oct.","Yu S","JGH Open","2021","2021/10/08","PMC8485396","","10.1002/jgh3.12643"
"34616492","Population-adjusted indirect treatment comparison of maintenance PARP inhibitor with or without bevacizumab versus bevacizumab alone in women with newly diagnosed advanced ovarian cancer","Hettle R, McCrea C, Lee CK, Davidson R.","Ther Adv Med Oncol. 2021 Sep 30;13:17588359211049639. doi: 10.1177/17588359211049639. eCollection 2021.","Hettle R","Ther Adv Med Oncol","2021","2021/10/07","PMC8488507","","10.1177/17588359211049639"
