PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,notes,date
35042448,An anchored simulated treatment comparison of uptitration of amlodipine compared with a low-dose combination treatment with amlodipine 5â€‰mg/bisoprolol 5â€‰mg for patients with hypertension suboptimally controlled by amlodipine 5â€‰mg monotherapy,"Foch C, Feifel J, Gottwald-Hostalek U.",Curr Med Res Opin. 2022 Apr;38(4):587-593. doi: 10.1080/03007995.2022.2030112. Epub 2022 Feb 1.,Foch C,Curr Med Res Opin,2022,19/01/2022,NA,NA,10.1080/03007995.2022.2030112,,19/07/2022
35040693,How does risdiplam compare with other treatments for Types 1-3 spinal muscular atrophy: a systematic literature review and indirect treatment comparison,"Ribero VA, Daigl M, MartÃ­ Y, Gorni K, Evans R, Scott DA, Mahajan A, Abrams KR, Hawkins N.",J Comp Eff Res. 2022 Apr;11(5):347-370. doi: 10.2217/cer-2021-0216. Epub 2022 Jan 18.,Ribero VA,J Comp Eff Res,2022,18/01/2022,NA,NA,10.2217/cer-2021-0216,,20/07/2022
34978255,Comparative efficacy of tisagenlecleucel and lisocabtagene maraleucel among adults with relapsed/refractory large B-cell lymphomas: an indirect treatment comparison,"Schuster SJ, Zhang J, Yang H, Agarwal A, Tang W, Martinez-Prieto M, Bollu V, Kuzan D, Maziarz RT, Kersten MJ.",Leuk Lymphoma. 2022 Jan 2:1-10. doi: 10.1080/10428194.2021.2010069. Online ahead of print.,Schuster SJ,Leuk Lymphoma,2022,03/01/2022,NA,NA,10.1080/10428194.2021.2010069,,21/07/2022
34922383,An indirect treatment comparison of semaglutide 2.0Â mg versus dulaglutide 3.0Â mg and 4.5Â mg using multilevel network meta-regression,"Lingvay I, Bauer R, Baker-Knight J, Lawson J, Pratley R.",J Clin Endocrinol Metab. 2021 Dec 18:dgab905. doi: 10.1210/clinem/dgab905. Online ahead of print.,Lingvay I,J Clin Endocrinol Metab,2021,18/12/2021,NA,NA,10.1210/clinem/dgab905,,21/07/2022
34912478,"Matching-adjusted indirect treatment comparison of [(177)Lu]Lu-DOTA-TATE, everolimus and sunitinib in advanced, unresectable gastroenteropancreatic neuroendocrine tumours: Relative effectiveness of [(177)Lu]Lu-DOTA-TATE in gastroenteropancreatic neuroendocrine tumours","Khan MS, Stamp E, Sammon C, Brabander T, de Herder WW, Pavel ME.",EJC Suppl. 2021 Nov 9;16:5-13. doi: 10.1016/j.ejcsup.2021.06.002. eCollection 2021 Nov.,Khan MS,EJC Suppl,2021,16/12/2021,PMC8591206,NA,10.1016/j.ejcsup.2021.06.002,,20/07/2022
34877623,Matching-Adjusted Indirect Comparison of Crisaborole Ointment 2% vs. Topical Calcineurin Inhibitors in the Treatment of Patients with Mild-to-Moderate Atopic Dermatitis,"Thom H, Cheng V, Keeney E, Neary MP, Eccleston A, Zang C, Cappelleri JC, Cha A, Thyssen JP.",Dermatol Ther (Heidelb). 2022 Jan;12(1):185-194. doi: 10.1007/s13555-021-00646-1. Epub 2021 Dec 8.,Thom H,Dermatol Ther (Heidelb),2022,08/12/2021,PMC8776944,NA,10.1007/s13555-021-00646-1,,19/07/2022
34797506,Apalutamide Compared with Darolutamide for the Treatment of Non-metastatic Castration-Resistant Prostate Cancer: Efficacy and Tolerability in a Matching-Adjusted Indirect Comparison,"Chowdhury S, Oudard S, Uemura H, Joniau S, Dearden L, Capone C, Van Sanden S, Diels J, Hadaschik BA.",Adv Ther. 2022 Jan;39(1):518-531. doi: 10.1007/s12325-021-01885-6. Epub 2021 Nov 19.,Chowdhury S,Adv Ther,2022,19/11/2021,PMC8799579,NA,10.1007/s12325-021-01885-6,,21/07/2022
34765537,Efficacy of Brodalumab and Guselkumab in Patients with Moderate-to-Severe Plaque Psoriasis Who are Inadequate Responders to Ustekinumab: A Matching Adjusted Indirect Comparison,"Hampton P, Borg E, Hansen JB, Augustin M.",Psoriasis (Auckl). 2021 Nov 3;11:123-131. doi: 10.2147/PTT.S326121. eCollection 2021.,Hampton P,Psoriasis (Auckl),2021,12/11/2021,PMC8575184,NA,10.2147/PTT.S326121,,21/07/2022
34754257,Indirect Treatment Comparison of Damoctocog Alfa Pegol versus Turoctocog Alfa Pegol as Prophylactic Treatment in Patients with Hemophilia A,"Vashi P, Batt K, Klamroth R, Mancuso ME, Majewska R, Tiede A, Mantovani LG.",J Blood Med. 2021 Nov 1;12:935-943. doi: 10.2147/JBM.S321288. eCollection 2021.,Vashi P,J Blood Med,2021,10/11/2021,PMC8570287,NA,10.2147/JBM.S321288,,21/07/2022
34754238,Matching-Adjusted Indirect Comparison of Ribociclib Plus Fulvestrant versus Palbociclib Plus Letrozole as First-Line Treatment of HR+/HER2- Advanced Breast Cancer,"Fasching PA, Delea TE, Lu YS, De Boer R, Hurvitz SA, Moynahan A, Chandiwana D, Lanoue B, Hu H, Thuerigen A, O'Shaughnessy J.",Cancer Manag Res. 2021 Nov 1;13:8179-8189. doi: 10.2147/CMAR.S325043. eCollection 2021.,Fasching PA,Cancer Manag Res,2021,10/11/2021,PMC8570288,NA,10.2147/CMAR.S325043,,22/07/2022
34751591,Palbociclib versus abemaciclib in HR+/HER2- advanced breast cancer: an indirect comparison of patient-reported end points,"Law E, Gavanji R, Walsh S, Haltner A, McTavish R, Cameron C.",J Comp Eff Res. 2022 Feb;11(2):109-120. doi: 10.2217/cer-2021-0221. Epub 2021 Nov 9.,Law E,J Comp Eff Res,2022,09/11/2021,NA,NA,10.2217/cer-2021-0221,,21/07/2022
34672224,Matching-adjusted indirect comparison of pneumococcal vaccines V114 and PCV20,"Mt-Isa S, Abderhalden LA, Musey L, Weiss T.",Expert Rev Vaccines. 2022 Jan;21(1):115-123. doi: 10.1080/14760584.2021.1994858. Epub 2021 Oct 27.,Mt-Isa S,Expert Rev Vaccines,2022,21/10/2021,NA,NA,10.1080/14760584.2021.1994858,,22/07/2022
34616492,Population-adjusted indirect treatment comparison of maintenance PARP inhibitor with or without bevacizumab versus bevacizumab alone in women with newly diagnosed advanced ovarian cancer,"Hettle R, McCrea C, Lee CK, Davidson R.",Ther Adv Med Oncol. 2021 Sep 30;13:17588359211049639. doi: 10.1177/17588359211049639. eCollection 2021.,Hettle R,Ther Adv Med Oncol,2021,07/10/2021,PMC8488507,NA,10.1177/17588359211049639,,25/07/2022
34597975,"Population-adjusted indirect treatment comparison of the SOLO1 and PAOLA-1/ENGOT-ov25 trials evaluating maintenance olaparib or bevacizumab or the combination of both in newly diagnosed, advanced BRCA-mutated ovarian cancer","Vergote I, Ray-Coquard I, Anderson DM, Cantuaria G, Colombo N, Garnier-Tixidre C, Gilbert L, Harter P, Hettle R, Lorusso D, MÃ¤enpÃ¤Ã¤ J, Marth C, Matsumoto K, Ouwens M, Poveda A, Raspagliesi F, Rhodes K, Rubio PÃ©rez MJ, Shapira-Frommer R, Shikama A, Sikorska M, Moore K, DiSilvestro P.",Eur J Cancer. 2021 Nov;157:415-423. doi: 10.1016/j.ejca.2021.08.023. Epub 2021 Sep 28.,Vergote I,Eur J Cancer,2021,01/10/2021,NA,NA,10.1016/j.ejca.2021.08.023,"not eligible, but important to mention it somewhere",25/07/2022
34561812,DREAMM-2: Indirect Comparisons of Belantamab Mafodotin vs. Selinexorâ€‰+â€‰Dexamethasone and Standard of Care Treatments in Relapsed/Refractory Multiple Myeloma,"Prawitz T, Popat R, Suvannasankha A, Sarri G, Hughes R, Wang F, Hogea C, Ferrante SA, Gorsh B, Willson J, Kapetanakis V.",Adv Ther. 2021 Nov;38(11):5501-5518. doi: 10.1007/s12325-021-01884-7. Epub 2021 Sep 24.,Prawitz T,Adv Ther,2021,25/09/2021,PMC8523001,NA,10.1007/s12325-021-01884-7,,25/07/2022
34493319,Matching-adjusted indirect treatment comparison of liso-cel versus axi-cel in relapsed or refractory large B cell lymphoma,"Maloney DG, Kuruvilla J, Liu FF, Kostic A, Kim Y, Bonner A, Zhang Y, Fox CP, Cartron G.",,Maloney DG,J Hematol Oncol,2021,08/09/2021,PMC8425084,NA,10.1186/s13045-021-01144-9,,26/07/2022
34445916,Comparative effectiveness of pegcetacoplan versus ravulizumab in patients with paroxysmal nocturnal hemoglobinuria previously treated with eculizumab: a matching-adjusted indirect comparison,"Bhak RH, Mody-Patel N, Baver SB, Kunzweiler C, Yee CW, Sundaresan S, Swartz N, Duh MS, Krishnan S, Sarda SP.",Curr Med Res Opin. 2021 Nov;37(11):1913-1923. doi: 10.1080/03007995.2021.1971182. Epub 2021 Sep 3.,Bhak RH,Curr Med Res Opin,2021,27/08/2021,NA,NA,10.1080/03007995.2021.1971182,,25/07/2022
34372979,How Assessment-Schedule Matching Limits Bias When Comparing Progression-Free Survival in Single-Arm Studies: An Application in Second-Line Urothelial Carcinoma Treatments,"Kapetanakis V, Prawitz T, Schlichting M, Ishak KJ, Phatak H, Yu T, Bharmal M.",Value Health. 2021 Aug;24(8):1137-1144. doi: 10.1016/j.jval.2021.03.004. Epub 2021 May 8.,Kapetanakis V,Value Health,2021,10/08/2021,NA,NA,10.1016/j.jval.2021.03.004,methodological,XX
34368918,Matching-Adjusted Indirect Comparison of Efficacy and Consumption of rVIII-SingleChain Versus Two Recombinant FVIII Products Used for Prophylactic Treatment of Adults/Adolescents with Severe HaemophiliaÂ A,"Bonanad S, NÃºÃ±ez R, Poveda JL, Kurnik K, Goldmann G, Andreozzi V, Vandewalle B, Santos S.",Adv Ther. 2021 Sep;38(9):4872-4884. doi: 10.1007/s12325-021-01853-0. Epub 2021 Aug 8.,Bonanad S,Adv Ther,2021,09/08/2021,PMC8408075,NA,10.1007/s12325-021-01853-0,,24/07/2022
34286894,An indirect treatment comparison of the efficacy of semaglutide 1.0Â mg versus dulaglutide 3.0 and 4.5Â mg,"Pratley RE, Catarig AM, Lingvay I, Viljoen A, Paine A, Lawson J, Chubb B, Gorst-Rasmussen A, Miresashvili N.",Diabetes Obes Metab. 2021 Nov;23(11):2513-2520. doi: 10.1111/dom.14497. Epub 2021 Aug 9.,Pratley RE,Diabetes Obes Metab,2021,21/07/2021,NA,NA,10.1111/dom.14497,,23/07/2022
34285621,Efficacy of rFIXFc versus rIX-FP for the Treatment of Patients with Hemophilia B: Matching-Adjusted Indirect Comparison of B-LONG and PROLONG-9FP Trials,"Astermark J, Wojciechowski P, AballÃ©a S, Hakimi Z, Nazir J, Klamroth R.",J Blood Med. 2021 Jul 14;12:613-621. doi: 10.2147/JBM.S312885. eCollection 2021.,Astermark J,J Blood Med,2021,21/07/2021,PMC8286734,NA,10.2147/JBM.S312885,,25/07/2022
34277983,"A population-adjusted indirect comparison of cardiovascular benefits of once-weekly subcutaneous semaglutide and dulaglutide in the treatment of patients with type 2 diabetes, with or without established cardiovascular disease","Evans LM, Mellbin L, Johansen P, Lawson J, Paine A, Sandberg A.",Endocrinol Diabetes Metab. 2021 May 15;4(3):e00259. doi: 10.1002/edm2.259. eCollection 2021 Jul.,Evans LM,Endocrinol Diabetes Metab,2021,19/07/2021,PMC8279621,NA,10.1002/edm2.259,,25/07/2022
34256668,Matching-adjusted indirect comparison of efficacy outcomes for ciltacabtagene autoleucel in CARTITUDE-1 versus idecabtagene vicleucel in KarMMa for the treatment of patients with relapsed or refractory multiple myeloma,"Martin T, Usmani SZ, Schecter JM, Vogel M, Jackson CC, Deraedt W, Tian H, Yeh TM, Banerjee A, Pacaud L, Garrett A, Haltner A, Cameron C, Van Sanden S, Diels J, Valluri S, Samjoo IA.",Curr Med Res Opin. 2021 Oct;37(10):1779-1788. doi: 10.1080/03007995.2021.1953456. Epub 2021 Jul 23.,Martin T,Curr Med Res Opin,2021,14/07/2021,NA,NA,10.1080/03007995.2021.1953456,,26/07/2022
34250584,Effectiveness of Radiofrequency Catheter Ablation Using Ablation Index Versus Second Generation Cryoballoon in the Treatment of Persistent Atrial Fibrillation: A Matching-Adjusted Indirect Comparison,"Hussein A, Stabile G, Dawkins K, Spin P, Goldstein L, Wei T, Velleca M, Patel L, Gupta D.",Adv Ther. 2021 Aug;38(8):4388-4402. doi: 10.1007/s12325-021-01846-z. Epub 2021 Jul 12.,Hussein A,Adv Ther,2021,12/07/2021,PMC8342373,NA,10.1007/s12325-021-01846-z,,26/07/2022
34236007,Matching-adjusted indirect treatment comparison of onasemnogene abeparvovec and nusinersen for the treatment of symptomatic patients with spinal muscular atrophy type 1,"Bischof M, Lorenzi M, Lee J, Druyts E, Balijepalli C, Dabbous O.",Curr Med Res Opin. 2021 Oct;37(10):1719-1730. doi: 10.1080/03007995.2021.1947216. Epub 2021 Jul 20.,Bischof M,Curr Med Res Opin,2021,08/07/2021,NA,NA,10.1080/03007995.2021.1947216,,26/07/2022
34067521,"Sustained Complete Response after Biological Downstaging in Patients with Hepatocellular Carcinoma: XXL-Like Prioritization for Liver Transplantation or ""Wait and See"" Strategy?","Vitale A, Scolari F, Bertacco A, Gringeri E, D'Amico F, Bassi D, D'Amico FE, Angeli P, Burra P, Lai Q, Cillo U.",Cancers (Basel). 2021 May 17;13(10):2406. doi: 10.3390/cancers13102406.,Vitale A,Cancers (Basel),2021,02/06/2021,PMC8156031,NA,10.3390/cancers13102406,,26/07/2022
34067288,Equivalent Efficacy but Different Safety Profiles of Gemcitabine Plus Nab-Paclitaxel and FOLFIRINOX in Metastatic Pancreatic Cancer,"Rapposelli IG, Casadei-Gardini A, Vivaldi C, Bartolini G, Bernardini L, Passardi A, Frassineti GL, Massa V, Cucchetti A.",Biomolecules. 2021 May 22;11(6):780. doi: 10.3390/biom11060780.,Rapposelli IG,Biomolecules,2021,02/06/2021,PMC8224606,NA,10.3390/biom11060780,,27/07/2022
34031743,Outcomes associated with the use of a new powered circular stapler for left-sided colorectal reconstructions: a propensity score matching-adjusted indirect comparison with manual circular staplers,"Sylla P, Sagar P, Johnston SS, Dwarakanathan HR, Waggoner JR, Schwiers M, Roy S.",Surg Endosc. 2022 Apr;36(4):2541-2553. doi: 10.1007/s00464-021-08542-7. Epub 2021 May 24.,Sylla P,Surg Endosc,2022,25/05/2021,PMC8921098,NA,10.1007/s00464-021-08542-7,"not eligible, PS matching",XX
34021585,"Matching-adjusted indirect comparisons of oral rimegepant versus placebo, erenumab, and galcanezumab examining monthly migraine days and health-related quality of life in the treatment of migraine","Popoff E, Johnston K, Croop R, Thiry A, Harris L, Powell L, Coric V, L'Italien G, Moren J.",Headache. 2021 Jun;61(6):906-915. doi: 10.1111/head.14128. Epub 2021 May 22.,Popoff E,Headache,2021,22/05/2021,PMC8361942,NA,10.1111/head.14128,,27/07/2022
33979770,Matching-adjusted indirect treatment comparison of ozanimod versus teriflunomide for relapsing multiple sclerosis,"Cohan S, Tencer T, Arndorfer S, Zhu X, Zivkovic M, Kumar J.",Mult Scler Relat Disord. 2021 Jul;52:102972. doi: 10.1016/j.msard.2021.102972. Epub 2021 Apr 25.,Cohan S,Mult Scler Relat Disord,2021,12/05/2021,NA,NA,10.1016/j.msard.2021.102972,,27/07/2022
33970454,Indirect Treatment Comparison of Liso-Cel vs. Salvage Chemotherapy in Diffuse Large B-Cell Lymphoma: TRANSCEND vs. SCHOLAR-1,"Salles G, Spin P, Liu FF, Garcia J, Kim Y, Hasskarl J.",Adv Ther. 2021 Jun;38(6):3266-3280. doi: 10.1007/s12325-021-01756-0. Epub 2021 May 10.,Salles G,Adv Ther,2021,10/05/2021,PMC8189990,NA,10.1007/s12325-021-01756-0,,27/07/2022
33955326,Matching-adjusted indirect comparisons of safety and efficacy of acalabrutinib versus other targeted therapies in patients with treatment-naÃ¯ve chronic lymphocytic leukemia,"Davids MS, Telford C, Abhyankar S, Waweru C, Ringshausen I.",Leuk Lymphoma. 2021 Oct;62(10):2342-2351. doi: 10.1080/10428194.2021.1913144. Epub 2021 May 6.,Davids MS,Leuk Lymphoma,2021,06/05/2021,NA,NA,10.1080/10428194.2021.1913144,,27/07/2022
33896344,"Matching adjusted indirect comparisons of efficacy outcomes for idecabtagene vicleucel (ide-cel, bb2121) versus selinexorâ€‰+â€‰dexamethasone and belantamab mafodotin in relapsed and refractory multiple myeloma","Rodriguez-Otero P, Ayers D, Cope S, Davies FE, Delforge M, Mojebi A, Jansen JP, Weisel K, Hege K, Dhanasiri S.",Leuk Lymphoma. 2021 Oct;62(10):2482-2491. doi: 10.1080/10428194.2021.1913143. Epub 2021 Apr 24.,Rodriguez-Otero P,Leuk Lymphoma,2021,26/04/2021,NA,NA,10.1080/10428194.2021.1913143,,27/07/2022
33847901,Comparative Efficacy and Safety of Ozanimod and Dimethyl Fumarate for Relapsing-Remitting Multiple Sclerosis Using Matching-Adjusted Indirect Comparison,"Cohan S, Kumar J, Arndorfer S, Zhu X, Zivkovic M, Tencer T.",CNS Drugs. 2021 Jul;35(7):795-804. doi: 10.1007/s40263-021-00805-0. Epub 2021 Apr 13.,Cohan S,CNS Drugs,2021,13/04/2021,PMC8310468,NA,10.1007/s40263-021-00805-0,,27/07/2022
33839603,Pembrolizumab+chemotherapy versus atezolizumab+chemotherapy+/-bevacizumab for the first-line treatment of non-squamous NSCLC: A matching-adjusted indirect comparison,"Halmos B, Burke T, Kalyvas C, Vandormael K, Frederickson A, Piperdi B.",Lung Cancer. 2021 May;155:175-182. doi: 10.1016/j.lungcan.2021.03.020. Epub 2021 Mar 30.,Halmos B,Lung Cancer,2021,11/04/2021,NA,NA,10.1016/j.lungcan.2021.03.020,,16/09/2022
33830214,Comparison of Treatments for Nonmetastatic Castration-Resistant Prostate Cancer: Matching-Adjusted Indirect Comparison and Network Meta-Analysis,"Wang L, Paller C, Hong H, Rosman L, De Felice A, Brawley O, Alexander GC.",J Natl Cancer Inst. 2022 Feb 7;114(2):191-202. doi: 10.1093/jnci/djab071.,Wang L,J Natl Cancer Inst,2022,08/04/2021,PMC8826526,NA,10.1093/jnci/djab071,,08/08/2022
33822328,Comparative Efficacy of Cabozantinib and Ramucirumab After Sorafenib for Patients with Hepatocellular Carcinoma and Alpha-fetoproteinâ€‰â‰¥â€‰400Â ng/mL: A Matching-Adjusted Indirect Comparison,"Trojan J, Mollon P, Daniele B, Marteau F, MartÃ­n L, Li Y, Xu Q, Piscaglia F, Zaucha R, Sarker D, Lim HY, Venerito M.",Adv Ther. 2021 May;38(5):2472-2490. doi: 10.1007/s12325-021-01700-2. Epub 2021 Apr 6.,Trojan J,Adv Ther,2021,06/04/2021,PMC8107171,NA,10.1007/s12325-021-01700-2,,07/08/2022
33818140,Indirect Comparison of Darolutamide versus Apalutamide and Enzalutamide for Nonmetastatic Castration-Resistant Prostate Cancer,"Halabi S, Jiang S, Terasawa E, Garcia-Horton V, Ayyagari R, Waldeck AR, Shore N.",J Urol. 2021 Aug;206(2):298-307. doi: 10.1097/JU.0000000000001767. Epub 2021 Apr 5.,Halabi S,J Urol,2021,05/04/2021,NA,NA,10.1097/JU.0000000000001767,,05/08/2022
33768123,Comparative Effectiveness of Remestemcel-L-rknd versus Ruxolitinib in Pediatric Patients with Steroid-Refractory Acute Graft-Versus-Host Disease using Simulated Treatment Comparisons,"Tremblay G, Tomaras D, Strati E, Forsythe A.",J Health Econ Outcomes Res. 2021 Feb 23;8(1):10-17. doi: 10.36469/jheor.2021.19008.,Tremblay G,J Health Econ Outcomes Res,2021,26/03/2021,PMC7983491,NA,10.36469/jheor.2021.19008,,07/08/2022
33745079,Regorafenib versus cabozantinb as second-line treatment after sorafenib for unresectable hepatocellular carcinoma: matching-adjusted indirect comparison analysis,"Casadei-Gardini A, Rimassa L, Rimini M, Yoo C, Ryoo BY, Lonardi S, Masi G, Kim HD, Vivaldi C, Ryu MH, Rizzato MD, Salani F, Bang Y, Pellino A, Catanese S, Burgio V, Cascinu S, Cucchetti A.",J Cancer Res Clin Oncol. 2021 Dec;147(12):3665-3671. doi: 10.1007/s00432-021-03602-w. Epub 2021 Mar 20.,Casadei-Gardini A,J Cancer Res Clin Oncol,2021,21/03/2021,NA,NA,10.1007/s00432-021-03602-w,,07/08/2022
33733983,"An indirect comparison between bosutinib, nilotinib and dasatinib in first-line chronic phase chronic myeloid leukemia","Muresan B, Mamolo C, Cappelleri JC, Leip E, Viqueira A, Heeg B.",Curr Med Res Opin. 2021 May;37(5):801-809. doi: 10.1080/03007995.2021.1896489. Epub 2021 Apr 2.,Muresan B,Curr Med Res Opin,2021,18/03/2021,NA,NA,10.1080/03007995.2021.1896489,,08/08/2022
33733815,Comparative effectiveness of glasdegib versus venetoclax combined with low-dose cytarabine in acute myeloid leukemia,"Tremblay G, Daniele P, Bell T, Chan G, Brown A, Cappelleri JC.",J Comp Eff Res. 2021 May;10(7):603-612. doi: 10.2217/cer-2020-0280. Epub 2021 Mar 18.,Tremblay G,J Comp Eff Res,2021,18/03/2021,NA,NA,10.2217/cer-2020-0280,,08/08/2022
33664606,Efficacy of rFVIIIFc versus Emicizumab for the Treatment of Patients with Hemophilia A without Inhibitors: Matching-Adjusted Indirect Comparison of A-LONG and HAVEN Trials,"Klamroth R, Wojciechowski P, AballÃ©a S, Diamand F, Hakimi Z, Nazir J, Abad-Franch L, Lethagen S, Santagostino E, Tarantino MD.",J Blood Med. 2021 Feb 25;12:115-122. doi: 10.2147/JBM.S288283. eCollection 2021.,Klamroth R,J Blood Med,2021,05/03/2021,PMC7921628,NA,10.2147/JBM.S288283,,08/08/2022
33638735,Is Atezolizumab Plus Bevacizumab for Unresectable Hepatocellular Carcinoma Superior Even to Lenvatinib? A Matching-Adjusted Indirect Comparison,"Casadei-Gardini A, Tada T, Shimose S, Kumada T, Niizeki T, Cascinu S, Cucchetti A.",Target Oncol. 2021 Mar;16(2):249-254. doi: 10.1007/s11523-021-00803-8. Epub 2021 Feb 27.,Casadei-Gardini A,Target Oncol,2021,27/02/2021,NA,NA,10.1007/s11523-021-00803-8,,08/08/2022
33626934,Matching-adjusted indirect comparison of palbociclib versus ribociclib and abemaciclib in hormone receptor-positive/HER2-negative advanced breast cancer,"Rugo HS, Haltner A, Zhan L, Tran A, Bananis E, Hooper B, Mitra D, Cameron C.",J Comp Eff Res. 2021 Apr;10(6):457-467. doi: 10.2217/cer-2020-0272. Epub 2021 Feb 25.,Rugo HS,J Comp Eff Res,2021,25/02/2021,NA,NA,10.2217/cer-2020-0272,,08/08/2022
33603419,Preliminary Cost-Effectiveness and Cost-Utility Analysis of Cemiplimab in Patients with Advanced Cutaneous Squamous Cell Carcinoma in Italy,"Ghetti G, D'Avella MC, Pradelli L.",Clinicoecon Outcomes Res. 2021 Feb 10;13:121-133. doi: 10.2147/CEOR.S295605. eCollection 2021.,Ghetti G,Clinicoecon Outcomes Res,2021,19/02/2021,PMC7882423,NA,10.2147/CEOR.S295605,"No results provided for this ITC (economics analysis), therefore excluded",XX
