key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-804153332,The Degree of Programmed Death-Ligand 1 (PD-L1) Positivity as a Determinant of Outcomes in Metastatic Triple-Negative Breast Cancer Treated With First-Line Immune Checkpoint Inhibitors.,2022,1,,Cureus,2168-8184 (Print),14,1,e21065,Di Spazio L and Rivano M and Cancanelli L and Chiumente M and Mengato D and Messori A,https://pubmed.ncbi.nlm.nih.gov/35028245/,eng,,,"In metastatic triple-negative breast cancer (TNBC), the efficacy of immune checkpoint inhibitors (ICIs) in combination with chemotherapy has been demonstrated in randomized clinical trials (RCTs). Despite this, an indirect comparison is not yet available. Reconstruction of individual patient data from Kaplan-Meier curves allows the indirect comparison of different treatments. We analyzed six overall survival (OS) curves from three RCTs. In patients with ≥1% positivity, atezolizumab was found to determine a significantly better OS than pembrolizumab. As regards pembrolizumab, adopting a threshold of PD-L1 positivity ≥10% (as opposed to ≥1%) improved median survival to a remarkable extent (23.0 vs 15.5 months).","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",35028245,PMC8743568
rayyan-804153334,"Current Therapies in Patients With Posterior Semicircular Canal BPPV, a Systematic Review and Network Meta-analysis.",2022,4,1,"Otology & neurotology : official publication of the American Otological Society,           American Neurotology Society [and] European Academy of Otology and Neurotology",1537-4505 (Electronic),43,4,421-428,Li D and Cheng D and Yang W and Chen T and Zhang D and Ren J and Zhao Y,https://pubmed.ncbi.nlm.nih.gov/34999620/,eng,,United States,"OBJECTIVE: To compare the efficacy of different treatments for posterior semicircular canal benign paroxysmal positional vertigo (PC-BPPV) by using direct and indirect evidence from existing randomized data. METHODS: Randomized case-control studies that compared the efficacy of various nonsurgical treatments in PC-BPPV patients at 1 week and 1 month of follow-up were comprehensively screened. Bayesian network meta-analysis was performed to evaluate direct and indirect treatment comparisons. We further conducted subgroup pairwise meta-analysis to explore the inconsistency between comparisons of the Epley versus a sham maneuver and the Epley versus the Semont maneuver. RESULTS: A total of 41 parallel, randomized controlled studies were included. The Epley with vestibular rehabilitation (EVR), Epley, Semont and Hybrid maneuvers were effective in eliminating nystagmus during a Dix-Hallpike test at 1 week of follow-up (odds ratios [ORs]: 11.41-23.8, 95% credible interval [CrI]: excluding null), among which EVR showed the best efficacy (the surface area under the cumulative ranking curves [SUCRA] = 77.5%). However, at 1 month of follow-up, only the Semont (rank first, SUCRA = 76.1%) and Epley maneuvers (rank second, SUCRA = 65.3%) were effective in eliminating nystagmus during a Dix-Hallpike test. In the pairwise subgroup meta-analysis, for patients younger than 55 years of age, the efficacy of the Epley maneuver was comparable to that of the Semont maneuver [rate ratio (RR): 0.99, 95% confidence interval (CI): 0.93-1.05]; for patients with a longer duration before treatment, the effect of the Epley maneuver was equivalent to that of a sham maneuver (RR: 1.07, 95% CI: 0.90-1.29). CONCLUSION: Among the 12 types of PC-BPPV treatments, the Epley, Semont, EVR, and Hybrid maneuvers were effective in eliminating nystagmus during a Dix-Hallpike test for PC-BPPV at 1 week of follow-up, whereas only the Epley and Semont maneuvers were effective at 1 month of follow-up. The duration before treatments and the age of patients might contribute to the efficacy of treatments.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",34999620,
rayyan-804153336,"A Cost-effectiveness Analysis Comparing Pembrolizumab-Axitinib, Nivolumab-Ipilimumab, and Sunitinib for Treatment of Advanced Renal Cell Carcinoma.",2022,2,1,American journal of clinical oncology,1537-453X (Electronic),45,2,66-73,Chan A and Dang C and Wisniewski J and Weng X and Hynson E and Zhong L and Wilson L,https://pubmed.ncbi.nlm.nih.gov/34991104/,eng,,United States,"OBJECTIVES: The US Food and Drug Administration (FDA) approved nivolumab-ipilimumab and pembrolizumab-axitinib as first-line treatments for metastatic, clear-cell, renal cell carcinoma (mRCC) based on results from CheckMate 214 and KEYNOTE-426. Our objective was to compare the adjusted, lifetime cost-effectiveness between nivolumab-ipilimumab, pembrolizumab-axitinib, and sunitinib for patients with mRCC. MATERIALS AND METHODS: A 3-state Markov model was developed comparing nivolumab-ipilimumab and pembrolizumab-axitinib to each other and sunitinib, over a 20-year lifetime horizon from a US medical center perspective. The clinical outcomes of nivolumab-ipilimumab and pembrolizumab-axitinib were compared using matching-adjusted indirect comparison. Costs of drug treatment, adverse events, and utilities associated with different health states and adverse events were determined using national sources and published literature. Our outcome was incremental cost-effectiveness ratio (ICER) using quality-adjusted life years (QALY). One-way and probabilistic sensitivity analyses were conducted. RESULTS: Nivolumab-ipilimumab was the most cost-effective option in the base case analysis with an ICER of $34,190/QALY compared with sunitinib, while the pembrolizumab-axitinib ICER was dominated by nivolumab-ipilimumab and was not cost-effective (ICER=$12,630,828/QALY) compared with sunitinib. The mean total costs per patient for the nivolumab-ipilimumab and pembrolizumab-axitinib arms were $284,683 and $457,769, respectively, compared with sunitinib at $241,656. QALY was longer for nivolumab-ipilimumab (3.23 QALY) than for adjusted pembrolizumab-axitinib (1.99 QALY), which was longer than sunitinib's (1.98 QALY). These results were most sensitive to treatment cost in both groups, but plausible changes did not alter the conclusions. CONCLUSIONS: The base case scenario indicated that nivolumab-ipilimumab was the most cost-effective treatment option for mRCC compared with pembrolizumab-axitinib and sunitinib.","RAYYAN-INCLUSION: {""Max""=>""Included""}",34991104,
rayyan-804153338,COVID-19 vaccination effectiveness rates by week and sources of bias.,2021,12,24,medRxiv : the preprint server for health sciences,,,,,Ostropolets A and Hripcsak G,https://pubmed.ncbi.nlm.nih.gov/34981073/,eng,,,"IMPORTANCE: Randomized clinical trials and observational studies have demonstrated high overall effectiveness for the three US-authorized COVID-19 vaccines against symptomatic COVID-19 infection. Nevertheless, the challenges associated with the use of observational data can undermine the results of the studies. OBJECTIVE: To assess the feasibility of using observational data for vaccine effectiveness studies by examining granular weekly effectiveness. DESIGN SETTINGS AND PARTICIPANTS: In this retrospective cohort study, we used Columbia University Medical Center data linked to State and City Immunization Registries to assess the weekly effectiveness of mRNA COVID-19 vaccines. We conducted manual chart review of cases in week one in both groups along with a set of sensitivity analyses for Pfizer-BioNTech, Moderna and Janssen vaccines. MAIN OUTCOMES AND MEASURES: We used propensity score matching with up to 54,987 covariates and fitted Cox proportional hazards models to estimate hazard ratios and constructed Kaplan-Meier plots for two main outcomes (COVID-19 infection and COVID-19-associated hospitalization). RESULTS: The study included 179,666 patients. We observed increasing effectiveness after the first dose of mRNA vaccines with week 6 effectiveness approximating 84% (95% CI 72-91%) for COVID-19 infection and 86% (95% CI 69-95) for COVID-19-associated hospitalization. When analyzing unexpectedly high effectiveness in week one, chart review revealed that vaccinated patients are less likely to seek care after vaccination and are more likely to be diagnosed with COVID-19 during the encounters for other conditions. Sensitivity analyses showed potential outcome misclassification for COVID-19 ICD10-CM diagnosis and the influence of excluding patients with prior COVID-19 infection and anchoring in the unexposed group. Overall vaccine effectiveness analysis in fully vaccinated patients matched the results of the randomized trials. CONCLUSIONS AND RELEVANCE: Observational data can be used to ascertain vaccine effectiveness if potential biases are accounted for. The data need to be scrutinized to ensure that compared groups exhibit similar health seeking behavior and are equally likely to be captured in the data. Given the difference in temporal trends of vaccine exposure and baseline characteristics, indirect comparison of vaccines may produce biased results. KEY POINTS: Question: When accounted for all potential biases, what is the weekly effectiveness of COVID-19 vaccines?Findings: In this cohort study we replicated the results of randomized clinical trials, discovered plausible increase in effectiveness after week one following the first dose of mRNA COVID-19 vaccines and found differences in temporal trends of vaccine exposure and baseline characteristics in vaccinated groups.Meaning: Observational data can be used to reliably estimate vaccine effectiveness if the biases are accounted for. Vaccines need to be directly compared.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",34981073,PMC8722616
rayyan-804153339,Comparative efficacy of tisagenlecleucel and lisocabtagene maraleucel among adults with relapsed/refractory large B-cell lymphomas: an indirect treatment comparison.,2022,1,2,Leukemia & lymphoma,1029-2403 (Electronic),,,1-10,Schuster SJ and Zhang J and Yang H and Agarwal A and Tang W and Martinez-Prieto M and Bollu V and Kuzan D and Maziarz RT and Kersten MJ,https://pubmed.ncbi.nlm.nih.gov/34978255/,eng,,United States,"This study compared overall survival (OS), progression-free survival (PFS), complete response rate (CRR), and overall response rate (ORR) of tisagenlecleucel (tisa-cel) and lisocabtagene maraleucel (liso-cel) in relapsed or refractory large B-cell lymphomas (r/r LBCL). Using matching-adjusted indirect comparison (MAIC), individual patient-level data from JULIET (tisa-cel) were weighted to match the patient population in TRANSCEND (liso-cel). The main analysis compared infused JULIET patients (N = 106) with the TRANSCEND efficacy-evaluable set (EES) (N = 256 [infused]). After adjustment, OS, PFS, and the CRR were comparable between tisa-cel and liso-cel EES patients. The estimated adjusted 2-year OS, 2-year PFS, ORR, and CRR were 45.6, 38.2, 62.9, and 47.7%, respectively, for tisa-cel vs. 43.8, 42.1, 72.7, and 53.1% for liso-cel. A scenario analysis compared JULIET patients to the TRANSCEND primary analysis set (PAS) (N = 133). ORR was significantly higher in the TRANSCEND PAS compared with matched JULIET patients, but no significant differences in CRR were observed.","RAYYAN-INCLUSION: {""Max""=>""Included""}",34978255,
rayyan-804153341,Efficacy of Immune Checkpoint Inhibitors in Patients with Mismatch Repair-Deficient or Microsatellite Instability-High Metastatic Colorectal Cancer: Analysis of Three Phase-II Trials.,2021,11,,Cureus,2168-8184 (Print),13,11,e19893,Cancanelli L and Rivano M and Di Spazio L and Chiumente M and Mengato D and Messori A,https://pubmed.ncbi.nlm.nih.gov/34966607/,eng,,,"Programmed cell death ligand 1 (PD-L1) and programmed cell death protein 1 (PD-1) inhibitors are increasingly used in a variety of solid tumors. In patients with DNA mismatch repair-deficient (dMMR)/microsatellite instability-high (MSI-H) metastatic colorectal cancer, their efficacy has been demonstrated in recently published phase-II trials. However, an indirect comparison of effectiveness between pembrolizumab, nivolumab, and nivolumab+ipilimumab is not yet available. After a standard literature search, we analyzed four overall survival (OS) curves from three phase-II trials. Individual patient data were reconstructed from each curve using a specific web-based technique (Shiny method). Indirect statistical comparisons were made based on hazard ratio (HR) and restricted mean survival time (RMST). Nivolumab+ipilumumab had a better HR compared with pembrolizumab (0.65, 95% confidence interval [CI], 0.43 to 1.002, p=0.051); the difference being close to statistical significance. In the analysis based on RMST, the combination of nivolumab+ipilimumab showed a significantly longer OS than pembrolizumab (improvement in RMST, 1.08 mos; 95%CI, 0.11 to 2.06; p=0.029). The other two pairwise differences in RMST (nivolumab vs. pembrolizumab and nivolumab+ ipilimumab vs. nivolumab) had a smaller magnitude (0.25 mos, 95%CI, -0.99 to 1.48, and 0.84 mos, 95%CI, -0.40 to 2.07, respectively) and were far from statistical significance. Our results favoring the combination of nivolumab+ipilimumab in metastatic colorectal cancer must be viewed with caution owing to the indirect nature of our statistical comparisons. With this limitation in mind, the magnitude of the incremental benefit for the above combination treatment was estimated to be around one month over a follow-up of 15 months.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",34966607,PMC8710086
rayyan-804153343,Comparative efficacy of ravulizumab and eculizumab in the treatment of atypical hemolytic uremic syndrome: An indirect comparison using clinical trial data .,2021,12,21,Clinical nephrology,0301-0430 (Print),,,,Tomazos I and Hatswell AJ and Cataland S and Chen P and Freemantle N and Lommele Å and Deighton K and Knowles E and Sheerin NS and Rondeau E,https://pubmed.ncbi.nlm.nih.gov/34931610/,eng,,Germany,"Ravulizumab and eculizumab are approved terminal complement inhibitor treatments for atypical hemolytic uremic syndrome (aHUS). Ravulizumab was engineered from eculizumab to have an increased half-life allowing for reduced dosing frequency (8-weekly vs. 2-weekly). To account for differences in respective clinical trials, a validated balancing technique was used to enable an indirect comparison of ravulizumab and eculizumab treatment efficacy in aHUS. Patient-level data from four eculizumab clinical trials were available for pooling and comparison with data from two ravulizumab trials. In the primary analysis, adult native kidney data were compared. Propensity scores were calculated from baseline characteristics (dialysis status, estimated glomerular filtration rate, platelet count, serum lactate dehydrogenase). Stabilized inverse probability weighting was used to balance groups. Changes in outcomes from baseline to 26 weeks were compared between treatment groups. Sensitivity and subgroup analyses were conducted to assess the robustness of findings. Overall, 85 patients (46 ravulizumab, 39 eculizumab) were included in the primary analysis. Demographic and clinical characteristics were well balanced after weighting at baseline. At 26 weeks, clinical outcomes (including renal function, hematological markers, and dialysis prevalence), and fatigue and quality of life measures were improved with eculizumab and ravulizumab treatment. No differences between treatment groups reached statistical significance, although confidence intervals were wide. Sensitivity and subgroup analysis results were consistent with those of the primary analysis. Using appropriate methodology for indirect comparison of studies, no differences in outcomes were seen between ravulizumab and eculizumab, although, owing to small sample sizes, confidence intervals were wide. .","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-LABELS: FULL_ARTICLE | RAYYAN-EXCLUSION-REASONS: no_paitc",34931610,
rayyan-804153344,An indirect treatment comparison of semaglutide 2.0 mg versus dulaglutide 3.0 mg and 4.5 mg using multilevel network meta-regression.,2021,12,18,The Journal of clinical endocrinology and metabolism,1945-7197 (Electronic),,,,Lingvay I and Bauer R and Baker-Knight J and Lawson J and Pratley R,https://pubmed.ncbi.nlm.nih.gov/34922383/,eng,,United States,"AIMS: Currently no head-to-head data are available comparing semaglutide 2.0 mg with dulaglutide 3.0 mg or 4.5 mg. We conducted an indirect treatment comparison (ITC) of their effects on glycated haemoglobin (HbA1c) and body weight in patients with type 2 diabetes (T2D). MATERIALS AND METHODS: Multilevel network meta-regression (MLNMR) was conducted, based on a connected evidence network of published results from the AWARD-11 trial and individual patient data (IPD) from the SUSTAIN FORTE and SUSTAIN 7 trials. RESULTS: Semaglutide 2.0 mg significantly reduced HbA1c versus dulaglutide 3.0 mg and 4.5 mg, with estimated treatment differences (ETD) of -0.44%-points (95% credible interval [CrI]: -0.68, -0.19) and -0.28%-points (95% CrI: -0.52, -0.03), respectively. Semaglutide 2.0 mg also significantly reduced body weight versus dulaglutide 3.0 mg and 4.5 mg with ETDs of -3.29 kg (95% CrI: -4.62, -1.96) and -2.57 kg (95% CrI: -3.90, -1.24), respectively. Odds of achieving HbA1c <7.0% were significantly greater for semaglutide 2.0 versus dulaglutide 3.0 mg (odds ratio [OR]: 2.23 [95% CrI: 1.15, 3.90]), while this did not reach significance for semaglutide 2.0 mg versus dulaglutide 4.5 mg (OR: 1.58 [95% CrI: 0.82, 2.78]). Sensitivity analyses supported the main analysis findings. CONCLUSIONS: This ITC demonstrated significantly greater reductions from baseline in HbA1c and body weight with semaglutide 2.0 mg vs dulaglutide 3.0 mg and 4.5 mg. The findings of this study provide important comparative effectiveness information until randomised head-to-head studies become available.","RAYYAN-INCLUSION: {""Max""=>""Included""} | RAYYAN-LABELS: FULL_ARTICLE",34922383,
rayyan-804153346,Use of [(177)Lu]Lu-DOTA-TATE in the treatment of gastroenteropancreatic neuroendocrine tumours: Results of a UK cost-effectiveness modelling study.,2021,11,,"EJC supplements : EJC : official journal of EORTC, European Organization for           Research and Treatment of Cancer ... [et al.]",1359-6349 (Print),16,,14-23,Glover M and Caplin M and Leeuwenkamp OR and Longworth L,https://pubmed.ncbi.nlm.nih.gov/34912479/,eng,,,"AIM: To evaluate the cost-effectiveness of [(177)Lu]Lu-DOTA-TATE versus relevant comparators for the treatment of neuroendocrine tumours located in the gastrointestinal tract (GI-NETs) and the pancreas (P-NETs). MATERIALS AND METHODS: A three-state partitioned survival model was developed to perform a cost-utility analysis of [(177)Lu]Lu-DOTA-TATE versus standard of care (high dose Octreotide LAR), everolimus and sunitinib. Effectiveness data for SoC, everolimus and sunitinib were obtained from published Kaplan-Meier survival curves. Given a lack of head-to-head effectiveness data, matching adjusted indirect comparisons (MAICs) were performed to population-adjust [(177)Lu]Lu-DOTA-TATE survival data based on prognostic factors and derive estimates of relative effectiveness. Health state utilities were estimated from real-world evidence. Drug acquisition costs were taken from nationally published sources (BNF, NICE), and administration costs were based on treatment protocols in [(177)Lu]Lu-DOTA-TATE studies, combined with nationally published unit costs (PSSRU, DoH reference costs). Incidence of adverse events were estimated using published sources. A discount rate of 3.5% was applied to both utilities and costs, and deterministic and probabilistic sensitivity analyses were performed. Costs were included from an NHS perspective and presented in 2017/18 GBP (and PPP Euros for base case). RESULTS: In GI-NETs, the incremental cost-effectiveness ratio (ICER) of [(177)Lu]Lu-DOTA-TATE compared to SoC and everolimus was £26,528 (€27,672) and £24,145 (€25,186) per QALY, respectively. In P-NETs, the ICER of [(177)Lu]Lu-DOTA-TATE compared to SoC was £22,146 (€23,101) or £28,038 (€29,251) dependent on matched population, and £21,827 (€22,766) and £15,768 (€16,445) compared to everolimus and sunitinib, respectively. CONCLUSIONS: At a willingness to pay threshold of £30,000, [(177)Lu]Lu-DOTA-TATE is likely to be a cost-effective treatment option for GI-NET and P-NET patients versus relevant treatment comparators (NHS perspective).","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-LABELS: to_read,FULL_ARTICLE | RAYYAN-EXCLUSION-REASONS: other_paitc | USER-NOTES: {""Max""=>[""Est-ce que la MAIC est incluse dans cet article ? ""]}",34912479,PMC8591195
rayyan-804153348,"Matching-adjusted indirect treatment comparison of [(177)Lu]Lu-DOTA-TATE, everolimus and sunitinib in advanced, unresectable gastroenteropancreatic neuroendocrine tumours: Relative effectiveness of [(177)Lu]Lu-DOTA-TATE in gastroenteropancreatic neuroendocrine tumours.",2021,11,,"EJC supplements : EJC : official journal of EORTC, European Organization for           Research and Treatment of Cancer ... [et al.]",1359-6349 (Print),16,,5-13,Khan MS and Stamp E and Sammon C and Brabander T and de Herder WW and Pavel ME,https://pubmed.ncbi.nlm.nih.gov/34912478/,eng,,,"Head-to-head comparisons of the efficacy of treatments for gastroenteropancreatic neuroendocrine tumours (GEP-NETs) have not yet been reported. This study used a series of matching-adjusted indirect comparisons to indirectly compare the effectiveness of [(177)Lu]Lu-DOTA-TATE to everolimus, sunitinib and best supportive care (BSC) for extending progression-free survival and overall survival in patients with advanced, unresectable gastrointestinal (GI)-NETs and P-NETs. The results of the main analysis suggest that after accounting for differences in key prognostic variables, the hazard of progression was 62% (hazard ratio [HR], 0.38; confidence interval [CI](95) 0.25-0.58) and 65% (HR 0.35 CI(95) 0.21-0.59) lower in patients with GI-NETs treated with [(177)Lu]Lu-DOTA-TATE than in those treated with everolimus and BSC, respectively. Similarly, the hazard of progression was 64% (HR 0.36 CI(95) 0.18-0.70), 54% (HR 0.46 CI(95) 0.30-0.71) and 79-87% (HR 0.21 CI(95) 0.13-0.32; HR 0.13 CI(95) 0.08-0.22) lower in patients with P-NET treated with [(177)Lu]Lu-DOTA-TATE than in those treated with sunitinib, everolimus and BSC, respectively. The hazard of death was 58% (HR 0.42 CI(95) 0.25-0.72), 47% (HR 0.53 CI(95) 0.33-0.87) and 44-64% (HR 0.56 CI(95) 0.36-0.90; HR 0.34 CI(95) 0.20-0.57) lower in P-patients with NET treated with [(177)Lu]Lu-DOTA-TATE than in those treated with sunitinib, everolimus and BSC, respectively. While our results must be interpreted with caution given the non-randomised nature of the comparisons and the potential for residual confounding, the magnitude of the effect sizes we observe and their consistency across comparators suggest that [(177)Lu]Lu-DOTA-TATE may be a more effective treatment option than everolimus, sunitinib and BSC in advanced, unresectable GEP-NETs.","RAYYAN-INCLUSION: {""Max""=>""Included""}",34912478,PMC8591206
rayyan-804153350,"Adjusted Comparison of Outcomes between Patients from CARTITUDE-1 versus Multiple Myeloma Patients with Prior Exposure to PI, Imid and Anti-CD-38 from a German Registry.",2021,11,29,Cancers,2072-6694 (Print),13,23,,Merz M and Goldschmidt H and Hari P and Agha M and Diels J and Ghilotti F and Perualila NJ and Cabrieto J and Haefliger B and Sliwka H and Schecter JM and Jackson CC and Olyslager Y and Akram M and Nesheiwat T and Kellermann L and Jagannath S,https://pubmed.ncbi.nlm.nih.gov/34885106/,eng,,,"Ciltacabtagene autoleucel (cilta-cel) is a Chimeric antigen receptor T-cell therapy with the potential for long-term disease control in heavily pre-treated patients with relapsed/refractory multiple myeloma (RRMM). As cilta-cel was assessed in the single-arm CARTITUDE-1 clinical trial, we used an external cohort of patients from the Therapie Monitor registry fulfilling the CARTITUDE-1 inclusion criteria to evaluate the effectiveness of cilta-cel for overall survival (OS) and time to next treatment (TTNT) vs. real-world clinical practice. Individual patient data allowed us to adjust the comparisons between both cohorts, using the inverse probability of treatment weighting (IPW; average treatment effect in the treated population (ATT) and overlap population (ATO) weights) and multivariable Cox proportional hazards regression. Outcomes were compared in intention-to-treat (HR, IPW-ATT: TTNT: 0.13 (95% CI: 0.07, 0.24); OS: 0.14 (95% CI: 0.07, 0.25); IPW-ATO: TTNT: 0.24 (95% CI: 0.12, 0.49); OS: 0.26 (95% CI: 0.13, 0.54)) and modified intention-to-treat (HR, IPW-ATT: TTNT: 0.24 (95% CI: 0.09, 0.67); OS: 0.26 (95% CI: 0.08, 0.84); IPW-ATO: TTNT: 0.26 (95% CI: 0.11, 0.59); OS: 0.31 (95% CI: 0.12, 0.79)) populations. All the comparisons were statistically significant in favor of cilta-cel. These results highlight cilta-cel's potential as a novel, effective treatment to address unmet needs in patients with RRMM.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",34885106,PMC8656798
rayyan-804153352,Matching-Adjusted Indirect Comparison of Crisaborole Ointment 2% vs. Topical Calcineurin Inhibitors in the Treatment of Patients with Mild-to-Moderate Atopic Dermatitis.,2022,1,,Dermatology and therapy,2193-8210 (Print),12,1,185-194,Thom H and Cheng V and Keeney E and Neary MP and Eccleston A and Zang C and Cappelleri JC and Cha A and Thyssen JP,https://pubmed.ncbi.nlm.nih.gov/34877623/,eng,,,"INTRODUCTION: Crisaborole topical ointment, 2%, is a nonsteroidal, topical anti-inflammatory phosphodiesterase-4 (PDE4) inhibitor that is approved for the treatment of mild-to-moderate atopic dermatitis (AD). The objective of the current analysis was to compare the efficacy of crisaborole 2% relative to pimecrolimus 1%, tacrolimus 0.03% and tacrolimus 0.1% in patients aged ≥ 2 years with mild-to-moderate AD by comparing improvement in Investigator's Static Global Assessment scores ( (ISGA scores of 0/1 indicating ""clear or almost clear""). ISGA was selected as the primary efficacy outcome given the US Food and Drug Administration's recommendations on the use of ISGA for assessment of global severity in AD and to align with efficacy measurements in the crisaborole registration trials. Safety endpoints could not be analyzed due to differences in outcome definitions across studies. METHODS: Efficacy of crisaborole was evaluated using individual patient data (IPD) from two pivotal phase III randomized controlled trials (RCTs), and efficacy of comparators was evaluated using published RCTs included in a previous network meta-analysis. Vehicle controls were not comparable due to differences in ingredients and population imbalance and, therefore, an unanchored matching-adjusted indirect comparison (MAIC) was used, which reweighted IPD for crisaborole to estimate absolute response in comparator populations. RESULTS: The odds of achieving an improvement in ISGA score was higher with crisaborole 2% versus pimecrolimus 1% (odds ratio [OR] 2.03; 95% confidence interval [CI] 1.45-2.85; effective sample size =  627, reduced from 1021; p value < 0.001) and for crisaborole 2% versus tacrolimus 0.03% (OR 1.50; 95% CI 1.09-2.05; effective sample size = 311, reduced from 1021; p = 0.012). CONCLUSION: The unanchored MAIC suggests that the odds of achieving an improvement in ISGA score is greater with crisaborole 2% than with pimecrolimus 1% or tacrolimus 0.03% in patients aged ≥ 2 years with mild-to-moderate AD. These results are consistent with findings from the previously published network meta-analysis, which used a different methodology for performing indirect treatment comparisons.","RAYYAN-INCLUSION: {""Max""=>""Included""}",34877623,PMC8776944
rayyan-804153354,Indirect treatment comparison of cenobamate to other ASMs for the treatment of uncontrolled focal seizures.,2022,1,,Epilepsy & behavior : E&B,1525-5069 (Electronic),126,,108429,Privitera M and Richy FF and Schabert VF,https://pubmed.ncbi.nlm.nih.gov/34864380/,eng,,United States,"OBJECTIVE: The efficacy and safety of cenobamate relative to other antiseizure medications (ASMs) has not been evaluated. An indirect treatment comparison (network meta-analysis) was performed to determine if adjunctive cenobamate increases the odds ratio (OR) for ≥50% responder rate or for withdrawals due to treatment-emergent adverse events (TEAEs) leading to ASM discontinuation versus adjunctive therapy with other ASMs. METHODS: A systematic literature review was conducted to identify randomized, double-blind, placebo-controlled trials (maintenance phase ≥ 12 weeks) assessing adjunctive ASMs in adults with uncontrolled focal seizures. Cenobamate was compared to a group of seven other ASMs, and to subgroups of branded (brivaracetam, eslicarbazepine acetate, lacosamide, and perampanel) and older (lamotrigine, levetiracetam, and topiramate) ASMs at FDA-recommended daily maintenance doses (FDA-RDMD), at all doses, and at maximum and minimum daily doses. Statistical significance was set at p < 0.05. RESULTS: Twenty-one studies were eligible for analysis. The placebo-adjusted ≥ 50% responder rate for FDA-RDMD of cenobamate was superior (OR 4.200; 95% CI 2.279, 7.742) to FDA-RDMD of all seven assessed (OR 2.202 95% CI 1.915, 2.532; p = 0.044) and branded ASMs (OR 2.148; 95% CI 1.849, 2.494; p = 0.037). There was no significant difference for ≥50% responder rate between FDA-RDMD of cenobamate and FDA-RDMD of older ASMs (OR 2.617; 95% CI 1.767, 3.878; p = 0.202). No significant differences were identified for ≥50% responder rate when comparing all doses and maximum/minimum doses of cenobamate to all seven, branded, and older ASMs. Cenobamate demonstrated comparable TEAE withdrawal rates to all seven ASMs, branded ASMs, and older ASMs across each of the four dose ranges (all p > 0.05). SIGNIFICANCE: Patients receiving FDA-RDMD of cenobamate were more likely to have ≥50% seizure reduction compared with FDA-RDMD of the seven assessed ASMs and branded ASMs, without an increase in treatment discontinuation due to TEAEs.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",34864380,
rayyan-804153355,Conceptual Framework and Methodological Challenges for Modeling Effectiveness in Oncology Treatment Sequence Models.,2022,3,,PharmacoEconomics,1179-2027 (Electronic),40,3,257-268,Huang M and Ramsey S and Xue W and Xie J and Pellissier J and Briggs A,https://pubmed.ncbi.nlm.nih.gov/34841472/,eng,,New Zealand,"In this review, we summarize the challenges faced by existing oncology treatment sequence decision models and introduce a general framework to conceptualize such models. In the proposed framework, patients with cancer receive at least two lines of therapy (LOTs) followed by palliative care throughout their lifetime. Patients cycle through progression-free and progressive disease health states in each LOT before death. Under this framework, four broad aspects of modeling effectiveness of treatment sequences need exploration. First, disease progression, treatment discontinuation, and the relationship between the two events should be considered. Second, the effectiveness of each LOT depends on its placement in a treatment sequence as the effectiveness of later LOTs may be influenced by the earlier LOTs. Third, the treatment-free interval (TFI; time between discontinuation of earlier LOT and initiation of later LOT) may impact a therapy's effectiveness. Fourth, in the absence of head-to-head trials directly comparing LOTs, indirect treatment comparison (ITC) of outcomes for a specific LOT or even for the entire treatment sequence is important to consider. A search of decision models that estimated effectiveness of at least two lines of oncology therapy was conducted in PubMed (N = 20) and technology appraisals by the National Institute for Health and Care Excellence (N = 26) to assess four methodological aspects related to the model framework: (1) selection of outcomes for effectiveness in a treatment sequence, (2) approaches to adjust the efficacy of a treatment in consideration of its place in the sequence, (3) approaches to address TFIs between LOTs, and (4) incorporation of ITCs to estimate comparators' effectiveness in the absence of direct head-to-head evidence. Most models defined health states based on disease progression on different LOTs while estimating treatment duration outside of the main model framework (30/46) and used data from multiple data sources in different LOTs to model efficacy of a treatment sequence (41/46). No models adjusted efficacy for the characteristics of patients who switched from an earlier LOT to a later LOT or adjusted for the impact of prior therapies, and just six models considered TFIs. While 11 models applied ITC results to estimate efficacy in comparator treatment sequences, the majority limited the ITC to one LOT in the sequence. Thus, there is substantial room to improve the estimation of effectiveness for treatment sequences using existing data when comparing effectiveness of alternative treatment sequences.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong_topic",34841472,
