doi	section	ITC num	Ind studies num	questions	decision	PMID
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Primary outcome: variable type	Continuous (count, mean, ...)	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	Yes	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	419	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	79	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	56	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Number of covariates adjusted for/matched on	3	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Other(s)	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: treatment effect contrast	Means difference	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: unadjusted treatment effect	-2.38	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	[-3.49;-1.27]	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: adjusted treatment effect	-2.31	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	[-3.45;-1.17]	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Patient-level data used	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Clinical Trial	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01868997	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Phase of the clinical trial (clinical trial only)	2	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Patient-level data used	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Clinical Trial	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01868997	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Phase of the clinical trial (clinical trial only)	2	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Patient-level data used	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Clinical Trial	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT03298867	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Patient-level data used	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Clinical Trial	Yes	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT03298867	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Patient-level data used	No	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Clinical Trial	No	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	meta-analysis of clinical trials from 12 articles	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Number of treatment arms (clinical trial only)	NA	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Patient-level data used	No	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Clinical Trial	XXXX	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	bartalena at al., 2012	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Number of treatment arms (clinical trial only)	XXXX	NA
10.1002/edm2.259	general_information	NA	NA	Medical Condition of Interest Name	type 2 diabetes	NA
10.1002/edm2.259	general_information	NA	NA	Countries of first author affiliations	uk	NA
10.1002/edm2.259	general_information	NA	NA	Countries of last author affiliations	denmark	NA
10.1002/edm2.259	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Pharmaceutical Industry, Private Data Analysis Company	NA
10.1002/edm2.259	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1002/edm2.259	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1002/edm2.259	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1002/edm2.259	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1002/edm2.259	general_information	NA	NA	Medical Condition of Interest Name	XXXX	NA
10.1002/edm2.259	general_information	NA	NA	Countries of first author affiliations	uk	NA
10.1002/edm2.259	general_information	NA	NA	Countries of last author affiliations	XXXX	NA
10.1002/edm2.259	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Pharmaceutical Industry, Private Data Analysis Company	NA
10.1002/edm2.259	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1002/edm2.259	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1002/edm2.259	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1002/edm2.259	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1002/edm2.259	methodology	1	NA	Treatment name 1	semaglutide 0.5  +  1 mg	NA
10.1002/edm2.259	methodology	1	NA	Study 'number(s)' for treatment 1	1	NA
10.1002/edm2.259	methodology	1	NA	Treatment name 2	dulaglutide 1.5 mg	NA
10.1002/edm2.259	methodology	1	NA	Study 'number(s)' for treatment 2	2	NA
10.1002/edm2.259	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC	NA
10.1002/edm2.259	methodology	1	NA	Anchored comparison?	Yes	NA
10.1002/edm2.259	methodology	1	NA	Form of the indirect comparison	Simple (ie treatments effects extracted from two studies)	NA
10.1002/edm2.259	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes	NA
10.1002/edm2.259	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	3 point mace (cardiovascular death, non-fatal myocardial infraction, non-fatal stroke)	NA
10.1002/edm2.259	methodology	1	NA	Primary outcome: variable type	Time-to-event	NA
10.1002/edm2.259	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion)	NA
10.1002/edm2.259	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	No	NA
10.1002/edm2.259	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes	NA
10.1002/edm2.259	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No	NA
10.1002/edm2.259	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	NA
10.1002/edm2.259	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials	NA
10.1002/edm2.259	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	NA
10.1002/edm2.259	results	1	NA	Number of covariates adjusted for/matched on	6	NA
10.1002/edm2.259	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison)	NA
10.1002/edm2.259	results	1	NA	Primary outcome: treatment effect contrast	HR	NA
10.1002/edm2.259	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference	NA
10.1002/edm2.259	results	1	NA	Primary outcome: adjusted treatment effect	0.74	NA
10.1002/edm2.259	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	0.06	NA
10.1002/edm2.259	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	NA	NA
10.1002/edm2.259	results	1	NA	If anchored comparison, sample size of the population of interest in the non IPD treatment anchor arm	NA	NA
10.1002/edm2.259	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	NA	NA
10.1002/edm2.259	results	1	NA	If anchored comparison, initial sample size of the population of interest in the IPD anchor arm	NA	NA
10.1002/edm2.259	study_information	NA	1	Patient-level data used	Yes	NA
10.1002/edm2.259	study_information	NA	1	Clinical Trial	Yes	NA
10.1002/edm2.259	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01720446	NA
10.1002/edm2.259	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1002/edm2.259	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1002/edm2.259	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1002/edm2.259	study_information	NA	1	Patient-level data used	Yes	NA
10.1002/edm2.259	study_information	NA	1	Clinical Trial	Yes	NA
10.1002/edm2.259	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01720446	NA
10.1002/edm2.259	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1002/edm2.259	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1002/edm2.259	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1002/edm2.259	study_information	NA	2	Patient-level data used	No	NA
10.1002/edm2.259	study_information	NA	2	Clinical Trial	Yes	NA
10.1002/edm2.259	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01394952	NA
10.1002/edm2.259	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1002/edm2.259	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1002/edm2.259	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1002/edm2.259	study_information	NA	2	Patient-level data used	XXXX	NA
10.1002/edm2.259	study_information	NA	2	Clinical Trial	Yes	NA
10.1002/edm2.259	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01394952	NA
10.1002/edm2.259	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1002/edm2.259	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1002/edm2.259	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/bf03261873	general_information	NA	NA	Medical Condition of Interest Name	attention-deficit/hyperactivity disorder	NA
10.1007/bf03261873	general_information	NA	NA	Countries of first author affiliations	usa	NA
10.1007/bf03261873	general_information	NA	NA	Countries of last author affiliations	usa	NA
10.1007/bf03261873	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Pharmaceutical Industry, Private Data Analysis Company	NA
10.1007/bf03261873	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1007/bf03261873	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1007/bf03261873	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1007/bf03261873	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1007/bf03261873	methodology	1	NA	Treatment name 1	guanfacine extended-release low dose	23113551
10.1007/bf03261873	methodology	1	NA	Study 'number(s)' for treatment 1	1;2	23113551
10.1007/bf03261873	methodology	1	NA	Treatment name 2	atomoxetine	23113551
10.1007/bf03261873	methodology	1	NA	Study 'number(s)' for treatment 2	3	23113551
10.1007/bf03261873	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC	23113551
10.1007/bf03261873	methodology	1	NA	Anchored comparison?	No	23113551
10.1007/bf03261873	methodology	1	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	23113551
10.1007/bf03261873	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes	23113551
10.1007/bf03261873	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	NA	23113551
10.1007/bf03261873	methodology	1	NA	Primary outcome: variable type	Continuous (count, mean, ...)	23113551
10.1007/bf03261873	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported	23113551
10.1007/bf03261873	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables	23113551
10.1007/bf03261873	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables	23113551
10.1007/bf03261873	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	NA	23113551
10.1007/bf03261873	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	23113551
10.1007/bf03261873	methodology	2	NA	Treatment name 1	guanfacine extended-release mid dose	23113551
10.1007/bf03261873	methodology	2	NA	Study 'number(s)' for treatment 1	1;2	23113551
10.1007/bf03261873	methodology	2	NA	Treatment name 2	atomoxetine	23113551
10.1007/bf03261873	methodology	2	NA	Study 'number(s)' for treatment 2	3	23113551
10.1007/bf03261873	methodology	2	NA	Type of population-adjusted indirect comparisons performed	MAIC	23113551
10.1007/bf03261873	methodology	2	NA	Anchored comparison?	No	23113551
10.1007/bf03261873	methodology	2	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	23113551
10.1007/bf03261873	methodology	2	NA	Definition of a single primary outcome for the indirect comparison	Yes	23113551
10.1007/bf03261873	methodology	2	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	NA	23113551
10.1007/bf03261873	methodology	2	NA	Primary outcome: variable type	Continuous (count, mean, ...)	23113551
10.1007/bf03261873	methodology	2	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported	23113551
10.1007/bf03261873	methodology	2	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables	23113551
10.1007/bf03261873	methodology	2	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables	23113551
10.1007/bf03261873	methodology	2	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	NA	23113551
10.1007/bf03261873	methodology	2	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	23113551
10.1007/bf03261873	methodology	3	NA	Treatment name 1	guanfacine extended-release high dose	23113551
10.1007/bf03261873	methodology	3	NA	Study 'number(s)' for treatment 1	1;2	23113551
10.1007/bf03261873	methodology	3	NA	Treatment name 2	atomoxetine	23113551
10.1007/bf03261873	methodology	3	NA	Study 'number(s)' for treatment 2	3	23113551
10.1007/bf03261873	methodology	3	NA	Type of population-adjusted indirect comparisons performed	MAIC	23113551
10.1007/bf03261873	methodology	3	NA	Anchored comparison?	No	23113551
10.1007/bf03261873	methodology	3	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	23113551
10.1007/bf03261873	methodology	3	NA	Definition of a single primary outcome for the indirect comparison	Yes	23113551
10.1007/bf03261873	methodology	3	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	NA	23113551
10.1007/bf03261873	methodology	3	NA	Primary outcome: variable type	Continuous (count, mean, ...)	23113551
10.1007/bf03261873	methodology	3	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported	23113551
10.1007/bf03261873	methodology	3	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables	23113551
10.1007/bf03261873	methodology	3	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables	23113551
10.1007/bf03261873	methodology	3	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	NA	23113551
10.1007/bf03261873	methodology	3	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	23113551
10.1007/bf03261873	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	84	23113551
10.1007/bf03261873	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	147	23113551
10.1007/bf03261873	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	49	23113551
10.1007/bf03261873	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned	23113551
10.1007/bf03261873	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	23113551
10.1007/bf03261873	results	1	NA	Number of covariates adjusted for/matched on	6	23113551
10.1007/bf03261873	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)	23113551
10.1007/bf03261873	results	1	NA	Primary outcome: treatment effect contrast	Means difference	23113551
10.1007/bf03261873	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	NA	23113551
10.1007/bf03261873	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	NA	23113551
10.1007/bf03261873	results	1	NA	Primary outcome: adjusted treatment effect	NA	23113551
10.1007/bf03261873	results	2	NA	Sample size of the population of interest in the non IPD treatment arm	84	23113551
10.1007/bf03261873	results	2	NA	Initial sample size of the population of interest in the IPD treatment arm	46	23113551
10.1007/bf03261873	results	2	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	16	23113551
10.1007/bf03261873	results	2	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned	23113551
10.1007/bf03261873	results	2	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	23113551
10.1007/bf03261873	results	2	NA	Number of covariates adjusted for/matched on	6	23113551
10.1007/bf03261873	results	2	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)	23113551
10.1007/bf03261873	results	2	NA	Primary outcome: treatment effect contrast	Means difference	23113551
10.1007/bf03261873	results	2	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	0.02	23113551
10.1007/bf03261873	results	2	NA	Direction of the treatment effect contrast: IPD treatment is:	NA	23113551
10.1007/bf03261873	results	2	NA	Primary outcome: adjusted treatment effect	NA	23113551
10.1007/bf03261873	results	3	NA	Sample size of the population of interest in the non IPD treatment arm	84	23113551
10.1007/bf03261873	results	3	NA	Initial sample size of the population of interest in the IPD treatment arm	82	23113551
10.1007/bf03261873	results	3	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	38	23113551
10.1007/bf03261873	results	3	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned	23113551
10.1007/bf03261873	results	3	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	23113551
10.1007/bf03261873	results	3	NA	Number of covariates adjusted for/matched on	6	23113551
10.1007/bf03261873	results	3	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)	23113551
10.1007/bf03261873	results	3	NA	Primary outcome: treatment effect contrast	Means difference	23113551
10.1007/bf03261873	results	3	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	NA	23113551
10.1007/bf03261873	results	3	NA	Direction of the treatment effect contrast: IPD treatment is:	NA	23113551
10.1007/bf03261873	results	3	NA	Primary outcome: adjusted treatment effect	NA	23113551
10.1007/bf03261873	study_information	NA	1	Patient-level data used	Yes	NA
10.1007/bf03261873	study_information	NA	1	Clinical Trial	Yes	NA
10.1007/bf03261873	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00152009	NA
10.1007/bf03261873	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/bf03261873	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/bf03261873	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	NA	NA
10.1007/bf03261873	study_information	NA	2	Patient-level data used	Yes	NA
10.1007/bf03261873	study_information	NA	2	Clinical Trial	Yes	NA
10.1007/bf03261873	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00150618	NA
10.1007/bf03261873	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/bf03261873	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/bf03261873	study_information	NA	2	Data source name (only if observational study or clinical trial without NCT)	NA	NA
10.1007/bf03261873	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/bf03261873	study_information	NA	3	Patient-level data used	No	NA
10.1007/bf03261873	study_information	NA	3	Clinical Trial	Yes	NA
