Edit URL,Timestamp,itc_number,DOI of the article,Initials of the reviewer filling the form ,Medical Condition of Interest Name,Countries of first author affiliations,Countries of last author affiliations,"Positions of study investigators (for any authors of the article, any that applies)","At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",Mentioned sources of funding,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",Mention of a systematic review to find the studies to compare treatments of interest,study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),Treatment name 1,Study 'number(s)' for treatment 1,Treatment name 2 ,Study 'number(s)' for treatment 2,Type of population-adjusted indirect comparisons performed,Anchored comparison?,Form of the indirect comparison,Definition of a single primary outcome for the indirect comparison,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),Primary outcome: variable type,Justification for selecting variables to be included in the adjustment model (in the main text),Inclusion of prognostic factors in the adjustment/matching model,Inclusion of treatment-effect modifiers in the adjustment/matching model,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),Sample size of the population of interest in the non IPD treatment arm ,"If anchored comparison, sample size of the population of interest in the non IPD treatment anchor arm",Initial sample size of the population of interest in the IPD treatment arm,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC","If anchored comparison, initial sample size of the population of interest in the IPD anchor arm","If anchored comparison, effective sample size after reweighting for MAIC; or sample size used in the regression model for STC in the IPD anchor arm",Reporting of a weights' distribution evaluation (MAIC),Reporting of the list of the covariates adjusted for/matched on,Number of covariates adjusted for/matched on,Covariates adjusted for/matched on in the indirect comparison,Primary outcome: treatment effect contrast,Direction of the treatment effect contrast: IPD treatment is:,Primary outcome: unadjusted treatment effect,"p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])",Primary outcome: adjusted treatment effect,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",Notes,Original Timestamp
,12/03/2022 11:50:24,,10.1007/s12325-021-01884-7,ASL,Relapsed/Refractory Multiple Myeloma ,France,UK,"Academic, Pharmaceutical Industry",Yes,Pharmaceutical Industry,Yes,Yes,,Yes,,NCT03525678,,,International,2,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,No,Simple (ie treatments effects extracted from two clinical trials),"No primary outcome defined, or multiple primary outcomes without any distrinction between them",Overall Survival,,,Yes,Yes,,No,123,,95,63.46,,,No,Yes,8,"Age, Sex, Disease severity, Performance score",HR,,0.6,0.01,0.53,0.005,,11/03/2022 11:36:45
,12/03/2022 13:05:09,,10.1186/s13045-021-01144-9,ASL,refractory large B cell lymphoma,USA,France,"Academic, Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,,Yes,,NCT02631044,,,USA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,No,Simple (ie treatments effects extracted from two clinical trials),"No primary outcome defined, or multiple primary outcomes without any distrinction between them",Overall Response Rate,,"A priori expert-knowledge (for clinical and methodological relevance), Literature based (for clinical and methodological relevance)",Yes,No discussion of the status of treatment effect modifiers of the variables adjusted for,,No,101,,256,42.1,,,Yes,No,8,"Disease severity, Performance score, Co-treatments or past treatments (for the pathology/disease of interest in the comparison)",OR,,0.92,0.753,1.4,0.753,,12/03/2022 11:50:24
,13/03/2022 12:47:34,,10.1080/03007995.2021.1971182,ASL,paroxysmal nocturnal hemoglobinuria previously treated with eculizumab,USA,USA,"Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,,Yes,,NCT03500549,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,Yes,Simple (ie treatments effects extracted from two clinical trials),"No primary outcome defined, or multiple primary outcomes without any distrinction between them",Transfusion avoidance proportion,,A priori expert-knowledge (for clinical and methodological relevance),No,Yes,Matching on first moment,No,97,,36,34,,,Yes,Yes,,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Comorbidities and medical history (beside pathology/disease of interest in the comparison)",Proportions difference,,,,71.4,0.0001,,12/03/2022 13:05:09
,14/03/2022 09:01:46,,10.36469/jheor.2021.19008,ASL,acute graft-versus-host-disease,USA,USA,"Pharmaceutical Industry, Private Data Analysis Company",Yes,No section in the article,No disclaimer section in the article,No,,Yes,,NCT02336230,,,USA,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC,No,Simple (ie treatments effects extracted from two clinical trials),Yes,Overall Response Rate,Binary (eg rates),"Statistical based (ie pvalue based, that is looking at statistical significant differences between treatment arms), A priori expert-knowledge (for clinical and methodological relevance), Literature based (for clinical and methodological relevance)",Yes,Yes,,No,49,,55,55,,,,Yes,3,"Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity",RR,,1.21,0.21,1.13,0.45,,13/03/2022 12:47:34
,01/04/2022 11:44:55,,10.1186/s40164-022-00268-z,ASL,Relapsed or refractory large B-cell lymphoma,France,Canada,"Academic, Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,,Yes,,NCT02631044,,,USA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,No,Simple (ie treatments effects extracted from two clinical trials),Yes,Overall Response Rate,Binary (eg rates),,Yes,Yes,No,No,111,,256,180,,,Yes,Yes,13,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score, Past treatments for the disease of interest",OR,,2.49,< 0.001,2.78,<0.001,,14/03/2022 09:01:46
,05/05/2022 18:30:10,,https://doi.org/10.1007/s12325-022-02099-0,DH,advanced and unresectable hepatocellular carcinoma,Germany,France,"Academic, Pharmaceutical Industry",Yes,Pharmaceutical Industry,Yes,No,,Yes,Yes,NCT01482442,,,FRANCE,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,Yes,Simple (ie treatments effects extracted from two studies),,Time to deterioration in quality of life,Time-to-event,"Statistical based (ie pvalue based, that is looking at statistical significant differences between treatment arms), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,No,501,,459,90,,,No,Yes,4,"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score, Other(s)",HR,,,,1.06 (95% CI 0.75–1.50),0.725,sensitivity analysis with a different definition of viral cause of disease,01/04/2022 11:44:55
,09/05/2022 11:15:21,,10.1093/jnci/djab071,ASL,Nonmetastatic castration-resistant prostate cancer,USA,USA,Academic,Yes,Public grants,Yes,Yes,,Yes,Yes,NCT01314118,,,USA,2,1,,No,Yes,NCT01946204,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Metastasis-free survival,Time-to-event,"Nothing mentioned, not reported",No discussion (in the main text) of the status of prognostic factors of the variables,No discussion (in the main text) of the status of prognostic factors of the variables,No,No,NA,,NA,NA,,,Yes,Yes,4,"Age, Performance score, Past treatments for the disease of interest",HR,,NA,NA,0.22,NA,,05/05/2022 18:30:10
,10/05/2022 12:44:29,,10.2217/cer-2021-0216,ASL,Spinal Muscular Atrophy,Switzerland,UK,"Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,,Yes,Yes,NCT02913482,,,International,"2, 3",1,,No,Yes,NCT02193074,,,International,3,2 or more,,No,Yes,NCT03306277,,,USA,3,2 or more,,Yes,Yes,NCT02908685,,,International,"2, 3",2 or more,,No,Yes,NCT02292537,,,International,3,2 or more,Risdiplam,,Nusinersen,,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-free survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,No,121,,58,36.5,,,Yes,Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,,0.2,[0.09–0.46],0.24,[0.06-0.42],,09/05/2022 11:15:21
,12/05/2022 18:05:16,,10.2217/cer-2021-0216,ASL,Type 1 Spinal Muscular Atrophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,,Onasemnogene abeparvovec,,STC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event Free Survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,Yes,No,22,,58,58,,,,Yes,2,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,,1.53,[0.72-2.67],0.93,[0.03-4.06],,10/05/2022 12:44:29
,12/05/2022 18:44:31,,10.2217/cer-2021-0216,ASL,Type 2 & 3 Spinal Muscular Atrophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,,Nusinersen,,MAIC,Yes,Simple (ie treatments effects extracted from two studies),Yes,RULM change from baseline,"Continuous (count, mean, ...)","A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,126,,,37.1,,,Yes,Yes,2,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",Means difference,,-0.6,[-2.24-1.22],-0.49,[-3.33-2.53],,12/05/2022 18:05:16
,19/05/2022 16:49:54,,https://doi.org/10.2217/cer-2021-0216,DH,Types 1 spinal muscular atrophy,Switzerland,UK,"Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,,Yes,Yes,NCT02913482,,,international,"2, 3",1,,Yes,Yes,NCT02908685,,,international,"2, 3",2 or more,,No,Yes,NCT02193074,,,international,3,2 or more,,No,Yes,NCT03306277,,,United States,3,1,,No,Yes,NCT02292537,,,international,3,2 or more,risdiplam,,nusinersen,,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them", event-free survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,80,,58,36.5,,,Yes,Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",HR,,0.24,[0.09-0.46],0.2,[0.06-0.42],"Trois comparaison indirectes effectuées, j'ai reporté les résultats de la première ici, entre les études FIREFISH (IPD) versus ENDEAR",12/05/2022 18:44:31
,19/05/2022 17:02:29,,https://doi.org/10.2217/cer-2021-0216,DH,Type 1 spinal muscular atrophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,risdiplam,,Onasemnogene abeparvovec,,STC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-free survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,22,,58,58,,,,Yes,2,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,,1.532,[0.721-2.665],0.936,[0.033-4.064],"Trois comparaisons indirectes, j'ai rapporté la seconde FIREFISH (IPD) vs STR1VE-US",19/05/2022 16:49:54
,19/05/2022 17:16:01,,https://doi.org/10.2217/cer-2021-0216,DH,Types 2 & 3 spinal muscular atrophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,,Nusinersen,,MAIC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",,,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,No,84,,43,28.3,,,Yes,Yes,4,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",Means difference,,,,-0.49,[-3.33;2.53],"Dernière comparaison indirecte, SUNFISH vs CHERISH",19/05/2022 17:02:29
,19/05/2022 18:52:06,,10.1093/jnci/djab071,DH,Nonmetastatic Castration-Resistant Prostate Cancer,USA,USA,Academic,Yes,"Public grants, Pharmaceutical Research and Manufacturers of America Foundation (Public?)",Yes,Yes,,Yes,Yes,NCT01314118,,,international,2,1,,No,Yes,NCT01946204,,,international,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,abiraterone acetate,,placebo,,MAIC,No,Simple (ie treatments effects extracted from two studies),Yes,metastasis-free survival,Time-to-event,"Nothing mentioned, not reported",No discussion (in the main text) of the status of prognostic factors of the variables,No discussion (in the main text) of the status of prognostic factors of the variables,No,No,401,,131,81,,,Yes,Yes,,"Age, Performance score, Past treatments for the disease of interest, Other(s)",HR,,,,0.22,0.12-0.41],"La comparaison indirecte avec MAIC rapportée comparait un traitement actif (abiraterone acetate, essai IMAAGEN) avec le placebo de l'essai avec données agrégées (SPARTAN).",19/05/2022 17:16:01
,24/05/2022 16:05:53,,https://doi.org/10.1007%2Fs12325-021-01885-6,BZ,non-metastatic castration-resistant prostate cancer (nmCRPC),UK,Germany,"Academic, Pharmaceutical Industry",Yes,Pharmaceutical Industry,Yes,No,,Yes,Yes,https://clinicaltrials.gov/ct2/show/NCT01946204,,,International,3,2 or more,,No,Yes,https://clinicaltrials.gov/ct2/show/NCT02200614,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apalutamide + Androgen deprivation therapy,1,darolutamide + Androgen deprivation therapy,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),Yes,Metastasis-free survival,Time-to-event,"Nothing mentioned, not reported",No discussion (in the main text) of the status of prognostic factors of the variables,Yes,No,No,955,554,806,455,401,,No,Yes,9,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score, Past treatments for the disease of interest, Other(s)",HR,"Denominator if ratio, or rightside if difference",,,0.7,0.51-0.98,,19/05/2022 18:52:06
,04/07/2022 16:12:17,xx,10.1016/j.ejca.2021.08.023,BZ,"Newly diagnosed, advanced BRCA-mutated ovarian cancer",Belgium,USA,"Academic, Pharmaceutical Industry",Not mentioned,Pharmaceutical Industry,Yes,No,,Yes,Yes,NCT02477644,,,International,3,2 or more,,No,Yes,NCT01844986,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaparib + bevacizumab,1,Olaparib,2,MAIC,No,Simple (ie treatments effects extracted from two studies),Yes,Progression-free survival,Time-to-event,"Nothing mentioned, not reported",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,254,,151,110.8,,,Not mentioned,Yes,7,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score, Past treatments for the disease of interest",HR,"Numerator if ratio, or left side if difference",0.93,[0.65;1.34],0.71,[0.45;1.09],,04/07/2022 14:41:50
