"row_names";"PMID";"doi";"Title";"Create Date";"included";"notes";"n_questions";"same";"differences";"to_review"
"36";"30168349";"10.2217/cer-2018-0020";"Relative effectiveness of sunitinib versus everolimus in advanced pancreatic neuroendocrine tumors: an updated matching-adjusted indirect comparison";"2018-09-01";TRUE;NA;"79";"67";"12";"11"
"37";"30286627";"10.1080/03007995.2018.1520696";"Comparative efficacy of brigatinib versus ceritinib and alectinib in patients with crizotinib-refractory anaplastic lymphoma kinase-positive non-small cell lung cancer";"2018-10-06";TRUE;NA;"150";"130";"20";"17"
"38";"30309978";"10.1183/13993003.01393-2018";"Matching-adjusted indirect comparison of benralizumab versus interleukin-5 inhibitors for the treatment of severe asthma: a systematic review";"2018-10-13";TRUE;NA;"59";"55";"4";"3"
"39";"30314617";"10.1016/j.jval.2018.03.015";"Focused Ultrasound Thalamotomy and Other Interventions for Medication-Refractory Essential Tremor: An Indirect Comparison of Short-Term Impact on Health-Related Quality of Life";"2018-10-14";TRUE;NA;"73";"62";"11";"6"
"40";"30362839";"10.1080/03007995.2018.1541443";"Comparative efficacy of first-line ceritinib and crizotinib in advanced or metastatic anaplastic lymphoma kinase-positive non-small cell lung cancer: an adjusted indirect comparison with external controls";"2018-10-27";TRUE;NA;"48";"39";"9";"8"
"41";"30388073";"10.5152/eurjrheum.2018.18162";"Comparative effectiveness of secukinumab and adalimumab in ankylosing spondylitis as assessed by matching-adjusted indirect comparison";"2018-11-03";TRUE;NA;"81";"73";"8";"6"
"42";"30472749";"10.1111/jdv.15369";"Calcipotriol plus betamethasone dipropionate aerosol foam vs. apremilast, methotrexate, acitretin or fumaric acid esters for the treatment of plaque psoriasis: a matching-adjusted indirect comparison";"2018-11-26";TRUE;NA;"154";"126";"28";"25"
"43";"30567533";"10.1186/s12885-018-5157-0";"Axitinib, cabozantinib, or everolimus in the treatment of prior sunitinib-treated patients with metastatic renal cell carcinoma: results of matching-adjusted indirect comparison analyses";"2018-12-21";TRUE;NA;"72";"63";"9";"9"
"44";"30758745";"10.1007/s12325-019-0873-7";"Matching-Adjusted Indirect Comparison of Blinatumomab vs. Inotuzumab Ozogamicin for Adults with Relapsed/Refractory Acute Lymphoblastic Leukemia";"2019-02-14";TRUE;NA;"77";"68";"9";"8"
"45";"30786783";"10.1080/03007995.2019.1585779";"Estimating the comparative efficacy of cladribine tablets versus alternative disease modifying treatments in active relapsing-remitting multiple sclerosis: adjusting for patient characteristics using meta-regression and matching-adjusted indirect treatment comparison approaches";"2019-02-22";TRUE;NA;"48";"44";"4";"3"
"46";"30806520";"10.2217/cer-2018-0141";"Matching-adjusted indirect comparison: secukinumab versus infliximab in biologic-naive patients with psoriatic arthritis";"2019-02-27";TRUE;NA;"78";"66";"12";"11"
"47";"30852924";"10.2217/imt-2018-0208";"Comparative efficacy of combination immunotherapy and targeted therapy in the treatment of BRAF-mutant advanced melanoma: a matching-adjusted indirect comparison";"2019-03-12";TRUE;NA;"94";"90";"4";"2"
"48";"30964361";"10.1080/03007995.2019.1605239";"Matching-adjusted indirect comparison of bosutinib, dasatinib and nilotinib effect on survival and major cytogenetic response in treatment of second-line chronic phase chronic myeloid leukemia";"2019-04-10";TRUE;NA;"78";"61";"17";"13"
"49";"31140123";"10.1007/s12325-019-00991-w";"Indirect Treatment Comparison of Inotuzumab Ozogamicin Versus Blinatumomab for Relapsed or Refractory Acute Lymphoblastic Leukemia";"2019-05-30";TRUE;NA;"81";"74";"7";"7"
"50";"31364979";"10.5152/eurjrheum.2019.19057";"Comparative effectiveness of secukinumab and etanercept in biologic-naÃ¯ve patients with psoriatic arthritis assessed by matching-adjusted indirect comparison";"2019-08-01";TRUE;NA;"148";"134";"14";"13"
"51";"31412011";"10.1016/j.euo.2018.09.009";"Cost-effectiveness of Pembrolizumab for Patients with Advanced, Unresectable, or Metastatic Urothelial Cancer Ineligible for Cisplatin-based Therapy";"2019-08-15";TRUE;NA;"87";"41";"46";"21"
"52";"31417326";"10.2147/jbm.s206806";"Matching-adjusted indirect comparisons of annualized bleeding rate and utilization of BAY 94-9027 versus three recombinant factor VIII agents for prophylaxis in patients with severe hemophilia A";"2019-08-17";TRUE;NA;"151";"123";"28";"22"
"53";"31564931";"10.2147/ceor.s203482";"Overall survival of glasdegib in combination with low-dose cytarabine, azacitidine, and decitabine among adult patients with previously untreated AML: comparative effectiveness using simulated treatment comparisons";"2019-10-01";TRUE;NA;"87";"78";"9";"8"
"54";"31642037";"10.1007/s40263-019-00672-w";"Using Matching-Adjusted Indirect Comparisons and Network Meta-analyses to Compare Efficacy of Brexanolone Injection with Selective Serotonin Reuptake Inhibitors for Treating Postpartum Depression";"2019-10-24";TRUE;NA;"63";"51";"12";"6"
"55";"31640435";"10.1080/10428194.2019.1648806";"Carfilzomib and dexamethasone versus eight cycles of bortezomib and dexamethasone in patients with relapsed or refractory multiple myeloma: an indirect comparison using data from the phase 3 ENDEAVOR and CASTOR trials";"2019-10-24";TRUE;NA;"74";"32";"42";"42"
"56";"31686561";"10.1080/10428194.2019.1675881";"The effects of different schedules of bortezomib, melphalan, and prednisone for patients with newly diagnosed multiple myeloma who are transplant ineligible: a matching-adjusted indirect comparison";"2019-11-06";TRUE;NA;"54";"48";"6";"5"
"57";"31686559";"10.1080/10428194.2019.1682571";"A matching-adjusted indirect treatment comparison (MAIC) of daratumumab-bortezomib-melphalan-prednisone (D-VMP) versus lenalidomide-dexamethasone continuous (Rd continuous), lenalidomide-dexamethasone 18 months (Rd 18), and melphalan-prednisone-thalidomide (MPT)";"2019-11-06";TRUE;NA;"104";"95";"9";"8"
"58";"31699438";"10.1016/j.clinthera.2019.09.012";"Matching-adjusted Indirect Comparisons of the Efficacy and Safety of Acalabrutinib Versus Other Targeted Therapies in Relapsed/Refractory Mantle Cell Lymphoma";"2019-11-09";TRUE;NA;"276";"251";"25";"24"
"59";"31813087";"10.1007/s12325-019-01157-4";"Matching-Adjusted Indirect Comparison of Health-Related Quality of Life and Adverse Events of Apalutamide Versus Enzalutamide in Non-Metastatic Castration-Resistant Prostate Cancer";"2019-12-09";TRUE;NA;"47";"42";"5";"5"
"60";"31813086";"10.1007/s12325-019-01156-5";"Matching-Adjusted Indirect Comparison of the Efficacy of Apalutamide and Enzalutamide with ADT in the Treatment of Non-Metastatic Castration-Resistant Prostate Cancer";"2019-12-09";TRUE;NA;"47";"43";"4";"4"
"61";"31865547";"10.1007/s12325-019-01173-4";"Treatment of Atrial Fibrillation Using Ablation Index-Guided Contact Force Ablation: A Matching-Adjusted Indirect Comparison to Cryoballoon Ablation";"2019-12-23";TRUE;NA;"52";"42";"10";"6"
"62";"31872771";"10.2217/cer-2019-0145";"Comparative effectiveness of nivolumab versus clinical practice for advanced gastric or gastroesophageal junction cancer";"2019-12-25";TRUE;NA;"45";"33";"12";"9"
"63";"31943429";"10.1111/cea.13561";"Matching-adjusted comparison of oral corticosteroid reduction in asthma: Systematic review of biologics";"2020-01-17";TRUE;NA;"76";"65";"11";"10"
"64";"31948278";"10.2217/cer-2019-0169";"Comparative safety and efficacy of ozanimod versus fingolimod for relapsing multiple sclerosis";"2020-01-18";TRUE;NA;"119";"111";"8";"8"
"65";"31985301";"10.1080/13696998.2020.1722139";"Effectiveness comparison and incremental cost-per-responder analysis of calcipotriene 0.005%/betamethasone dipropionate 0.064% foam vs. halobetasol 0.01%/tazarotene 0.045% lotion for plaque psoriasis: a matching-adjusted indirect comparative analysis";"2020-01-28";TRUE;NA;"65";"58";"7";"6"
"66";"32220214";"10.1080/03007995.2020.1747999";"Matching-adjusted indirect treatment comparison of siponimod and other disease modifying treatments in secondary progressive multiple sclerosis";"2020-03-30";TRUE;NA;"207";"181";"26";"23"
"67";"32222903";"10.1007/s12325-020-01298-x";"Efficacy and Treatment Burden of Intravitreal Aflibercept Versus Intravitreal Ranibizumab Treat-and-Extend Regimens at 2Â Years: Network Meta-Analysis Incorporating Individual Patient Data Meta-Regression and Matching-Adjusted Indirect Comparison";"2020-03-31";TRUE;NA;"51";"42";"9";"6"
"68";"32299269";"10.1080/09546634.2020.1747592";"Indirect comparisons of ixekizumab versus three interleukin-23 p19 inhibitors in patients with moderate-to-severe plaque psoriasis - efficacy findings up to week 12";"2020-04-18";TRUE;NA;"233";"195";"38";"37"
"69";"32371431";"10.1136/rmdopen-2019-001131";"Comparative effectiveness of improvement in pain and physical function for baricitinib versus adalimumab, tocilizumab and tofacitinib monotherapies in rheumatoid arthritis patients who are naÃ¯ve to treatment with biologic or conventional synthetic disease-modifying antirheumatic drugs: a matching-adjusted indirect comparison";"2020-05-07";TRUE;NA;"129";"109";"20";"19"
"70";"32424805";"10.1007/s12325-020-01378-y";"Comparative Efficacy of Cabozantinib and Regorafenib for Advanced Hepatocellular Carcinoma";"2020-05-20";TRUE;NA;"77";"39";"38";"38"
"71";"32561336";"10.1016/j.bbmt.2020.06.008";"Comparing Efficacy, Safety, and Preinfusion Period of Axicabtagene Ciloleucel versus Tisagenlecleucel in Relapsed/Refractory Large B Cell Lymphoma";"2020-06-21";TRUE;NA;"76";"45";"31";"31"
"72";"32602756";"10.2217/cer-2020-0069";"Tisagenlecleucel versus historical standard therapies for pediatric relapsed/refractory acute lymphoblastic leukemia";"2020-07-01";TRUE;NA;"191";"154";"37";"27"
"73";"32648475";"10.2217/cer-2020-0063";"Matching-adjusted indirect comparison: entrectinib versus crizotinib in ROS1 fusion-positive non-small cell lung cancer";"2020-07-11";TRUE;NA;"122";"114";"8";"6"
"74";"32826180";"10.1016/j.clgc.2020.07.006";"Cost-effectiveness of Pembrolizumab versus Carboplatin-based Chemotherapy as First-line Treatment of PD-L1-positive Locally Advanced or Metastatic Urothelial Carcinoma Ineligible for Cisplatin-based Therapy in the United States";"2020-08-23";TRUE;NA;"56";"43";"13";"4"
"75";"32892660";"10.1080/14656566.2020.1811850";"Indirect treatment comparison of the efficacy of patisiran and inotersen for hereditary transthyretin-mediated amyloidosis with polyneuropathy";"2020-09-07";TRUE;NA;"51";"45";"6";"4"
"76";"33052055";"10.2217/fon-2020-0823";"Comparative efficacy of cemiplimab versus other systemic treatments for advanced cutaneous squamous cell carcinoma";"2020-10-14";TRUE;NA;"606";"537";"69";"69"
"77";"33228440";"10.2217/imt-2020-0266";"Front-line daratumumab-VTd versus standard-of-care in ASCT-eligible multiple myeloma: matching-adjusted indirect comparison";"2020-11-24";TRUE;NA;"200";"165";"35";"32"
"78";"33244703";"10.1007/s40744-020-00257-w";"A Matching-Adjusted Indirect Comparison of Upadacitinib Versus Tofacitinib in Adults with Moderate-to-Severe Rheumatoid Arthritis";"2020-11-27";TRUE;NA;"94";"81";"13";"12"
"79";"33291810";"10.3390/cancers12123648";"A Matching-Adjusted Indirect Comparison of Pembrolizumab + Chemotherapy vs. Nivolumab + Ipilimumab as First-Line Therapies in Patients with PD-L1 TPS â‰¥1% Metastatic NSCLC";"2020-12-09";TRUE;NA;"57";"50";"7";"3"
"80";"33377987";"10.1007/s12325-020-01599-1";"Recombinant FVIIIFc Versus BAY 94-9027 for Treatment of Patients with HaemophiliaÂ A: Comparative Efficacy Using a Matching Adjusted Indirect Comparison";"2020-12-30";TRUE;NA;"132";"111";"21";"18"
"81";"33442996";"10.2217/cer-2020-0236";"Network meta-analysis of nivolumab plus ipilimumab in the second-line setting for advanced hepatocellular carcinoma";"2021-01-14";TRUE;NA;"45";"44";"1";"1"
"82";"33488773";"10.1177/1756286420975916";"Matching comparisons of therapeutic efficacy suggest better clinical outcomes for patients treated with peginterferon beta-1a than with glatiramer acetate";"2021-01-25";TRUE;NA;"46";"38";"8";"7"
"83";"33556898";"10.1016/j.esmoop.2021.100050";"A matching-adjusted indirect comparison of combination nivolumab plus ipilimumab with BRAF plus MEK inhibitors for the treatment of BRAF-mutant advanced melanoma(â˜†)";"2021-02-08";TRUE;NA;"116";"112";"4";"3"
"84";"33626934";"10.2217/cer-2020-0272";"Matching-adjusted indirect comparison of palbociclib versus ribociclib and abemaciclib in hormone receptor-positive/HER2-negative advanced breast cancer";"2021-02-25";TRUE;NA;"80";"69";"11";"9"
"85";"33638735";"10.1007/s11523-021-00803-8";"Is Atezolizumab Plus Bevacizumab for Unresectable Hepatocellular Carcinoma Superior Even to Lenvatinib? A Matching-Adjusted Indirect Comparison";"2021-02-27";TRUE;NA;"43";"38";"5";"3"
"86";"33664606";"10.2147/jbm.s288283";"Efficacy of rFVIIIFc versus Emicizumab for the Treatment of Patients with Hemophilia A without Inhibitors: Matching-Adjusted Indirect Comparison of A-LONG and HAVEN Trials";"2021-03-05";TRUE;NA;"104";"80";"24";"16"
"87";"33733983";"10.1080/03007995.2021.1896489";"An indirect comparison between bosutinib, nilotinib and dasatinib in first-line chronic phase chronic myeloid leukemia";"2021-03-18";TRUE;NA;"78";"69";"9";"7"
"88";"33733815";"10.2217/cer-2020-0280";"Comparative effectiveness of glasdegib versus venetoclax combined with low-dose cytarabine in acute myeloid leukemia";"2021-03-18";TRUE;NA;"50";"46";"4";"4"
"89";"33745079";"10.1007/s00432-021-03602-w";"Regorafenib versus cabozantinb as second-line treatment after sorafenib for unresectable hepatocellular carcinoma: matching-adjusted indirect comparison analysis";"2021-03-21";TRUE;NA;"42";"37";"5";"3"
"90";"33768123";"10.36469/jheor.2021.19008";"Comparative Effectiveness of Remestemcel-L-rknd versus Ruxolitinib in Pediatric Patients with Steroid-Refractory Acute Graft-Versus-Host Disease using Simulated Treatment Comparisons";"2021-03-26";TRUE;NA;"47";"45";"2";"1"
"91";"33818140";"10.1097/ju.0000000000001767";"Indirect Comparison of Darolutamide versus Apalutamide and Enzalutamide for Nonmetastatic Castration-Resistant Prostate Cancer";"2021-04-05";TRUE;NA;"84";"75";"9";"8"
"92";"33822328";"10.1007/s12325-021-01700-2";"Comparative Efficacy of Cabozantinib and Ramucirumab After Sorafenib for Patients with Hepatocellular Carcinoma and Alpha-fetoproteinâ€‰â‰¥â€‰400Â ng/mL: A Matching-Adjusted Indirect Comparison";"2021-04-06";TRUE;NA;"46";"40";"6";"6"
"93";"33830214";"10.1093/jnci/djab071";"Comparison of Treatments for Nonmetastatic Castration-Resistant Prostate Cancer: Matching-Adjusted Indirect Comparison and Network Meta-Analysis";"2021-04-08";TRUE;NA;"46";"41";"5";"4"
"94";"33839603";"10.1016/j.lungcan.2021.03.020";"Pembrolizumab+chemotherapy versus atezolizumab+chemotherapy+/-bevacizumab for the first-line treatment of non-squamous NSCLC: A matching-adjusted indirect comparison";"2021-04-11";TRUE;NA;"88";"79";"9";"5"
"95";"33847901";"10.1007/s40263-021-00805-0";"Comparative Efficacy and Safety of Ozanimod and Dimethyl Fumarate for Relapsing-Remitting Multiple Sclerosis Using Matching-Adjusted Indirect Comparison";"2021-04-13";TRUE;NA;"58";"53";"5";"4"
"96";"33896344";"10.1080/10428194.2021.1913143";"Matching adjusted indirect comparisons of efficacy outcomes for idecabtagene vicleucel (ide-cel, bb2121) versus selinexorâ€‰+â€‰dexamethasone and belantamab mafodotin in relapsed and refractory multiple myeloma";"2021-04-26";TRUE;NA;"82";"77";"5";"5"
"97";"33955326";"10.1080/10428194.2021.1913144";"Matching-adjusted indirect comparisons of safety and efficacy of acalabrutinib versus other targeted therapies in patients with treatment-naÃ¯ve chronic lymphocytic leukemia";"2021-05-06";TRUE;NA;"188";"167";"21";"21"
"98";"33970454";"10.1007/s12325-021-01756-0";"Indirect Treatment Comparison of Liso-Cel vs. Salvage Chemotherapy in Diffuse Large B-Cell Lymphoma: TRANSCEND vs. SCHOLAR-1";"2021-05-10";TRUE;NA;"46";"42";"4";"4"
"99";"33979770";"10.1016/j.msard.2021.102972";"Matching-adjusted indirect treatment comparison of ozanimod versus teriflunomide for relapsing multiple sclerosis";"2021-05-12";TRUE;NA;"82";"73";"9";"7"
"100";"34021585";"10.1111/head.14128";"Matching-adjusted indirect comparisons of oral rimegepant versus placebo, erenumab, and galcanezumab examining monthly migraine days and health-related quality of life in the treatment of migraine";"2021-05-22";TRUE;NA;"144";"114";"30";"30"
"101";"34067521";"10.3390/cancers13102406";"Sustained Complete Response after Biological Downstaging in Patients with Hepatocellular Carcinoma: XXL-Like Prioritization for Liver Transplantation or ""Wait and See"" Strategy?";"2021-06-02";TRUE;NA;"38";"31";"7";"5"
"102";"34067288";"10.3390/biom11060780";"Equivalent Efficacy but Different Safety Profiles of Gemcitabine Plus Nab-Paclitaxel and FOLFIRINOX in Metastatic Pancreatic Cancer";"2021-06-02";TRUE;NA;"42";"30";"12";"9"
"103";"34080140";"10.1007/s40273-021-01015-8";"The Cost-Effectiveness of Lorlatinib Versus Chemotherapy as a Second- or Third-Line Treatment in Anaplastic Lymphoma Kinase (ALK)-Positive Non-small-cell Lung Cancer in Sweden";"2021-06-03";TRUE;NA;"91";"65";"26";"15"
"104";"34236007";"10.1080/03007995.2021.1947216";"Matching-adjusted indirect treatment comparison of onasemnogene abeparvovec and nusinersen for the treatment of symptomatic patients with spinal muscular atrophy type 1";"2021-07-08";TRUE;NA;"52";"44";"8";"5"
"105";"34250584";"10.1007/s12325-021-01846-z";"Effectiveness of Radiofrequency Catheter Ablation Using Ablation Index Versus Second Generation Cryoballoon in the Treatment of Persistent Atrial Fibrillation: A Matching-Adjusted Indirect Comparison";"2021-07-12";TRUE;NA;"68";"55";"13";"6"
"106";"34256668";"10.1080/03007995.2021.1953456";"Matching-adjusted indirect comparison of efficacy outcomes for ciltacabtagene autoleucel in CARTITUDE-1 versus idecabtagene vicleucel in KarMMa for the treatment of patients with relapsed or refractory multiple myeloma";"2021-07-14";TRUE;NA;"48";"47";"1";"1"
"107";"34277983";"10.1002/edm2.259";"A population-adjusted indirect comparison of cardiovascular benefits of once-weekly subcutaneous semaglutide and dulaglutide in the treatment of patients with type 2 diabetes, with or without established cardiovascular disease";"2021-07-19";TRUE;NA;"47";"36";"11";"8"
"108";"34286894";"10.1111/dom.14497";"An indirect treatment comparison of the efficacy of semaglutide 1.0Â mg versus dulaglutide 3.0 and 4.5Â mg";"2021-07-21";TRUE;NA;"84";"61";"23";"16"
"109";"34285621";"10.2147/jbm.s312885";"Efficacy of rFIXFc versus rIX-FP for the Treatment of Patients with Hemophilia B: Matching-Adjusted Indirect Comparison of B-LONG and PROLONG-9FP Trials";"2021-07-21";TRUE;NA;"72";"62";"10";"8"
"110";"34368918";"10.1007/s12325-021-01853-0";"Matching-Adjusted Indirect Comparison of Efficacy and Consumption of rVIII-SingleChain Versus Two Recombinant FVIII Products Used for Prophylactic Treatment of Adults/Adolescents with Severe HaemophiliaÂ A";"2021-08-09";TRUE;NA;"115";"94";"21";"15"
"111";"34445916";"10.1080/03007995.2021.1971182";"Comparative effectiveness of pegcetacoplan versus ravulizumab in patients with paroxysmal nocturnal hemoglobinuria previously treated with eculizumab: a matching-adjusted indirect comparison";"2021-08-27";TRUE;NA;"49";"44";"5";"5"
"112";"34493319";"10.1186/s13045-021-01144-9";"Matching-adjusted indirect treatment comparison of liso-cel versus axi-cel in relapsed or refractory large B cell lymphoma";"2021-09-08";TRUE;NA;"48";"42";"6";"6"
"113";"34561812";"10.1007/s12325-021-01884-7";"DREAMM-2: Indirect Comparisons of Belantamab Mafodotin vs. Selinexorâ€‰+â€‰Dexamethasone and Standard of Care Treatments in Relapsed/Refractory Multiple Myeloma";"2021-09-25";TRUE;NA;"48";"36";"12";"12"
