"doi";"PMID";"section";"ITC num";"Ind studies num";"questions";"answer"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"3";"Patient-level data used";"No"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"3";"Clinical Trial";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"3";"Data source name (only if observational study or clinical trial without NCT)";"bartalena at al., 2012"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"3";"Country where the clinical trial/observational study was conducted (international if more than one)";"international"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"3";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Treatment name 1";"teprotumumab"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Study 'number(s)' for treatment 1";"1;2"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Treatment name 2";"intravenous methylprednisolone"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Study 'number(s)' for treatment 2";"3"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Type of population-adjusted indirect comparisons performed";"MAIC"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Anchored comparison?";"No"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Form of the indirect comparison";"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Definition of a single primary outcome for the indirect comparison";"No primary outcome defined, or multiple primary outcomes without any clear distinction between them"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)";"change from baseline in proptosis in mm"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Primary outcome: variable type";"Continuous (count, mean, ...)"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Justification for selecting variables to be included in the adjustment model (in the main text)";"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Inclusion of prognostic factors in the adjustment/matching model";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Inclusion of treatment-effect modifiers in the adjustment/matching model";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)";"No"
"10.1001/jamaophthalmol.2021.6284";"35175308";"methodology";"1";"";"Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)";"No"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Sample size of the population of interest in the non IPD treatment arm";"419"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Initial sample size of the population of interest in the IPD treatment arm";"79"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";"56"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Reporting of a weights' distribution evaluation (MAIC)";"Not mentioned"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Reporting of the list of the covariates adjusted for/matched on";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Number of covariates adjusted for/matched on";"3"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Covariates adjusted for/matched on in the indirect comparison";"Age, Sex, Other(s)"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Primary outcome: treatment effect contrast";"Means difference"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Direction of the treatment effect contrast: IPD treatment is:";"Numerator if ratio, or left side if difference"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Primary outcome: unadjusted treatment effect";"-2.38"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])";"[-3.49;-1.27]"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"Primary outcome: adjusted treatment effect";"-2.31"
"10.1001/jamaophthalmol.2021.6284";"35175308";"results";"1";"";"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";"[-3.45;-1.17]"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Medical Condition of Interest Name";"type 2 diabetes"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Countries of first author affiliations";"uk"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Countries of last author affiliations";"uk"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Positions of study investigators (for any authors of the article, any that applies)";"Academic, Pharmaceutical Industry, Private Data Analysis Company"
"10.1002/edm2.259";"34277983";"general_information";"";"";"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company";"Yes"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Mentioned sources of funding";"Pharmaceutical Industry"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article";"Yes"
"10.1002/edm2.259";"34277983";"general_information";"";"";"Mention of a systematic review to find the studies to compare treatments of interest";"Yes"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"Patient-level data used";"Yes"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"Clinical Trial";"Yes"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT01720446"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"Country where the clinical trial/observational study was conducted (international if more than one)";"international"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"Phase of the clinical trial (clinical trial only)";"3"
"10.1002/edm2.259";"34277983";"study_information";"";"1";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"Patient-level data used";"No"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"Clinical Trial";"Yes"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT01394952"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"Country where the clinical trial/observational study was conducted (international if more than one)";"international"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"Phase of the clinical trial (clinical trial only)";"3"
"10.1002/edm2.259";"34277983";"study_information";"";"2";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Treatment name 1";"semaglutide"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Study 'number(s)' for treatment 1";"1"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Treatment name 2";"dulaglutide"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Study 'number(s)' for treatment 2";"2"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Type of population-adjusted indirect comparisons performed";"MAIC"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Anchored comparison?";"Yes"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Form of the indirect comparison";"Simple (ie treatments effects extracted from two studies)"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Definition of a single primary outcome for the indirect comparison";"Yes"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)";"3 point mace (cardiovascular death, non-fatal myocardial infraction, non-fatal stroke)"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Primary outcome: variable type";"Time-to-event"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Justification for selecting variables to be included in the adjustment model (in the main text)";"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion)"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Inclusion of prognostic factors in the adjustment/matching model";"No"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Inclusion of treatment-effect modifiers in the adjustment/matching model";"Yes"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)";"No"
"10.1002/edm2.259";"34277983";"methodology";"1";"";"Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)";"No"
"10.1002/edm2.259";"34277983";"results";"1";"";"Reporting of a weights' distribution evaluation (MAIC)";"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials"
"10.1002/edm2.259";"34277983";"results";"1";"";"Reporting of the list of the covariates adjusted for/matched on";"Yes"
"10.1002/edm2.259";"34277983";"results";"1";"";"Number of covariates adjusted for/matched on";"6"
"10.1002/edm2.259";"34277983";"results";"1";"";"Covariates adjusted for/matched on in the indirect comparison";"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison)"
"10.1002/edm2.259";"34277983";"results";"1";"";"Primary outcome: treatment effect contrast";"HR"
"10.1002/edm2.259";"34277983";"results";"1";"";"Direction of the treatment effect contrast: IPD treatment is:";"Numerator if ratio, or left side if difference"
"10.1002/edm2.259";"34277983";"results";"1";"";"Primary outcome: adjusted treatment effect";"0.74"
"10.1002/edm2.259";"34277983";"results";"1";"";"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";"0.06"
"10.1002/edm2.259";"34277983";"results";"1";"";"Sample size of the population of interest in the non IPD treatment arm";"4949"
"10.1002/edm2.259";"34277983";"results";"1";"";"If anchored comparison, sample size of the population of interest in the non IPD treatment anchor arm";"4952"
"10.1002/edm2.259";"34277983";"results";"1";"";"Initial sample size of the population of interest in the IPD treatment arm";"1648"
"10.1002/edm2.259";"34277983";"results";"1";"";"If anchored comparison, initial sample size of the population of interest in the IPD anchor arm";"1649"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Medical Condition of Interest Name";"attention-deficit/hyperactivity disorder"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Countries of first author affiliations";"usa"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Countries of last author affiliations";"usa"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Positions of study investigators (for any authors of the article, any that applies)";"Pharmaceutical Industry, Private Data Analysis Company"
"10.1007/bf03261873";"23113551";"general_information";"";"";"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company";"Yes"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Mentioned sources of funding";"Pharmaceutical Industry"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article";"Yes"
"10.1007/bf03261873";"23113551";"general_information";"";"";"Mention of a systematic review to find the studies to compare treatments of interest";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"Patient-level data used";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"Clinical Trial";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT00152009"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"Phase of the clinical trial (clinical trial only)";"3"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1007/bf03261873";"23113551";"study_information";"";"1";"Country where the clinical trial/observational study was conducted (international if more than one)";"unknown"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Patient-level data used";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Clinical Trial";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT00150618"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Phase of the clinical trial (clinical trial only)";"3"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Data source name (only if observational study or clinical trial without NCT)";"sallee et al. (2009)"
"10.1007/bf03261873";"23113551";"study_information";"";"2";"Country where the clinical trial/observational study was conducted (international if more than one)";"usa"
"10.1007/bf03261873";"23113551";"study_information";"";"3";"Patient-level data used";"No"
"10.1007/bf03261873";"23113551";"study_information";"";"3";"Clinical Trial";"Yes"
"10.1007/bf03261873";"23113551";"study_information";"";"3";"Data source name (only if observational study or clinical trial without NCT)";"michelson et al. (2001)"
"10.1007/bf03261873";"23113551";"study_information";"";"3";"Country where the clinical trial/observational study was conducted (international if more than one)";"usa"
"10.1007/bf03261873";"23113551";"study_information";"";"3";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Treatment name 1";"guanfacine extended-release low dose"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Study 'number(s)' for treatment 1";"1;2"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Treatment name 2";"atomoxetine"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Study 'number(s)' for treatment 2";"3"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Type of population-adjusted indirect comparisons performed";"MAIC"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Anchored comparison?";"No"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Form of the indirect comparison";"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Definition of a single primary outcome for the indirect comparison";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)";"adhd-rs-iv total score"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Primary outcome: variable type";"Continuous (count, mean, ...)"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Justification for selecting variables to be included in the adjustment model (in the main text)";"Nothing mentioned, not reported"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Inclusion of prognostic factors in the adjustment/matching model";"No discussion (in the main text) of the status of prognostic factors of the variables"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Inclusion of treatment-effect modifiers in the adjustment/matching model";"No discussion (in the main text) of the status of treatment-effect modifiers of the variables"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"1";"";"Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)";"No"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Treatment name 1";"guanfacine extended-release mid dose"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Study 'number(s)' for treatment 1";"1;2"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Treatment name 2";"atomoxetine"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Study 'number(s)' for treatment 2";"3"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Type of population-adjusted indirect comparisons performed";"MAIC"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Anchored comparison?";"No"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Form of the indirect comparison";"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Definition of a single primary outcome for the indirect comparison";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)";"adhd-rs-iv total score"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Primary outcome: variable type";"Continuous (count, mean, ...)"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Justification for selecting variables to be included in the adjustment model (in the main text)";"Nothing mentioned, not reported"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Inclusion of prognostic factors in the adjustment/matching model";"No discussion (in the main text) of the status of prognostic factors of the variables"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Inclusion of treatment-effect modifiers in the adjustment/matching model";"No discussion (in the main text) of the status of treatment-effect modifiers of the variables"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"2";"";"Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)";"No"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Treatment name 1";"guanfacine extended-release high dose"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Study 'number(s)' for treatment 1";"1;2"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Treatment name 2";"atomoxetine"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Study 'number(s)' for treatment 2";"3"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Type of population-adjusted indirect comparisons performed";"MAIC"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Anchored comparison?";"No"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Form of the indirect comparison";"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Definition of a single primary outcome for the indirect comparison";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)";"adhd-rs-iv total score"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Primary outcome: variable type";"Continuous (count, mean, ...)"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Justification for selecting variables to be included in the adjustment model (in the main text)";"Nothing mentioned, not reported"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Inclusion of prognostic factors in the adjustment/matching model";"No discussion (in the main text) of the status of prognostic factors of the variables"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Inclusion of treatment-effect modifiers in the adjustment/matching model";"No discussion (in the main text) of the status of treatment-effect modifiers of the variables"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)";"Yes"
"10.1007/bf03261873";"23113551";"methodology";"3";"";"Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)";"No"
"10.1007/bf03261873";"23113551";"results";"1";"";"Sample size of the population of interest in the non IPD treatment arm";"84"
"10.1007/bf03261873";"23113551";"results";"1";"";"Initial sample size of the population of interest in the IPD treatment arm";"147"
"10.1007/bf03261873";"23113551";"results";"1";"";"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";"49"
"10.1007/bf03261873";"23113551";"results";"1";"";"Reporting of a weights' distribution evaluation (MAIC)";"Not mentioned"
"10.1007/bf03261873";"23113551";"results";"1";"";"Reporting of the list of the covariates adjusted for/matched on";"Yes"
"10.1007/bf03261873";"23113551";"results";"1";"";"Number of covariates adjusted for/matched on";"6"
"10.1007/bf03261873";"23113551";"results";"1";"";"Covariates adjusted for/matched on in the indirect comparison";"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)"
"10.1007/bf03261873";"23113551";"results";"1";"";"Primary outcome: treatment effect contrast";"Means difference"
"10.1007/bf03261873";"23113551";"results";"1";"";"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";"<0.001"
"10.1007/bf03261873";"23113551";"results";"1";"";"Direction of the treatment effect contrast: IPD treatment is:";"Numerator if ratio, or left side if difference"
"10.1007/bf03261873";"23113551";"results";"1";"";"Primary outcome: adjusted treatment effect";"-6"
"10.1007/bf03261873";"23113551";"results";"2";"";"Sample size of the population of interest in the non IPD treatment arm";"84"
"10.1007/bf03261873";"23113551";"results";"2";"";"Initial sample size of the population of interest in the IPD treatment arm";"46"
"10.1007/bf03261873";"23113551";"results";"2";"";"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";"16"
"10.1007/bf03261873";"23113551";"results";"2";"";"Reporting of a weights' distribution evaluation (MAIC)";"Not mentioned"
"10.1007/bf03261873";"23113551";"results";"2";"";"Reporting of the list of the covariates adjusted for/matched on";"Yes"
"10.1007/bf03261873";"23113551";"results";"2";"";"Number of covariates adjusted for/matched on";"6"
"10.1007/bf03261873";"23113551";"results";"2";"";"Covariates adjusted for/matched on in the indirect comparison";"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)"
"10.1007/bf03261873";"23113551";"results";"2";"";"Primary outcome: treatment effect contrast";"Means difference"
"10.1007/bf03261873";"23113551";"results";"2";"";"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";"0.02"
"10.1007/bf03261873";"23113551";"results";"2";"";"Direction of the treatment effect contrast: IPD treatment is:";"Numerator if ratio, or left side if difference"
"10.1007/bf03261873";"23113551";"results";"2";"";"Primary outcome: adjusted treatment effect";"-6"
"10.1007/bf03261873";"23113551";"results";"3";"";"Sample size of the population of interest in the non IPD treatment arm";"84"
"10.1007/bf03261873";"23113551";"results";"3";"";"Initial sample size of the population of interest in the IPD treatment arm";"82"
"10.1007/bf03261873";"23113551";"results";"3";"";"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";"38"
"10.1007/bf03261873";"23113551";"results";"3";"";"Reporting of a weights' distribution evaluation (MAIC)";"Not mentioned"
"10.1007/bf03261873";"23113551";"results";"3";"";"Reporting of the list of the covariates adjusted for/matched on";"Yes"
"10.1007/bf03261873";"23113551";"results";"3";"";"Number of covariates adjusted for/matched on";"6"
"10.1007/bf03261873";"23113551";"results";"3";"";"Covariates adjusted for/matched on in the indirect comparison";"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)"
"10.1007/bf03261873";"23113551";"results";"3";"";"Primary outcome: treatment effect contrast";"Means difference"
"10.1007/bf03261873";"23113551";"results";"3";"";"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";"0.07"
"10.1007/bf03261873";"23113551";"results";"3";"";"Direction of the treatment effect contrast: IPD treatment is:";"Numerator if ratio, or left side if difference"
"10.1007/bf03261873";"23113551";"results";"3";"";"Primary outcome: adjusted treatment effect";"-3.7"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Medical Condition of Interest Name";"unresectable hepatocellular carcinoma"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Countries of first author affiliations";"italy"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Countries of last author affiliations";"italy"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Positions of study investigators (for any authors of the article, any that applies)";"Academic"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company";"Yes"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Mentioned sources of funding";"No fundings"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article";"None"
"10.1007/s00432-021-03602-w";"33745079";"general_information";"";"";"Mention of a systematic review to find the studies to compare treatments of interest";"No"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"1";"Patient-level data used";"Yes"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"1";"Clinical Trial";"No"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"1";"Data source name (only if observational study or clinical trial without NCT)";"nothing mentioned for the ipd population origin"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"2";"Patient-level data used";"No"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"2";"Clinical Trial";"Yes"
"10.1007/s00432-021-03602-w";"33745079";"study_information";"";"2";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT01908426"
