doi	section	n_itc	study_number	questions	answer
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1001/jamaophthalmol.2021.6284	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	419
10.1001/jamaophthalmol.2021.6284	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	79
10.1001/jamaophthalmol.2021.6284	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	56
10.1001/jamaophthalmol.2021.6284	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned
10.1001/jamaophthalmol.2021.6284	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes
10.1001/jamaophthalmol.2021.6284	results	1	NA	Number of covariates adjusted for/matched on	3
10.1001/jamaophthalmol.2021.6284	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Other(s)
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: treatment effect contrast	Means difference
10.1001/jamaophthalmol.2021.6284	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: unadjusted treatment effect	-2.38
10.1001/jamaophthalmol.2021.6284	results	1	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	[-3.49;-1.27]
10.1001/jamaophthalmol.2021.6284	results	1	NA	Primary outcome: adjusted treatment effect	-2.31
10.1001/jamaophthalmol.2021.6284	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	[-3.45;-1.17]
10.1001/jamaophthalmol.2021.6284	results	1	NA	geographical region	No
10.1001/jamaophthalmol.2021.6284	results	1	NA	lb_ci	-3.49
10.1001/jamaophthalmol.2021.6284	results	1	NA	ub_ci	-1.27
10.1001/jamaophthalmol.2021.6284	results	1	NA	pval	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	num_pval	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	ci_cutoff	0
10.1001/jamaophthalmol.2021.6284	results	1	NA	significant	FALSE
10.1001/jamaophthalmol.2021.6284	results	1	NA	lb_ci	-3.45
10.1001/jamaophthalmol.2021.6284	results	1	NA	ub_ci	-1.17
10.1001/jamaophthalmol.2021.6284	results	1	NA	pval	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	num_pval	NA
10.1001/jamaophthalmol.2021.6284	results	1	NA	ci_cutoff	0
10.1001/jamaophthalmol.2021.6284	results	1	NA	significant	FALSE
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Patient-level data used	Yes
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Clinical Trial	Yes
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01868997
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Phase of the clinical trial (clinical trial only)	2
10.1001/jamaophthalmol.2021.6284	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Patient-level data used	Yes
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Clinical Trial	Yes
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT03298867
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3
10.1001/jamaophthalmol.2021.6284	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Patient-level data used	No
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Clinical Trial	No
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	meta-analysis of clinical trials from 12 articles
10.1001/jamaophthalmol.2021.6284	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	international
10.1002/edm2.259	general_information	NA	NA	Medical Condition of Interest Name	type 2 diabetes
10.1002/edm2.259	general_information	NA	NA	Countries of first author affiliations	uk
10.1002/edm2.259	general_information	NA	NA	Countries of last author affiliations	denmark
10.1002/edm2.259	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Pharmaceutical Industry, Private Data Analysis Company
10.1002/edm2.259	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes
10.1002/edm2.259	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry
10.1002/edm2.259	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes
10.1002/edm2.259	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes
10.1002/edm2.259	methodology	1	NA	Treatment name 1	semaglutide 0.5  +  1 mg
10.1002/edm2.259	methodology	1	NA	Study 'number(s)' for treatment 1	1
10.1002/edm2.259	methodology	1	NA	Treatment name 2	dulaglutide 1.5 mg
10.1002/edm2.259	methodology	1	NA	Study 'number(s)' for treatment 2	2
10.1002/edm2.259	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1002/edm2.259	methodology	1	NA	Anchored comparison?	Yes
10.1002/edm2.259	methodology	1	NA	Form of the indirect comparison	Simple (ie treatments effects extracted from two studies)
10.1002/edm2.259	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes
10.1002/edm2.259	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	3 point mace (cardiovascular death, non-fatal myocardial infraction, non-fatal stroke)
10.1002/edm2.259	methodology	1	NA	Primary outcome: variable type	Time-to-event
10.1002/edm2.259	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion)
10.1002/edm2.259	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	No
10.1002/edm2.259	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes
10.1002/edm2.259	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No
10.1002/edm2.259	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1002/edm2.259	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials
10.1002/edm2.259	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes
10.1002/edm2.259	results	1	NA	Number of covariates adjusted for/matched on	6
10.1002/edm2.259	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison)
10.1002/edm2.259	results	1	NA	Primary outcome: treatment effect contrast	HR
10.1002/edm2.259	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference
10.1002/edm2.259	results	1	NA	Primary outcome: adjusted treatment effect	0.74
10.1002/edm2.259	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	0.06
10.1002/edm2.259	results	1	NA	If anchored, total initial sample size IPD	3297
10.1002/edm2.259	results	1	NA	If anchored, total ESS IPD	2633
10.1002/edm2.259	results	1	NA	If anchored, total sample size non IPD	9901
10.1002/edm2.259	results	1	NA	lb_ci	NA
10.1002/edm2.259	results	1	NA	ub_ci	NA
10.1002/edm2.259	results	1	NA	pval	0.06
10.1002/edm2.259	results	1	NA	num_pval	0.06
10.1002/edm2.259	results	1	NA	ci_cutoff	1
10.1002/edm2.259	results	1	NA	significant	FALSE
10.1002/edm2.259	study_information	NA	1	Patient-level data used	Yes
10.1002/edm2.259	study_information	NA	1	Clinical Trial	Yes
10.1002/edm2.259	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01720446
10.1002/edm2.259	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international
10.1002/edm2.259	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3
10.1002/edm2.259	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more
10.1002/edm2.259	study_information	NA	2	Patient-level data used	No
10.1002/edm2.259	study_information	NA	2	Clinical Trial	Yes
10.1002/edm2.259	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01394952
10.1002/edm2.259	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international
10.1002/edm2.259	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3
10.1002/edm2.259	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more
10.1007/bf03261873	general_information	NA	NA	Medical Condition of Interest Name	attention-deficit/hyperactivity disorder
10.1007/bf03261873	general_information	NA	NA	Countries of first author affiliations	usa
10.1007/bf03261873	general_information	NA	NA	Countries of last author affiliations	usa
10.1007/bf03261873	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Pharmaceutical Industry, Private Data Analysis Company
10.1007/bf03261873	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes
10.1007/bf03261873	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry
10.1007/bf03261873	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes
10.1007/bf03261873	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes
10.1007/bf03261873	methodology	1	NA	Treatment name 1	guanfacine extended-release low dose
10.1007/bf03261873	methodology	1	NA	Study 'number(s)' for treatment 1	1;2
10.1007/bf03261873	methodology	1	NA	Treatment name 2	atomoxetine
10.1007/bf03261873	methodology	1	NA	Study 'number(s)' for treatment 2	3
10.1007/bf03261873	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1007/bf03261873	methodology	1	NA	Anchored comparison?	No
10.1007/bf03261873	methodology	1	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)
10.1007/bf03261873	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes
10.1007/bf03261873	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	change in the adhd-rs-iv total score from baseline to end-point
10.1007/bf03261873	methodology	1	NA	Primary outcome: variable type	Continuous (count, mean, ...)
10.1007/bf03261873	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported
10.1007/bf03261873	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables
10.1007/bf03261873	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables
10.1007/bf03261873	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	Yes
10.1007/bf03261873	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1007/bf03261873	methodology	2	NA	Treatment name 1	guanfacine extended-release mid dose
10.1007/bf03261873	methodology	2	NA	Study 'number(s)' for treatment 1	1;2
10.1007/bf03261873	methodology	2	NA	Treatment name 2	atomoxetine
10.1007/bf03261873	methodology	2	NA	Study 'number(s)' for treatment 2	3
10.1007/bf03261873	methodology	2	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1007/bf03261873	methodology	2	NA	Anchored comparison?	No
10.1007/bf03261873	methodology	2	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)
10.1007/bf03261873	methodology	2	NA	Definition of a single primary outcome for the indirect comparison	Yes
10.1007/bf03261873	methodology	2	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	change in the adhd-rs-iv total score from baseline to end-point
10.1007/bf03261873	methodology	2	NA	Primary outcome: variable type	Continuous (count, mean, ...)
10.1007/bf03261873	methodology	2	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported
10.1007/bf03261873	methodology	2	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables
10.1007/bf03261873	methodology	2	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables
10.1007/bf03261873	methodology	2	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	Yes
10.1007/bf03261873	methodology	2	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1007/bf03261873	methodology	3	NA	Treatment name 1	guanfacine extended-release high dose
10.1007/bf03261873	methodology	3	NA	Study 'number(s)' for treatment 1	1;2
10.1007/bf03261873	methodology	3	NA	Treatment name 2	atomoxetine
10.1007/bf03261873	methodology	3	NA	Study 'number(s)' for treatment 2	3
10.1007/bf03261873	methodology	3	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1007/bf03261873	methodology	3	NA	Anchored comparison?	No
10.1007/bf03261873	methodology	3	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)
10.1007/bf03261873	methodology	3	NA	Definition of a single primary outcome for the indirect comparison	Yes
10.1007/bf03261873	methodology	3	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	change in the adhd-rs-iv total score from baseline to end-point
10.1007/bf03261873	methodology	3	NA	Primary outcome: variable type	Continuous (count, mean, ...)
10.1007/bf03261873	methodology	3	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported
10.1007/bf03261873	methodology	3	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables
10.1007/bf03261873	methodology	3	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables
10.1007/bf03261873	methodology	3	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	Yes
10.1007/bf03261873	methodology	3	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1007/bf03261873	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	84
10.1007/bf03261873	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	147
10.1007/bf03261873	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	49
10.1007/bf03261873	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned
10.1007/bf03261873	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes
10.1007/bf03261873	results	1	NA	Number of covariates adjusted for/matched on	6
10.1007/bf03261873	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)
10.1007/bf03261873	results	1	NA	Primary outcome: treatment effect contrast	Means difference
10.1007/bf03261873	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	0.07
10.1007/bf03261873	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference
10.1007/bf03261873	results	1	NA	Primary outcome: adjusted treatment effect	-3,7
10.1007/bf03261873	results	1	NA	geographical region	No
10.1007/bf03261873	results	1	NA	lb_ci	NA
10.1007/bf03261873	results	1	NA	ub_ci	NA
10.1007/bf03261873	results	1	NA	pval	0.07
10.1007/bf03261873	results	1	NA	num_pval	0.07
10.1007/bf03261873	results	1	NA	ci_cutoff	0
10.1007/bf03261873	results	1	NA	significant	FALSE
10.1007/bf03261873	results	2	NA	Sample size of the population of interest in the non IPD treatment arm	84
10.1007/bf03261873	results	2	NA	Initial sample size of the population of interest in the IPD treatment arm	46
10.1007/bf03261873	results	2	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	16
10.1007/bf03261873	results	2	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned
10.1007/bf03261873	results	2	NA	Reporting of the list of the covariates adjusted for/matched on	Yes
10.1007/bf03261873	results	2	NA	Number of covariates adjusted for/matched on	6
10.1007/bf03261873	results	2	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)
10.1007/bf03261873	results	2	NA	Primary outcome: treatment effect contrast	Means difference
10.1007/bf03261873	results	2	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	0.02
10.1007/bf03261873	results	2	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference
10.1007/bf03261873	results	2	NA	Primary outcome: adjusted treatment effect	-6
10.1007/bf03261873	results	2	NA	geographical region	No
10.1007/bf03261873	results	2	NA	lb_ci	NA
10.1007/bf03261873	results	2	NA	ub_ci	NA
10.1007/bf03261873	results	2	NA	pval	0.02
10.1007/bf03261873	results	2	NA	num_pval	0.02
10.1007/bf03261873	results	2	NA	ci_cutoff	0
10.1007/bf03261873	results	2	NA	significant	TRUE
10.1007/bf03261873	results	3	NA	Sample size of the population of interest in the non IPD treatment arm	84
10.1007/bf03261873	results	3	NA	Initial sample size of the population of interest in the IPD treatment arm	82
10.1007/bf03261873	results	3	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	38
10.1007/bf03261873	results	3	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned
10.1007/bf03261873	results	3	NA	Reporting of the list of the covariates adjusted for/matched on	Yes
10.1007/bf03261873	results	3	NA	Number of covariates adjusted for/matched on	6
10.1007/bf03261873	results	3	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)
10.1007/bf03261873	results	3	NA	Primary outcome: treatment effect contrast	Means difference
10.1007/bf03261873	results	3	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	<0.01
10.1007/bf03261873	results	3	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference
10.1007/bf03261873	results	3	NA	Primary outcome: adjusted treatment effect	-7
10.1007/bf03261873	results	3	NA	geographical region	No
10.1007/bf03261873	results	3	NA	lb_ci	NA
10.1007/bf03261873	results	3	NA	ub_ci	NA
10.1007/bf03261873	results	3	NA	pval	<0.01
10.1007/bf03261873	results	3	NA	num_pval	NA
10.1007/bf03261873	results	3	NA	ci_cutoff	0
10.1007/bf03261873	results	3	NA	significant	TRUE
10.1007/bf03261873	study_information	NA	1	Patient-level data used	Yes
10.1007/bf03261873	study_information	NA	1	Clinical Trial	Yes
10.1007/bf03261873	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00152009
10.1007/bf03261873	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3
10.1007/bf03261873	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more
10.1007/bf03261873	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	unknown
10.1007/bf03261873	study_information	NA	2	Patient-level data used	Yes
10.1007/bf03261873	study_information	NA	2	Clinical Trial	Yes
10.1007/bf03261873	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00150618
10.1007/bf03261873	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3
10.1007/bf03261873	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more
10.1007/bf03261873	study_information	NA	2	Data source name (only if observational study or clinical trial without NCT)	sallee et al. (2009)
10.1007/bf03261873	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	usa
10.1007/bf03261873	study_information	NA	3	Patient-level data used	No
10.1007/bf03261873	study_information	NA	3	Clinical Trial	Yes
10.1007/bf03261873	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	michelson et al. (2001)
10.1007/bf03261873	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	usa
10.1007/bf03261873	study_information	NA	3	Number of treatment arms (clinical trial only)	2 or more
10.1007/s00432-021-03602-w	general_information	NA	NA	Medical Condition of Interest Name	unresectable hepatocellular carcinoma
10.1007/s00432-021-03602-w	general_information	NA	NA	Countries of first author affiliations	italy
10.1007/s00432-021-03602-w	general_information	NA	NA	Countries of last author affiliations	italy
10.1007/s00432-021-03602-w	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic
10.1007/s00432-021-03602-w	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes
10.1007/s00432-021-03602-w	general_information	NA	NA	Mentioned sources of funding	No fundings
10.1007/s00432-021-03602-w	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes
10.1007/s00432-021-03602-w	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	No
10.1007/s00432-021-03602-w	methodology	1	NA	Treatment name 1	regorafenib
10.1007/s00432-021-03602-w	methodology	1	NA	Study 'number(s)' for treatment 1	1
10.1007/s00432-021-03602-w	methodology	1	NA	Treatment name 2	cabozantinib
10.1007/s00432-021-03602-w	methodology	1	NA	Study 'number(s)' for treatment 2	2
10.1007/s00432-021-03602-w	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1007/s00432-021-03602-w	methodology	1	NA	Anchored comparison?	No
10.1007/s00432-021-03602-w	methodology	1	NA	Form of the indirect comparison	Simple (ie treatments effects extracted from two studies)
10.1007/s00432-021-03602-w	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes
10.1007/s00432-021-03602-w	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	overall survival
10.1007/s00432-021-03602-w	methodology	1	NA	Primary outcome: variable type	Time-to-event
10.1007/s00432-021-03602-w	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Nothing mentioned, not reported
10.1007/s00432-021-03602-w	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	No discussion (in the main text) of the status of prognostic factors of the variables
10.1007/s00432-021-03602-w	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables
10.1007/s00432-021-03602-w	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No
10.1007/s00432-021-03602-w	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No
10.1007/s00432-021-03602-w	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	331
10.1007/s00432-021-03602-w	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	278
10.1007/s00432-021-03602-w	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned
10.1007/s00432-021-03602-w	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	No
10.1007/s00432-021-03602-w	results	1	NA	Primary outcome: treatment effect contrast	HR
10.1007/s00432-021-03602-w	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Denominator if ratio, or rightside if difference
10.1007/s00432-021-03602-w	results	1	NA	Primary outcome: unadjusted treatment effect	0.8
10.1007/s00432-021-03602-w	results	1	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	[0.66;0.97]
10.1007/s00432-021-03602-w	results	1	NA	Primary outcome: adjusted treatment effect	0.83
