doi	section	n_itc	study_number	questions	answer	ttt_parsed	others	car_t_cells	atc_code	concept_class_id	concept_name	concept_code_ancestor_ATC 1st	concept_code_ancestor_ATC 2nd	concept_code_ancestor_ATC 3rd	concept_code_ancestor_ATC 4th	concept_name_ancestor_ATC 1st	concept_name_ancestor_ATC 2nd	concept_name_ancestor_ATC 3rd	concept_name_ancestor_ATC 4th
10.1007/s12325-014-0167-z	methodology	3	NA	treatment_name_ipd	fingolimod	fingolimod	NA	FALSE	L04AA27	ATC 5th	fingolimod; oral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
10.1007/s12325-014-0167-z	methodology	3	NA	treatment_name_nonipd	teriflunomide 14 mg	teriflunomide 14 mg	NA	FALSE	L04AA31	ATC 5th	teriflunomide; oral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
10.1007/s12325-017-0564-1	methodology	1	NA	treatment_name_ipd	ibrutinib	ibrutinib	NA	FALSE	L01EL01	ATC 5th	ibrutinib; oral	L	L01	L01E	L01EL	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Bruton's tyrosine kinase (BTK) inhibitors
10.1007/s12325-017-0564-1	methodology	1	NA	treatment_name_nonipd	obinutuzumab + chlorambucil	obinutuzumab	NA	FALSE	L01XC15	ATC 5th	obinutuzumab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-017-0564-1	methodology	1	NA	treatment_name_nonipd	obinutuzumab + chlorambucil	chlorambucil	NA	FALSE	L01AA02	ATC 5th	chlorambucil; oral	L	L01	L01A	L01AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Nitrogen mustard analogues
10.1007/s12325-018-0734-9	methodology	1	NA	treatment_name_ipd	dabrafenib + trametinib	dabrafenib	NA	FALSE	L01EC02	ATC 5th	dabrafenib; oral	L	L01	L01E	L01EC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	B-raf serine-threonine kinase (BRAF) inhibitors
10.1007/s12325-018-0734-9	methodology	1	NA	treatment_name_ipd	dabrafenib + trametinib	trametinib	NA	FALSE	L01EE01	ATC 5th	trametinib; oral	L	L01	L01E	L01EE	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Mitogen-activated protein kinase (MEK) inhibitors
10.1007/s12325-018-0734-9	methodology	1	NA	treatment_name_nonipd	nivolumab	nivolumab	NA	FALSE	L01XC17	ATC 5th	nivolumab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-00991-w	methodology	1	NA	treatment_name_ipd	inotuzumab ozogamicin	inotuzumab ozogamicin	NA	FALSE	L01XC26	ATC 5th	inotuzumab ozogamicin; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-00991-w	methodology	1	NA	treatment_name_nonipd	blinatumomab	blinatumomab	NA	FALSE	L01XC19	ATC 5th	blinatumomab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-00991-w	methodology	2	NA	treatment_name_ipd	inotuzumab ozogamicin	inotuzumab ozogamicin	NA	FALSE	L01XC26	ATC 5th	inotuzumab ozogamicin; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-00991-w	methodology	2	NA	treatment_name_nonipd	blinatumomab	blinatumomab	NA	FALSE	L01XC19	ATC 5th	blinatumomab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-01156-5	methodology	1	NA	treatment_name_ipd	apalutamide	apalutamide	NA	FALSE	L02BB05	ATC 5th	apalutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-019-01156-5	methodology	1	NA	treatment_name_nonipd	enzalutamide	enzalutamide	NA	FALSE	L02BB04	ATC 5th	enzalutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-019-01157-4	methodology	1	NA	treatment_name_ipd	apalutamide	apalutamide	NA	FALSE	L02BB05	ATC 5th	apalutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-019-01157-4	methodology	1	NA	treatment_name_nonipd	enzalutamide	enzalutamide	NA	FALSE	L02BB04	ATC 5th	enzalutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-019-01173-4	methodology	1	NA	treatment_name_ipd	ratiofrequency catheter ablation with ablation index	ratiofrequency catheter ablation with ablation index	procedure	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1007/s12325-019-01173-4	methodology	1	NA	treatment_name_nonipd	ratiofrequency catheter ablation with cryoballoon	ratiofrequency catheter ablation with cryoballoon	procedure	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1007/s12325-019-0873-7	methodology	1	NA	treatment_name_ipd	blinatumomab	blinatumomab	NA	FALSE	L01XC19	ATC 5th	blinatumomab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-0873-7	methodology	1	NA	treatment_name_nonipd	inotuzumab ozogamicin	inotuzumab ozogamicin	NA	FALSE	L01XC26	ATC 5th	inotuzumab ozogamicin; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-0873-7	methodology	2	NA	treatment_name_ipd	blinatumomab	blinatumomab	NA	FALSE	L01XC19	ATC 5th	blinatumomab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-019-0873-7	methodology	2	NA	treatment_name_nonipd	inotuzumab ozogamicin	inotuzumab ozogamicin	NA	FALSE	L01XC26	ATC 5th	inotuzumab ozogamicin; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-020-01298-x	methodology	1	NA	treatment_name_ipd	intravitreally administered aflibercept (ivt-afl) with 2 weeks adjustment	intravitreally administered aflibercept (ivt-afl) with 2 weeks adjustment	NA	FALSE	S01LA05	ATC 5th	aflibercept; ophthalmic	S	S01	S01L	S01LA	SENSORY ORGANS	OPHTHALMOLOGICALS	OCULAR VASCULAR DISORDER AGENTS	Antineovascularisation agents
10.1007/s12325-020-01298-x	methodology	1	NA	treatment_name_nonipd	intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year followed by prorenata regimen in the second year	intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year	NA	FALSE	S01LA05	ATC 5th	aflibercept; ophthalmic	S	S01	S01L	S01LA	SENSORY ORGANS	OPHTHALMOLOGICALS	OCULAR VASCULAR DISORDER AGENTS	Antineovascularisation agents
10.1007/s12325-020-01378-y	methodology	1	NA	treatment_name_ipd	cabozantinib	cabozantinib	NA	FALSE	L01EX07	ATC 5th	L01EX07	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s12325-020-01378-y	methodology	1	NA	treatment_name_nonipd	regorafenib	regorafenib	NA	FALSE	L01EX05	ATC 5th	L01EX05	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s12325-020-01599-1	methodology	1	NA	treatment_name_ipd	recombinant fviiifc	recombinant fviiifc	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	1	NA	treatment_name_nonipd	damoctocog alfa pegol (pooled prophylaxis)	damoctocog alfa pegol (pooled prophylaxis)	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	2	NA	treatment_name_ipd	recombinant fviiifc	recombinant fviiifc	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	2	NA	treatment_name_nonipd	damoctocog alfa pegol twice weekly	damoctocog alfa pegol twice weekly	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	3	NA	treatment_name_ipd	recombinant fviiifc	recombinant fviiifc	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	3	NA	treatment_name_nonipd	damoctocog alfa pegol q5d	damoctocog alfa pegol q5d	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	4	NA	treatment_name_ipd	recombinant fviiifc	recombinant fviiifc	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-020-01599-1	methodology	4	NA	treatment_name_nonipd	damoctocog alfa pegol q7d	damoctocog alfa pegol q7d	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01700-2	methodology	1	NA	treatment_name_ipd	cabozantinib	cabozantinib	NA	FALSE	L01EX07	ATC 5th	L01EX07	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s12325-021-01700-2	methodology	1	NA	treatment_name_nonipd	ramucirumab	ramucirumab	NA	FALSE	L01XC21	ATC 5th	ramucirumab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-021-01756-0	methodology	1	NA	treatment_name_ipd	lisocabtagene maraleucel	lisocabtagene maraleucel	NA	TRUE	L01XL	NA	NA	L	L01	L01X	L01XL	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC CELL AND GENE THERAPY
10.1007/s12325-021-01756-0	methodology	1	NA	treatment_name_nonipd	salvage chemotherapy	salvage chemotherapy	NA	FALSE	L01	ATC 2nd	ANTINEOPLASTIC AGENTS	L	L01	NA	NA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	NA	NA
10.1007/s12325-021-01846-z	methodology	1	NA	treatment_name_ipd	thermocool smarttouch /thermocool smarttouch sf catheter with ai (stai)	thermocool smarttouch	procedure	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1007/s12325-021-01846-z	methodology	1	NA	treatment_name_nonipd	second-generation cryoballoon (cb)	second-generation cryoballoon (cb)	procedure	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1007/s12325-021-01853-0	methodology	1	NA	treatment_name_ipd	rviii-singlechain	rviii-singlechain	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01853-0	methodology	1	NA	treatment_name_nonipd	rahf-pfm	rahf-pfm	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01853-0	methodology	2	NA	treatment_name_ipd	rviii-singlechain	rviii-singlechain	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01853-0	methodology	2	NA	treatment_name_nonipd	rahf-pfm	rahf-pfm	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01853-0	methodology	3	NA	treatment_name_ipd	rviii-singlechain	rviii-singlechain	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01853-0	methodology	3	NA	treatment_name_nonipd	rfviiifc	rfviiifc	NA	FALSE	B02BD02	ATC 5th	coagulation factor VIII; parenteral, topical, urethral	B	B02	B02B	B02BD	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Blood coagulation factors
10.1007/s12325-021-01884-7	methodology	1	NA	treatment_name_ipd	belantamab mafodotin	belantamab mafodotin	NA	FALSE	L01XC39	ATC 5th	belantamab mafodotin; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-021-01884-7	methodology	1	NA	treatment_name_nonipd	selinexor + dexamethasone	selinexor	NA	FALSE	L01XX66	ATC 5th	selinexor; oral	L	L01	L01X	L01XX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
10.1007/s12325-021-01884-7	methodology	1	NA	treatment_name_nonipd	selinexor + dexamethasone	dexamethasone	NA	FALSE	H02AB02	ATC 5th	dexamethasone; systemic	H	H02	H02A	H02AB	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
10.1007/s12325-021-01885-6	methodology	1	NA	treatment_name_ipd	apalutamide + adt	apalutamide	NA	FALSE	L02BB05	ATC 5th	apalutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-021-01885-6	methodology	1	NA	treatment_name_ipd	apalutamide + adt	adt	NA	FALSE	L02BB	ATC 4th	Anti-androgens	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-021-01885-6	methodology	1	NA	treatment_name_nonipd	darolutamide + adt	darolutamide	NA	FALSE	L02BB06	ATC 5th	darolutamide; oral	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-021-01885-6	methodology	1	NA	treatment_name_nonipd	darolutamide + adt	adt	NA	FALSE	L02BB	ATC 4th	Anti-androgens	L	L02	L02B	L02BB	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
10.1007/s12325-022-02054-z	methodology	1	NA	treatment_name_ipd	tazemetostat	tazemetostat	NA	FALSE	L01XX72	ATC 5th	tazemetostat; oral	L	L01	L01X	L01XX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
10.1007/s12325-022-02054-z	methodology	1	NA	treatment_name_nonipd	idelalisib	idelalisib	NA	FALSE	L01EM01	ATC 5th	idelalisib; oral	L	L01	L01E	L01EM	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Phosphatidylinositol-3-kinase (Pi3K) inhibitors
10.1007/s12325-022-02054-z	methodology	2	NA	treatment_name_ipd	tazemetostat	tazemetostat	NA	FALSE	L01XX72	ATC 5th	tazemetostat; oral	L	L01	L01X	L01XX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
10.1007/s12325-022-02054-z	methodology	2	NA	treatment_name_nonipd	duvelisib	duvelisib	NA	FALSE	L01EM04	ATC 5th	duvelisib; oral	L	L01	L01E	L01EM	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Phosphatidylinositol-3-kinase (Pi3K) inhibitors
