doi,PMID,section,ITC num,Ind studies num,questions,reviewer 1,reviewer 2,decision,identical,Notes reviewer 1,Notes reviewer 2,reviewer
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Treatment name 1,bevacizumab + cisplatin,bevacizumab + cisplatin-based chemotherapy,bevacizumab + cisplatin,FALSE,Median difference calculted from the 2 point estimates reported,"Is this a MAIC ? (weights has not been calculated)

Method : A matching algorithm was developed whereby 1000 samples of the pre-matched analysis set of the SAiL data were selected that resulted in equal distributions of the ECOG PS and gender-matching variables selected. A distribution of survival outcomes was derived by calculating the median PFS estimate from each of the 1000 matched sets. The mean of this distribution provided the PFS point estimates, while a 95% CI was defined by the 2.5 and 97.5 percentiles.

HR has not been calculated
",NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Study 'number(s)' for treatment 1,NA,NA,1,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Treatment name 2,NA,NA,pemetrexed + cisplatin,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Study 'number(s)' for treatment 2,NA,NA,2,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Type of population-adjusted indirect comparisons performed,"Other kind of ""Matching-Adjusted Indirect Comparison""",MAIC,"Other kind of ""Matching-Adjusted Indirect Comparison""",FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Anchored comparison?,Yes,No,No,FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Form of the indirect comparison,NA,NA,Simple (ie treatments effects extracted from two studies),TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Definition of a single primary outcome for the indirect comparison,Yes,"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Yes,FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),NA,NA,progression-free survival,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Primary outcome: variable type,NA,NA,Time-to-event,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Justification for selecting variables to be included in the adjustment model (in the main text),"Nothing mentioned, not reported",Statistical imbalanced between treatment groups (independently of the status of prognostic/effect modifier),Statistical imbalanced between treatment groups (independently of the status of prognostic/effect modifier),FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Inclusion of prognostic factors in the adjustment/matching model,NA,NA,Yes,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Inclusion of treatment-effect modifiers in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",NA,No,No,FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,methodology,1,NA,Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),NA,NA,No,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Sample size of the population of interest in the non IPD treatment arm,NA,NA,67,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Initial sample size of the population of interest in the IPD treatment arm,NA,NA,72,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC",NA,NA,46,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Reporting of a weights' distribution evaluation (MAIC),NA,NA,Not mentioned,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Reporting of the list of the covariates adjusted for/matched on,NA,NA,Yes,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Number of covariates adjusted for/matched on,NA,NA,2,TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Covariates adjusted for/matched on in the indirect comparison,NA,NA,"Sex, Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...)",TRUE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Primary outcome: treatment effect contrast,Median difference,HR has not been calculated,Median difference,FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Direction of the treatment effect contrast: IPD treatment is:,"Numerator if ratio, or left side if difference",NA,"Numerator if ratio, or left side if difference",FALSE,NA,NA,NA
10.1111/j.1743-7563.2011.01400.x,21585706,results,1,NA,Primary outcome: adjusted treatment effect,1,NA,1,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Medical Condition of Interest Name,NA,NA,attention-deficit/hyperactivity disorder,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Countries of first author affiliations,NA,NA,usa,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Countries of last author affiliations,NA,NA,usa,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"Positions of study investigators (for any authors of the article, any that applies)",NA,NA,"Pharmaceutical Industry, Private Data Analysis Company",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Mentioned sources of funding,NA,NA,Pharmaceutical Industry,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Mention of a systematic review to find the studies to compare treatments of interest,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Patient-level data used,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Clinical Trial,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT00152009,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Country where the clinical trial/observational study was conducted (international if more than one),unknown,NA,unknown,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Patient-level data used,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Clinical Trial,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NCT00150618,NCT00150618,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Phase of the clinical trial (clinical trial only),NA,3,3,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Data source name (only if observational study or clinical trial without NCT),sallee et al. (2009),NA,NA,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Country where the clinical trial/observational study was conducted (international if more than one),usa,NA,unknown,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Patient-level data used,NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Clinical Trial,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Data source name (only if observational study or clinical trial without NCT),NA,NA,michelson et al. (2001),TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,usa,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Treatment name 1,NA,NA,guanfacine extended-release low dose,TRUE,"not Bucher ITC, so not anchored, but use the mean placebo efficacy which has been added to the weighting model
other = placebo effect","Guanfacine Low Dose

Cost-effectivness (economic) analysis

Adjust for placebo outcome ==> Anchored-MAIC ???
Placebo outcome = other covariate

Mean changes in the ADHD-RS-IV total score :
non IPD = -17.3
adjusted IPD = -13.6
p = 0.07",NA
10.1007/bf03261873,23113551,methodology,1,NA,Study 'number(s)' for treatment 1,NA,NA,1;2,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Treatment name 2,NA,NA,atomoxetine,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Study 'number(s)' for treatment 2,NA,NA,3,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Type of population-adjusted indirect comparisons performed,NA,NA,MAIC,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Anchored comparison?,NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Form of the indirect comparison,NA,NA,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Definition of a single primary outcome for the indirect comparison,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),adhd-rs-iv total score,change in the adhd-rs-iv total score from baseline to end-point,change in the adhd-rs-iv total score from baseline to end-point,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Primary outcome: variable type,NA,NA,"Continuous (count, mean, ...)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Justification for selecting variables to be included in the adjustment model (in the main text),NA,NA,"Nothing mentioned, not reported",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Inclusion of prognostic factors in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of prognostic factors of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Inclusion of treatment-effect modifiers in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Yes,No,Yes,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,1,NA,Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Treatment name 1,NA,NA,guanfacine extended-release mid dose,TRUE,other = placebo effect,"Guanfacine Mid Dose

Cost-effectivness (economic) analysis

Adjust for placebo outcome ==> Anchored-MAIC ???
Placebo outcome = other covariate

Mean changes in the ADHD-RS-IV total score :
non IPD = -19.6 
adjusted IPD = -13.6
p = 0.02",NA
10.1007/bf03261873,23113551,methodology,2,NA,Study 'number(s)' for treatment 1,NA,NA,1;2,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Treatment name 2,NA,NA,atomoxetine,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Study 'number(s)' for treatment 2,NA,NA,3,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Type of population-adjusted indirect comparisons performed,NA,NA,MAIC,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Anchored comparison?,NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Form of the indirect comparison,NA,NA,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Definition of a single primary outcome for the indirect comparison,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),adhd-rs-iv total score,change in the adhd-rs-iv total score from baseline to end-point,change in the adhd-rs-iv total score from baseline to end-point,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Primary outcome: variable type,NA,NA,"Continuous (count, mean, ...)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Justification for selecting variables to be included in the adjustment model (in the main text),NA,NA,"Nothing mentioned, not reported",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Inclusion of prognostic factors in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of prognostic factors of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Inclusion of treatment-effect modifiers in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Yes,No,Yes,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,2,NA,Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Treatment name 1,NA,NA,guanfacine extended-release high dose,TRUE,other = placebo effect,"Guanfacine High Dose

Cost-effectivness (economic) analysis

Adjust for placebo outcome ==> Anchored-MAIC ???
Placebo outcome = other covariate

Mean changes in the ADHD-RS-IV total score :
non IPD = -20.6 
adjusted IPD = -13.6
p<0.01",NA
10.1007/bf03261873,23113551,methodology,3,NA,Study 'number(s)' for treatment 1,NA,NA,1;2,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Treatment name 2,NA,NA,atomoxetine,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Study 'number(s)' for treatment 2,NA,NA,3,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Type of population-adjusted indirect comparisons performed,NA,NA,MAIC,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Anchored comparison?,NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Form of the indirect comparison,NA,NA,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Definition of a single primary outcome for the indirect comparison,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),adhd-rs-iv total score,change in the adhd-rs-iv total score from baseline to end-point,change in the adhd-rs-iv total score from baseline to end-point,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Primary outcome: variable type,NA,NA,"Continuous (count, mean, ...)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Justification for selecting variables to be included in the adjustment model (in the main text),NA,NA,"Nothing mentioned, not reported",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Inclusion of prognostic factors in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of prognostic factors of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Inclusion of treatment-effect modifiers in the adjustment/matching model,NA,NA,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Yes,No,Yes,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,methodology,3,NA,Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),NA,NA,No,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Sample size of the population of interest in the non IPD treatment arm,NA,NA,84,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Initial sample size of the population of interest in the IPD treatment arm,NA,NA,147,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC",NA,NA,49,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Reporting of a weights' distribution evaluation (MAIC),NA,NA,Not mentioned,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Reporting of the list of the covariates adjusted for/matched on,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Number of covariates adjusted for/matched on,NA,NA,6,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Covariates adjusted for/matched on in the indirect comparison,NA,NA,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Primary outcome: treatment effect contrast,NA,NA,Means difference,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",<0.001,0.07,0.07,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Direction of the treatment effect contrast: IPD treatment is:,"Numerator if ratio, or left side if difference",NA,"Numerator if ratio, or left side if difference",FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,1,NA,Primary outcome: adjusted treatment effect,-6,NA,-3.7,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Sample size of the population of interest in the non IPD treatment arm,NA,NA,84,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Initial sample size of the population of interest in the IPD treatment arm,NA,NA,46,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC",NA,NA,16,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Reporting of a weights' distribution evaluation (MAIC),NA,NA,Not mentioned,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Reporting of the list of the covariates adjusted for/matched on,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Number of covariates adjusted for/matched on,NA,NA,6,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Covariates adjusted for/matched on in the indirect comparison,NA,NA,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Primary outcome: treatment effect contrast,NA,NA,Means difference,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",NA,NA,0.02,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Direction of the treatment effect contrast: IPD treatment is:,"Numerator if ratio, or left side if difference",NA,"Numerator if ratio, or left side if difference",FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,2,NA,Primary outcome: adjusted treatment effect,-6,NA,-6,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Sample size of the population of interest in the non IPD treatment arm,NA,NA,84,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Initial sample size of the population of interest in the IPD treatment arm,NA,NA,82,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC",NA,NA,38,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Reporting of a weights' distribution evaluation (MAIC),NA,NA,Not mentioned,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Reporting of the list of the covariates adjusted for/matched on,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Number of covariates adjusted for/matched on,NA,NA,6,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Covariates adjusted for/matched on in the indirect comparison,NA,NA,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Primary outcome: treatment effect contrast,NA,NA,Means difference,TRUE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",0.07,<0.01,<0.01,FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Direction of the treatment effect contrast: IPD treatment is:,"Numerator if ratio, or left side if difference",NA,"Numerator if ratio, or left side if difference",FALSE,NA,NA,NA
10.1007/bf03261873,23113551,results,3,NA,Primary outcome: adjusted treatment effect,-3.7,NA,-7,FALSE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,Medical Condition of Interest Name,attention-deficit/hyperactivity disorder in children and adolescents,attention-deficit/hyperactivity disorder,attention-deficit/hyperactivity disorder in children and adolescents,FALSE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,Countries of first author affiliations,NA,NA,usa,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,Countries of last author affiliations,NA,NA,usa,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,"Positions of study investigators (for any authors of the article, any that applies)",NA,NA,"Academic, Pharmaceutical Industry, Private Data Analysis Company",TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",NA,NA,Yes,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,Mentioned sources of funding,NA,NA,Pharmaceutical Industry,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",NA,NA,Yes,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,general_information,NA,NA,Mention of a systematic review to find the studies to compare treatments of interest,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,Patient-level data used,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,Clinical Trial,NA,NA,Yes,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT00152009,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,NA,NA,NA
10.1007/s40263-013-0102-x,23975660,study_information,NA,1,Country where the clinical trial/observational study was conducted (international if more than one),unknown,NA,unknown,FALSE,NA,NA,NA
