doi	section	ITC num	Ind studies num	questions	decision	first	second	third	car_t_cells
10.1007/s12325-022-02099-0	methodology	1	NA	Treatment name 2	atezolizumab + bevacizumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.1007/s13555-021-00646-1	methodology	1	NA	Treatment name 1	crisaborole ointment 2%	Agents for dermatitis, excluding corticosteroids	NA	NA	FALSE
10.1007/s13555-021-00646-1	methodology	1	NA	Treatment name 2	pimecrolimus 1%	Agents for dermatitis, excluding corticosteroids	NA	NA	FALSE
10.1007/s13555-021-00646-1	methodology	2	NA	Treatment name 1	crisaborole	Agents for dermatitis, excluding corticosteroids	NA	NA	FALSE
10.1007/s13555-021-00646-1	methodology	2	NA	Treatment name 2	tacrolimus 0.03%	Agents for dermatitis, excluding corticosteroids	NA	NA	FALSE
10.1007/s13555-021-00646-1	methodology	3	NA	Treatment name 1	NA	NA	NA	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Treatment name 2	NA	NA	NA	NA	NA
10.1007/s40263-021-00805-0	methodology	1	NA	Treatment name 1	ozanimod	Selective immunosuppressants	NA	NA	FALSE
10.1007/s40263-021-00805-0	methodology	1	NA	Treatment name 2	dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.1007/s40273-021-01015-8	methodology	1	NA	Treatment name 1	lorlatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1007/s40273-021-01015-8	methodology	1	NA	Treatment name 2	pemetrexed or docetaxel	Folic acid analogues	Taxanes	NA	FALSE
10.1007/s40273-021-01015-8	methodology	2	NA	Treatment name 1	lorlatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1007/s40273-021-01015-8	methodology	2	NA	Treatment name 2	systemic therapy	supportive or standard of care	NA	NA	FALSE
10.1016/j.bbmt.2020.06.008	methodology	1	NA	Treatment name 1	axicabtagene ciloleucel	Other antineoplastic agents	NA	NA	TRUE
10.1016/j.bbmt.2020.06.008	methodology	1	NA	Treatment name 2	tisagenlecleucel	Other antineoplastic agents	NA	NA	FALSE
10.1016/j.bbmt.2020.06.008	methodology	2	NA	Treatment name 1	NA	NA	NA	NA	NA
10.1016/j.bbmt.2020.06.008	methodology	2	NA	Treatment name 2	NA	NA	NA	NA	NA
10.1016/j.clinthera.2015.09.013	methodology	1	NA	Treatment name 1	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2015.09.013	methodology	1	NA	Treatment name 2	axitinib	Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2015.12.017	methodology	1	NA	Treatment name 1	daclatasvir + sofosbuvir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.1016/j.clinthera.2015.12.017	methodology	1	NA	Treatment name 2	sofosbuvir + ribavirin	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.1016/j.clinthera.2017.08.010	methodology	1	NA	Treatment name 1	pomalidomide + dexamethasone	Other immunosuppressants	Glucocorticoids	NA	FALSE
10.1016/j.clinthera.2017.08.010	methodology	1	NA	Treatment name 2	daratumumab	Monoclonal antibodies	NA	NA	FALSE
10.1016/j.clinthera.2017.08.010	methodology	2	NA	Treatment name 1	pomalidomide + dexamethasone	Other immunosuppressants	Glucocorticoids	NA	FALSE
10.1016/j.clinthera.2017.08.010	methodology	2	NA	Treatment name 2	carfilzomib	Proteasome inhibitors	NA	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	1	NA	Treatment name 1	nivolumab + ipilimumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	1	NA	Treatment name 2	dabrafenib + trametinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	2	NA	Treatment name 1	nivolumab + ipilimumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	2	NA	Treatment name 2	encorafenib + binimetinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	3	NA	Treatment name 1	nivolumab + ipilimumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.1016/j.esmoop.2021.100050	methodology	3	NA	Treatment name 2	vemurafenib + cobimetinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA	FALSE
10.1016/j.euo.2018.09.009	methodology	1	NA	Treatment name 1	pembrolizumab	Monoclonal antibodies	NA	NA	FALSE
10.1016/j.euo.2018.09.009	methodology	1	NA	Treatment name 2	carboplatin + gemcitabine	Platinum compounds	Pyrimidine analogues	NA	FALSE
10.1016/j.euo.2018.09.009	methodology	2	NA	Treatment name 1	pembrolizumab	Monoclonal antibodies	NA	NA	FALSE
10.1016/j.euo.2018.09.009	methodology	2	NA	Treatment name 2	gemcitabine	Pyrimidine analogues	NA	NA	FALSE
10.1016/j.jval.2018.03.015	methodology	1	NA	Treatment name 1	magnetic resonance-guided focused ultrasound	procedure	NA	NA	FALSE
10.1016/j.jval.2018.03.015	methodology	1	NA	Treatment name 2	unilateral deep brain stimulation	procedure	NA	NA	FALSE
10.1016/j.jval.2018.03.015	methodology	2	NA	Treatment name 1	magnetic resonance-guided focused ultrasound	procedure	NA	NA	FALSE
10.1016/j.jval.2018.03.015	methodology	2	NA	Treatment name 2	unilateral deep brain stimulation (dbs)	procedure	NA	NA	FALSE
10.1016/j.msard.2021.102972	methodology	1	NA	Treatment name 1	ozanimod	Selective immunosuppressants	NA	NA	FALSE
10.1016/j.msard.2021.102972	methodology	1	NA	Treatment name 2	teriflunomide	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2016.1248380	methodology	1	NA	Treatment name 1	dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.1080/03007995.2016.1248380	methodology	1	NA	Treatment name 2	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2018.1510225	methodology	1	NA	Treatment name 1	ponatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1510225	methodology	1	NA	Treatment name 2	bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	1	NA	Treatment name 1	brigatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	1	NA	Treatment name 2	ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	2	NA	Treatment name 1	brigatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	2	NA	Treatment name 2	ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	3	NA	Treatment name 1	brigatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	3	NA	Treatment name 2	alectinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	4	NA	Treatment name 1	brigatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1520696	methodology	4	NA	Treatment name 2	alectinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2019.1585779	methodology	1	NA	Treatment name 1	cladribine	Purine analogues	NA	NA	FALSE
10.1080/03007995.2019.1585779	methodology	1	NA	Treatment name 2	alemtuzumab	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2021.1896489	methodology	1	NA	Treatment name 1	bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2021.1896489	methodology	1	NA	Treatment name 2	nilotinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2021.1896489	methodology	2	NA	Treatment name 1	bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2021.1896489	methodology	2	NA	Treatment name 2	dasatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1185/03007995.2011.576238	methodology	1	NA	Treatment name 1	nilotinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1185/03007995.2011.576238	methodology	1	NA	Treatment name 2	dasatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	1	NA	Treatment name 1	vildagliptin 50 mg twice daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	1	NA	Treatment name 2	sitagliptin 50 mg once daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	2	NA	Treatment name 1	vildagliptin 50 mg twice daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	2	NA	Treatment name 2	sitagliptin 50 mg once daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	3	NA	Treatment name 1	vildagliptin 50 mg twice daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.2165/11592490-000000000-00000	methodology	3	NA	Treatment name 2	sitagliptin 100 mg once daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	1	NA	Treatment name 1	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	1	NA	Treatment name 2	sunitinib	Other protein kinase inhibitors	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	2	NA	Treatment name 1	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	2	NA	Treatment name 2	placebo	placebo	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	3	NA	Treatment name 1	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1186/2162-3619-2-32	methodology	3	NA	Treatment name 2	sunitinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	1	NA	Treatment name 1	bay 81-8973 (recombinant factor viii)	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	1	NA	Treatment name 2	rahf-pfm	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	2	NA	Treatment name 1	bay 81-8973 (recombinant factor viii)	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	2	NA	Treatment name 2	rahf-pfm	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	3	NA	Treatment name 1	bay 81-8973 (recombinant factor viii)	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s104074	methodology	3	NA	Treatment name 2	turoctocog alfa	Blood coagulation factors	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	1	NA	Treatment name 1	delayed-release dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	1	NA	Treatment name 2	glatiramer acetate	Other immunostimulants	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	2	NA	Treatment name 1	delayed-release dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	2	NA	Treatment name 2	glatiramer acetate	Other immunostimulants	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	3	NA	Treatment name 1	delayed-release dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.2217/cer-2016-0085	methodology	3	NA	Treatment name 2	glatiramer acetate	Other immunostimulants	NA	NA	FALSE
10.1155/2017/6121760	methodology	1	NA	Treatment name 1	sonidegib	Hedgehog pathway inhibitors	NA	NA	FALSE
10.1155/2017/6121760	methodology	1	NA	Treatment name 2	vismodegib	Hedgehog pathway inhibitors	NA	NA	FALSE
10.1634/theoncologist.2017-0103	methodology	1	NA	Treatment name 1	daratumumab	Monoclonal antibodies	NA	NA	FALSE
10.1634/theoncologist.2017-0103	methodology	1	NA	Treatment name 2	pomalidomide + low-dose dexamethasone	Other immunosuppressants	Glucocorticoids	NA	FALSE
10.1634/theoncologist.2017-0103	methodology	2	NA	Treatment name 1	daratumumab	Monoclonal antibodies	NA	NA	FALSE
10.1634/theoncologist.2017-0103	methodology	2	NA	Treatment name 2	pomalidomide + low-dose dexamethasone	Other immunosuppressants	Glucocorticoids	NA	FALSE
10.1097/brs.0000000000002647	methodology	1	NA	Treatment name 1	total disc replacement	NA	NA	NA	NA
10.1097/brs.0000000000002647	methodology	1	NA	Treatment name 2	fusion	NA	NA	NA	NA
10.1080/17474086.2018.1475226	methodology	1	NA	Treatment name 1	pembrolizumab	Monoclonal antibodies	NA	NA	FALSE
10.1080/17474086.2018.1475226	methodology	1	NA	Treatment name 2	st + ard of care	NA	supportive or standard of care	NA	FALSE
10.1186/s12885-018-5157-0	methodology	1	NA	Treatment name 1	axitinib	Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors	NA	NA	FALSE
10.1186/s12885-018-5157-0	methodology	1	NA	Treatment name 2	cabozantinib	Other protein kinase inhibitors	NA	NA	FALSE
10.1186/s12885-018-5157-0	methodology	2	NA	Treatment name 1	axitinib	Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors	NA	NA	FALSE
10.1186/s12885-018-5157-0	methodology	2	NA	Treatment name 2	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.2147/ceor.s203482	methodology	1	NA	Treatment name 1	glasdegib + low-dose cytarabine	Hedgehog pathway inhibitors	Pyrimidine analogues	NA	FALSE
10.2147/ceor.s203482	methodology	1	NA	Treatment name 2	azacitidine	Pyrimidine analogues	NA	NA	FALSE
10.2147/ceor.s203482	methodology	2	NA	Treatment name 1	glasdegib + low-dose cytarabine	Hedgehog pathway inhibitors	Pyrimidine analogues	NA	FALSE
10.2147/ceor.s203482	methodology	2	NA	Treatment name 2	decitabine	Pyrimidine analogues	NA	NA	FALSE
10.1080/10428194.2019.1682571	methodology	1	NA	Treatment name 1	daratumumab–bortezomib–melphalan–prednisone	NA	NA	NA	NA
10.1080/10428194.2019.1682571	methodology	1	NA	Treatment name 2	lenalidomide–dexamethasone continuous	NA	NA	NA	NA
10.1080/10428194.2019.1682571	methodology	2	NA	Treatment name 1	daratumumab–bortezomib–melphalan–prednisone	NA	NA	NA	NA
10.1080/10428194.2019.1682571	methodology	2	NA	Treatment name 2	lenalidomide–dexamethasone 18 months (rd18)	NA	NA	NA	NA
10.1080/10428194.2019.1682571	methodology	3	NA	Treatment name 1	daratumumab–bortezomib–melphalan–prednisone	NA	NA	NA	NA
10.1080/10428194.2019.1682571	methodology	3	NA	Treatment name 2	melphalan–prednisone–thalidomide	NA	NA	NA	NA
10.1111/cea.13561	methodology	1	NA	Treatment name 1	benralizumab	Other systemic drugs for obstructive airway diseases	NA	NA	FALSE
10.1111/cea.13561	methodology	1	NA	Treatment name 2	mepolizumab	Other systemic drugs for obstructive airway diseases	NA	NA	FALSE
10.1111/cea.13561	methodology	2	NA	Treatment name 1	benralizumab	Other systemic drugs for obstructive airway diseases	NA	NA	FALSE
10.1111/cea.13561	methodology	2	NA	Treatment name 2	dupilumab	Agents for dermatitis, excluding corticosteroids	NA	NA	FALSE
10.1080/13696998.2020.1722139	methodology	1	NA	Treatment name 1	calcipotriene 0.005%/betamethasone dipropionate 0.064% foam	Other antipsoriatics for topical use	NA	NA	FALSE
10.1080/13696998.2020.1722139	methodology	1	NA	Treatment name 2	halobetasol 0.01%/tazarotene 0.045%	NA	NA	NA	NA
10.1136/rmdopen-2019-001131	methodology	1	NA	Treatment name 1	baricitinib	Selective immunosuppressants	NA	NA	FALSE
10.1136/rmdopen-2019-001131	methodology	1	NA	Treatment name 2	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1136/rmdopen-2019-001131	methodology	2	NA	Treatment name 1	baricitinib	Selective immunosuppressants	NA	NA	FALSE
10.1136/rmdopen-2019-001131	methodology	2	NA	Treatment name 2	tocilizumab	Interleukin inhibitors	NA	NA	FALSE
10.1136/rmdopen-2019-001131	methodology	3	NA	Treatment name 1	baricitinib	Selective immunosuppressants	NA	NA	FALSE
10.1136/rmdopen-2019-001131	methodology	3	NA	Treatment name 2	tofacitinib	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2020-0063	methodology	1	NA	Treatment name 1	entrectinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2217/cer-2020-0063	methodology	1	NA	Treatment name 2	crizotinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.2217/cer-2020-0063	methodology	2	NA	Treatment name 1	entrectinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2217/cer-2020-0063	methodology	2	NA	Treatment name 2	pemetrexed + platinum followed by pemetrexed maintenance	Folic acid analogues	Platinum compounds	Folic acid analogues	FALSE
10.2217/cer-2020-0063	methodology	3	NA	Treatment name 1	entrectinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2217/cer-2020-0063	methodology	3	NA	Treatment name 2	pemetrexed/docetaxel	Folic acid analogues	Taxanes	NA	FALSE
10.1080/14656566.2020.1811850	methodology	1	NA	Treatment name 1	patisiran	Other nervous system drugs	NA	NA	FALSE
10.1080/14656566.2020.1811850	methodology	1	NA	Treatment name 2	inotersen	Other nervous system drugs	NA	NA	FALSE
10.2217/cer-2020-0236	methodology	1	NA	Treatment name 1	nivolumab + ipilimumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.2217/cer-2020-0236	methodology	1	NA	Treatment name 2	placebo	placebo	NA	NA	FALSE
10.1097/ju.0000000000001767	methodology	1	NA	Treatment name 1	darolutamide	Anti-androgens	NA	NA	FALSE
10.1097/ju.0000000000001767	methodology	1	NA	Treatment name 2	apalutamide	Anti-androgens	NA	NA	FALSE
10.1097/ju.0000000000001767	methodology	2	NA	Treatment name 1	darolutamide	Anti-androgens	NA	NA	FALSE
10.1097/ju.0000000000001767	methodology	2	NA	Treatment name 2	enzalutamide	Anti-androgens	NA	NA	FALSE
10.1093/jnci/djab071	methodology	1	NA	Treatment name 1	abiraterone acetate	Other hormone antagonists and related agents	NA	NA	FALSE
10.1093/jnci/djab071	methodology	1	NA	Treatment name 2	placebo	placebo	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	1	NA	Treatment name 1	acalabrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	1	NA	Treatment name 2	ibrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	2	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	2	NA	Treatment name 2	ibrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	3	NA	Treatment name 1	acalabrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	3	NA	Treatment name 2	ibrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	4	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	4	NA	Treatment name 2	ibrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	5	NA	Treatment name 1	acalabrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	5	NA	Treatment name 2	venetoclax + obinutuzumab	Other antineoplastic agents	Monoclonal antibodies	NA	FALSE
10.1080/10428194.2021.1913144	methodology	6	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1080/10428194.2021.1913144	methodology	6	NA	Treatment name 2	venetoclax + obinutuzumab	Other antineoplastic agents	Monoclonal antibodies	NA	FALSE
10.2147/jbm.s312885	methodology	1	NA	Treatment name 1	prior prophylaxis rfixfc	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s312885	methodology	1	NA	Treatment name 2	prior prophylaxis rix-fp	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s312885	methodology	2	NA	Treatment name 1	prior episodic treatment rfixfc	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s312885	methodology	2	NA	Treatment name 2	prior episodic treatment rix-fp	Blood coagulation factors	NA	NA	FALSE
10.1080/03007995.2021.1971182	methodology	1	NA	Treatment name 1	pegcetacoplan	IMMUNOSUPPRESSANTS	NA	NA	FALSE
10.1080/03007995.2021.1971182	methodology	1	NA	Treatment name 2	ravulizumab	Selective immunosuppressants	NA	NA	FALSE
10.1080/14760584.2021.1994858	methodology	1	NA	Treatment name 1	15-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA	FALSE
10.1080/14760584.2021.1994858	methodology	1	NA	Treatment name 2	20-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA	FALSE
10.2147/jbm.s321288	methodology	1	NA	Treatment name 1	damoctocog alfa pegol (bay 94-9027)	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s321288	methodology	1	NA	Treatment name 2	turoctocog alfa pegol (n8-gp)	Blood coagulation factors	NA	NA	FALSE
10.2147/ptt.s326121	methodology	1	NA	Treatment name 1	brodalumab	Interleukin inhibitors	NA	NA	FALSE
10.2147/ptt.s326121	methodology	1	NA	Treatment name 2	guselkumab	Interleukin inhibitors	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	1	NA	Treatment name 1	semaglutide 2.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	1	NA	Treatment name 2	dulaglutide 3.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	2	NA	Treatment name 1	semaglutide 2.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	2	NA	Treatment name 2	dulaglutide 4.5 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1186/s40164-022-00268-z	methodology	1	NA	Treatment name 1	lisocabtagene maraleucel	ANTINEOPLASTIC AGENTS	NA	NA	TRUE
10.1186/s40164-022-00268-z	methodology	1	NA	Treatment name 2	tisagenlecleucel	Other antineoplastic agents	NA	NA	FALSE
10.1111/j.1743-7563.2011.01400.x	methodology	1	NA	Treatment name 1	bevacizumab + cisplatin	Monoclonal antibodies	Platinum compounds	NA	FALSE
