ttt_name	first	second	third
ibrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA
ibrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA
venetoclax + obinutuzumab	Other antineoplastic agents	Monoclonal antibodies	NA
prior prophylaxis rfixfc	Blood coagulation factors	NA	NA
prior prophylaxis rix-fp	Blood coagulation factors	NA	NA
prior episodic treatment rfixfc	Blood coagulation factors	NA	NA
prior episodic treatment rix-fp	Blood coagulation factors	NA	NA
pegcetacoplan	IMMUNOSUPPRESSANTS	NA	NA
ravulizumab	Selective immunosuppressants	NA	NA
15-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA
20-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA
damoctocog alfa pegol (bay 94-9027)	Blood coagulation factors	NA	NA
turoctocog alfa pegol (n8-gp)	Blood coagulation factors	NA	NA
brodalumab	Interleukin inhibitors	NA	NA
guselkumab	Interleukin inhibitors	NA	NA
semaglutide 2.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
dulaglutide 3.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
dulaglutide 4.5 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
lisocabtagene maraleucel	ANTINEOPLASTIC AGENTS	NA	NA
bevacizumab + cisplatin	Monoclonal antibodies	Platinum compounds	NA
pemetrexed + cisplatin	Folic acid analogues	Platinum compounds	NA
guanfacine extended-release low dose	Imidazoline receptor agonists	NA	NA
atomoxetine	Centrally acting sympathomimetics	NA	NA
guanfacine extended-release mid dose	Imidazoline receptor agonists	NA	NA
guanfacine extended-release high dose	Imidazoline receptor agonists	NA	NA
guanfacine extended release	Imidazoline receptor agonists	NA	NA
daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA
telaprevir + peginterferon-α + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections
boceprevir + peginterferon-α + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections
simeprevir + peginterferon-α + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections
sofosbuvir + peginterferon-α + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections
peginterferon-α + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA
simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections
peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA
sofosbuvir + ledipasvir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA
panobinostat + bortezomib + dexamethasone	Histone deacetylase (HDAC) inhibitors	Proteasome inhibitors	Glucocorticoids
lenalidomide + dexamethasone	Other immunosuppressants	Glucocorticoids	NA
deutetrabenazine	Other nervous system drugs	NA	NA
tetrabenazine	Other nervous system drugs	NA	NA
obinutuzumab + chlorambucil	Monoclonal antibodies	Nitrogen mustard analogues	NA
secukinumab 150 mg	Interleukin inhibitors	NA	NA
secukinumab 300 mg	Interleukin inhibitors	NA	NA
ribociclib	Cyclin-dependent kinase (CDK) inhibitors	NA	NA
palbociclib	Cyclin-dependent kinase (CDK) inhibitors	NA	NA
rivaroxaban	Direct factor Xa inhibitors	NA	NA
calcipotriol + betamethasone dipropionate aerosol foam	Other antipsoriatics for topical use	Corticosteroids, potent, other combinations	NA
apremilast	Selective immunosuppressants	NA	NA
methotrexate	Folic acid analogues	NA	NA
acitretin	Retinoids for treatment of psoriasis	NA	NA
fumaric acid esters	Other antipsoriatics for systemic use	NA	NA
secukinumab 150mg	Interleukin inhibitors	NA	NA
infliximab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA
secukinumab 300mg	Interleukin inhibitors	NA	NA
etanercept	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA
bay 94-9027	Blood coagulation factors	NA	NA
rfviiifc	Blood coagulation factors	NA	NA
bax 855	Blood coagulation factors	NA	NA
rahf-pfm 2012	Blood coagulation factors	NA	NA
brexanolone	PSYCHOANALEPTICS	NA	NA
vmp (bortezomib/melphalan/prednisone)	NA	Nitrogen mustard analogues	NA
bortezomib	Proteasome inhibitors	NA	NA
lenalidomide	Other immunosuppressants	NA	NA
temsirolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA
ibrutinib + rituximab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA
bendamustine + rituximab	Nitrogen mustard analogues	Monoclonal antibodies	NA
lenalidomide + rituximab	Other immunosuppressants	Monoclonal antibodies	NA
routine clinical practice	supportive or standard of care	NA	NA
siponimod	Selective immunosuppressants	NA	NA
ifnβ-1b 250 μg once every other day (q2d)	Interferons	NA	NA
ifnβ-1a 22 μg once weekly (qw)	Interferons	NA	NA
natalizumab	Selective immunosuppressants	NA	NA
sc ifnβ-1a 22 μg three times weekly	Interferons	NA	NA
sc ifnβ-1a 44 μg three times weekly	Interferons	NA	NA
ifnβ-1b 8 miu once every other day	Interferons	NA	NA
im ifnβ-1a 60 μg once weekly	Interferons	NA	NA
ixekizumab	Interleukin inhibitors	NA	NA
tildrakizumab 100mg	Interleukin inhibitors	NA	NA
tildrakizumab 200mg	Interleukin inhibitors	NA	NA
risankizumab	Interleukin inhibitors	NA	NA
clofarabine	Purine analogues	NA	NA
clofarabine + etoposide plus cyclophosphamide	Purine analogues	NA	NA
cemiplimab	Monoclonal antibodies	NA	NA
erlotinib	Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors	NA	NA
gefitinib	Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors	NA	NA
dacomitinib	Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors	NA	NA
panitumumab	Monoclonal antibodies	NA	NA
cetuximab	Monoclonal antibodies	NA	NA
platinum-based chemotherapy	Platinum compounds	NA	NA
upadacitinib monotherapy	Selective immunosuppressants	NA	NA
tofacitinib + methotrexate	Selective immunosuppressants	Folic acid analogues	NA
upadacitinib + methotrexate	Selective immunosuppressants	Folic acid analogues	NA
recombinant fviiifc	Blood coagulation factors	NA	NA
damoctocog alfa pegol (pooled prophylaxis)	Blood coagulation factors	NA	NA
damoctocog alfa pegol twice weekly	Blood coagulation factors	NA	NA
damoctocog alfa pegol q5d	Blood coagulation factors	NA	NA
damoctocog alfa pegol q7d	Blood coagulation factors	NA	NA
peginterferon beta-1a	Interferons	NA	NA
palbociclib + fulvestrant	Cyclin-dependent kinase (CDK) inhibitors	Anti-estrogens	NA
abemaciclib + fulvestrant	Cyclin-dependent kinase (CDK) inhibitors	Anti-estrogens	NA
ribociclib + fulvestrant	Cyclin-dependent kinase (CDK) inhibitors	Anti-estrogens	NA
emicizumab every week	Other systemic hemostatics	NA	NA
emicizumab every 2 weeks	Other systemic hemostatics	NA	NA
emicizumab every 4 weeks	Other systemic hemostatics	NA	NA
venetoclax + low-dose cytarabine	Other antineoplastic agents	Pyrimidine analogues	NA
remestemcel-l-rknd	IMMUNOSUPPRESSANTS	NA	NA
ruxolitinib	Janus-associated kinase (JAK) inhibitors	NA	NA
ramucirumab	Monoclonal antibodies	NA	NA
pembrolizumab + chemotherapy	Monoclonal antibodies	ANTINEOPLASTIC AGENTS	NA
atezolizumab + chemotherapy	Monoclonal antibodies	ANTINEOPLASTIC AGENTS	NA
atezolizumab + bevacizumab + chemotherapy	Monoclonal antibodies	Monoclonal antibodies	ANTINEOPLASTIC AGENTS
idecabtagene vicleucel	ANTINEOPLASTIC AGENTS	NA	NA
idecabtagene + vicleucel	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AGENTS	NA
salvage chemotherapy	ANTINEOPLASTIC AGENTS	NA	NA
rimegepant	Calcitonin gene-related peptide (CGRP) antagonists	NA	NA
galcanezumab	Calcitonin gene-related peptide (CGRP) antagonists	NA	NA
erenumab	Calcitonin gene-related peptide (CGRP) antagonists	NA	NA
gemcitabine + nab-paclitaxel	Pyrimidine analogues	Taxanes	NA
folfirinox	ANTINEOPLASTIC AGENTS	NA	NA
onasemnogene abeparvovec	Other drugs for disorders of the musculo-skeletal system	NA	NA
nusinersen	Other drugs for disorders of the musculo-skeletal system	NA	NA
ciltacabtagene autoleucel	ANTINEOPLASTIC AGENTS	NA	NA
semaglutide 1.0mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
dulaglutide 3.0mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
dulaglutide 4.5mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
rviii-singlechain	Blood coagulation factors	NA	NA
olaparib + bevacizumab	Poly (ADP-ribose) polymerase (PARP) inhibitors	Monoclonal antibodies	NA
niraparib	Poly (ADP-ribose) polymerase (PARP) inhibitors	NA	NA
bevacizumab + placebo	Monoclonal antibodies	placebo	NA
placebo + bevacizumab	placebo	Monoclonal antibodies	NA
palbociclib + letrozole	Cyclin-dependent kinase (CDK) inhibitors	Aromatase inhibitors	NA
placebo + fulvestrant	placebo	Anti-estrogens	NA
letrozole	Aromatase inhibitors	NA	NA
apalutamide + adt	Anti-androgens	Anti-androgens	NA
darolutamide + adt	Anti-androgens	Anti-androgens	NA
[177lu]lu-dota-tate	Various therapeutic radiopharmaceuticals	NA	NA
best supportive care (bsc)	supportive or standard of care	NA	NA
best supportive care	supportive or standard of care	NA	NA
lisocabtagene	ANTINEOPLASTIC AGENTS	NA	NA
amlodipine 5 mg + bisoprolol 5 mg	Dihydropyridine derivatives	Beta blocking agents, selective	NA
amlodipine 10mg,	Dihydropyridine derivatives	NA	NA
tazemetostat	Other antineoplastic agents	NA	NA
idelalisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	NA	NA
duvelisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	NA	NA
copanlisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	NA	NA
umbralisib	Other protein kinase inhibitors	NA	NA
carfizomib + dexamethasone+daratumumab	Proteasome inhibitors	Glucocorticoids	Monoclonal antibodies
daratumumab + velcade+dexamethasone	Monoclonal antibodies	Proteasome inhibitors	Glucocorticoids
secukinumab	Interleukin inhibitors	NA	NA
